number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
18,0.010322659676980844,2024-10-18 16:07:47.353268,2024-10-18 16:09:00.400389,0 days 00:01:13.047121,0.098057398395888,96,0.1,50,0.0008450046316234304,16,0.0003171312995993561,adam,0.995391678635597,0.8748655217336263,COMPLETE
19,0.010827837969668174,2024-10-18 16:07:48.434050,2024-10-18 16:09:21.414425,0 days 00:01:32.980375,0.08270396128763656,96,0.1,50,0.000920279810230622,8,0.00035440944664823915,adam,0.9949553303252241,0.868741593980017,COMPLETE
20,0.00936091220941195,2024-10-18 16:08:03.767445,2024-10-18 16:09:15.707127,0 days 00:01:11.939682,0.07794961409822732,96,0.1,50,0.0009991851841166513,8,0.000327658018028747,adam,0.9957177654007341,0.8865241224571018,COMPLETE
21,0.008148523522179693,2024-10-18 16:08:40.072033,2024-10-18 16:11:35.308248,0 days 00:02:55.236215,0.0829097993608243,96,0.1,50,0.0008792858052328243,8,0.00040615212453201833,adam,0.99603260146334,0.9012210736867518,COMPLETE
22,0.010384361752170154,2024-10-18 16:09:00.410456,2024-10-18 16:10:00.039512,0 days 00:00:59.629056,0.06406346401580708,96,0.1,50,0.0009209283765973314,8,0.0003651376745631623,adam,0.9953193420265484,0.8741175500646596,COMPLETE
23,0.013540203255398177,2024-10-18 16:09:04.218323,2024-10-18 16:10:05.919396,0 days 00:01:01.701073,0.06853671825681418,96,0.1,50,1.076405335321915e-05,8,0.0001022185096174515,adam,0.9946893699857331,0.8358614617739228,COMPLETE
24,0.012440208129746933,2024-10-18 16:09:15.717472,2024-10-18 16:10:18.511444,0 days 00:01:02.793972,0.041457971394469176,96,0.1,50,1.2742668381034427e-05,64,0.0002893598792083307,adam,0.9951215051617963,0.8491959434338066,COMPLETE
25,0.025241597525576698,2024-10-18 16:09:21.425693,2024-10-18 16:10:31.173831,0 days 00:01:09.748138,0.04186530174644604,96,0.2,50,1.629538643688506e-05,64,0.00011645694769106603,adam,0.9934481287868614,0.6940135356766262,COMPLETE
26,0.021075973265086118,2024-10-18 16:10:00.049863,2024-10-18 16:11:08.198980,0 days 00:01:08.149117,0.04245541103329009,96,0.2,50,0.0005053357189098058,64,0.00026717119322746514,adam,0.9941280334470822,0.7445105233524512,COMPLETE
27,0.020341025280336964,2024-10-18 16:10:05.930937,2024-10-18 16:11:14.939274,0 days 00:01:09.008337,0.04017440335830742,96,0.1,50,0.0006090596256033836,64,0.0003025084481855726,adam,0.9944302722427315,0.7534197904892523,COMPLETE
28,0.020601057153734392,2024-10-18 16:10:13.348568,2024-10-18 16:11:19.239133,0 days 00:01:05.890565,0.0431013184140093,96,0.2,50,0.0005209135869055658,72,0.00028461168521211447,adam,0.9941748353448072,0.7502676035695599,COMPLETE
