Year,Iteration,Alloy Name,Aluminum,Cobalt,Chromium,Iron,Nickel,Vanadium,Manganese,Copper,Predicted Yield Strength at 298K (MPa),Computed Stacking Fault Energy,Computed Valence Electron Concentration,Computed Pugh Ratio,Yield Strength (MPa),Ultimate Tensile Strength (MPa),UTS/YS,Tension Elongation (%),Hardness (GPa),Modulus (GPa),SFE_calc
2,BAA,BAA08,0,24,8,12.0,32,8,16,0,215.382,165.8,664.0,0.264975902,270.7,958.0,3.54,40.3,1.96,193.2,165.8
2,BAA,BAA09,4,16,8,12.0,48,12,0,0,447.194,54.1,728.0,0.316042292,444.3,1180.0,2.66,41.6,2.64,212.29,54.1
2,BAA,BAA10,4,0,4,20.0,52,12,8,0,407.464,293.4,832.0,0.295059973,304.8,951.0,3.12,40.0,2.18,181.2,293.4
2,BAA,BAA11,0,16,0,20.0,28,12,20,4,223.104,258.3,716.0,0.278900463,256.1,516.0,2.01,16.8,2.03,178.26,258.3
2,BAA,BAA12,0,0,8,16.0,52,8,12,4,195.766,296.4,864.0,0.340501618,264.8,946.0,3.57,43.1,1.93,187.31,296.4
2,BAA,BAA13,4,20,4,16.0,52,0,0,4,345.903,36.5,768.0,0.350213048,210.1,761.0,3.62,35.7,1.9,195.54,36.5
2,BAA,BAA14,0,16,8,16.0,36,0,20,4,108.103,75.5,752.0,0.334089503,257.3,801.0,3.11,34.3,1.9,189.94,75.5
2,BAA,BAA15,0,20,8,0.0,44,4,20,4,169.325,136.9,732.0,0.332015827,319.3,1044.0,3.27,40.7,2.2,201.32,136.9
2,BAA,BAA16,4,12,0,20.0,44,0,8,12,322.752,118.0,824.0,0.331942704,212.6,792.0,3.73,39.0,1.79,170.41,118.0
2,BBA,BBA01,4,8,4,16.0,48,4,12,4,364.166,228.4,808.0,0.318619228,399.172,918.517,2.47792,31.6783,2.37872,194.282,228.4
2,BBA,BBA02,4,16,0,12.0,52,4,8,4,372.387,195.2,780.0,0.335443893,301.0,1080.0,3.59,44.8,2.228,189.88,195.2
2,BBA,BBA03,4,12,8,16.0,48,0,8,4,345.322,131.5,792.0,0.329052711,218.0,897.0,4.11,47.1,1.89148,189.88,131.5
