Nb,Cr,V,W,Zr,PROP LT (K),PROP ST (K),PROP 500C CTE (1/K),PROP 1000C CTE (1/K),PROP 1500C CTE (1/K),EQ 1273K THCD (W/mK),EQ 1273K Density (g/cc),EQ 1523K THCD (W/mK),EQ 1523K Density (g/cc),EQ 2/3*ST THCD (W/mK),EQ 2/3*ST Density (g/cc),Pugh_Ratio_PRIOR,YS 1000C PRIOR,YS 1500C PRIOR,1000 Min Creep NH [1/s],1300 Min Creep NH [1/s],1500 Min Creep NH [1/s],SCHEIL ST,SCHEIL LT,Kou Criteria
0.45,0.05,0.5,0,0,2217.514786,2185.003311,8.94E-06,9.68E-06,1.06E-05,22.20501389,7.094026832,22.77683962,7.032098633,22.62900778,7.049042398,3.682730924,257.409148,129.0042724,1.18E-09,3.46E-07,4.96E-06,2193.751246,2080.655621,105.3421873
0.6,0.05,0.3,0.05,0,2456.836692,2312.483183,8.32E-06,8.95E-06,9.72E-06,28.09910631,8.117509297,28.8113182,8.053143427,28.86250234,8.048140739,3.682730924,325.4765898,176.9646309,1.51E-10,3.96E-08,5.87E-07,2449.141341,2043.045716,350.8436649
0.45,0,0.45,0.1,0,2452.332436,2287.162411,8.48E-06,9.13E-06,9.88E-06,24.44479099,8.359902822,25.09713163,8.292558952,25.1016308,8.29206396,3.650730412,395.7320974,224.2011158,1.84E-11,6.95E-09,1.17E-07,2452.422434,2135.326809,179.0074608
0.15,0,0.85,0,0,2136.532808,2134.909034,9.74E-06,1.06E-05,1.17E-05,24.62486684,6.303379287,25.6119583,6.24251734,25.22247233,6.267423477,3.650730412,100.6181496,41.31060571,4.73E-10,9.20E-08,1.13E-06,2136.622804,2132.666554,
0.4,0.05,0.55,0,0,2189.054073,2169.096999,9.06E-06,9.82E-06,1.08E-05,21.70969852,6.972029943,22.2795163,6.910008053,22.1083449,6.929670103,3.634920635,254.6339519,126.9025823,4.34E-07,1.69E-05,5.05E-05,2162.574255,2086.47863,76.75305854
0.55,0.05,0.35,0.05,0,2415.352553,2283.394569,8.43E-06,9.09E-06,9.90E-06,26.24837212,7.998642461,26.90312379,7.933888749,26.90126086,7.934087233,3.634920635,348.4812638,190.821148,1.25E-10,3.35E-08,4.77E-07,2406.062102,2054.966477,259.5937818
0.1,0,0.9,0,0,2147.565334,2144.097329,9.86E-06,1.07E-05,1.19E-05,27.59412642,6.178507487,28.87915405,6.117825394,28.4016373,6.141171987,3.603674541,62.42850592,23.26112151,3.56E-10,7.66E-08,1.05E-06,2147.655332,2136.559707,14.5009173
0.35,0.05,0.6,0,0,2167.111795,2156.573401,9.18E-06,9.97E-06,1.10E-05,21.52995067,6.849779389,22.11343287,6.787706848,21.91880661,6.809504187,3.588235294,245.1242195,120.9144978,5.15E-14,4.64E-05,7.23E-10,2139.151013,2092.055388,53.78353143
0.05,0,0.95,0,0,2163.361423,2159.677442,9.98E-06,1.09E-05,1.20E-05,32.53130717,6.052129365,34.38832268,5.991683799,33.77107511,6.012410267,3.55771725,23.23562716,7.026594724,2.63E-10,7.53E-08,1.11E-06,2163.451421,2148.355796,23.36327217
0.3,0.05,0.65,0,0,2151.924397,2147.497765,9.30E-06,1.01E-05,1.12E-05,21.68557972,6.727104194,22.30122185,6.665025735,22.08094563,6.688361875,3.542635659,228.385735,110.8699561,2.01E-14,3.90E-11,3.31E-10,2124.210048,2098.114423,36.43882256
0.75,0,0,0.25,0,2946.260268,2904.103781,6.96E-06,7.35E-06,7.74E-06,55.81583381,11.01046274,57.26382247,10.94273791,59.54142522,10.82500011,3.512820513,73.31580673,34.50064408,2.65E-06,2.66E-05,1.69E-08,2946.350265,2804.25464,197.9854792
0.5,0,0,0,0.5,2267.405251,2073.330391,7.76E-06,8.30E-06,8.82E-06,0.766363231,7.269780397,0.767468408,7.218219122,0.766874915,7.247535311,3.512820513,54.70722393,21.56753521,1.47E-14,2.45E-10,5.67E-08,2267.495245,2016.327745,20.47888256
0.15,0,0.8,0.05,0,2226.507648,2181.365789,9.47E-06,1.03E-05,1.13E-05,25.84614838,7.005106239,26.8572415,6.939578649,26.58289525,6.958160908,3.512820513,177.3707275,83.78772098,1.16E-10,3.62E-08,5.55E-07,2226.597643,2133.502018,61.77897238
0.6,0,0.2,0.2,0,2752.654918,2549.085203,7.58E-06,8.08E-06,8.63E-06,34.81635309,10.00930386,35.69106428,9.939711667,36.28140893,9.888241926,3.512820513,385.0405446,228.6431834,7.07E-13,5.04E-10,1.15E-08,2752.744913,2151.649288,863.4830549
0.55,0.05,0.3,0.1,0,2524.27481,2342.967302,8.16E-06,8.78E-06,9.54E-06,28.58641454,8.659795275,29.27145902,8.592301516,29.37392821,8.58129636,3.498084291,438.3123315,254.7304342,4.40E-11,1.46E-08,2.31E-07,2518.403369,2043.307744,372.8556072
0.25,0.05,0.7,0,0,2143.386339,2142.03069,9.41E-06,1.02E-05,1.13E-05,22.22844654,6.603822043,22.9006196,6.541784316,22.6501215,6.566034706,3.498084291,204.0089257,96.73093156,2.16E-10,2.57E-07,7.82E-06,2117.78909,2103.693465,24.04304546
0.1,0,0.85,0.05,0,2228.955233,2188.635645,9.58E-06,1.04E-05,1.15E-05,28.84055523,6.888915037,30.14830057,6.823330186,29.8171536,6.840645707,3.468948035,122.538253,53.95459201,2.33E-19,1.18E-14,5.01E-09,2229.04523,2137.949605,72.67590973
0.7,0,0.05,0.25,0,2909.137166,2806.230832,7.07E-06,7.49E-06,7.92E-06,48.42429784,10.89302602,49.62704783,10.82420851,51.21734963,10.72335137,3.468948035,183.779813,100.204588,5.20E-07,1.97E-05,0.000172297,2909.227163,2347.131538,1000.737985
0.5,0.05,0.35,0.1,0,2486.833267,2315.350791,8.28E-06,8.92E-06,9.72E-06,26.92644893,8.544703208,27.56942395,8.476685082,27.62029374,8.470841477,3.454545455,463.2870185,270.4847525,9.02E-14,5.45E-05,0.000373578,2479.923695,2055.82807,280.2272085
0.2,0.05,0.75,0,0,2141.126539,2140.437647,9.53E-06,1.04E-05,1.15E-05,23.25939737,6.479737592,24.02375862,6.417789404,23.73522908,6.442285339,3.454545455,171.7700703,78.68553116,3.39E-11,8.60E-11,2.76E-09,2119.279987,2108.184362,16.40781688
0.05,0,0.9,0.05,0,2236.803085,2201.646666,9.70E-06,1.06E-05,1.17E-05,33.82540891,6.77201485,35.69886205,6.706418387,35.28601107,6.721421294,3.426065163,61.16215826,23.51075929,9.25E-11,3.28E-08,5.36E-07,2236.893082,2150.797457,79.64113768
0.35,0,0.5,0.15,0,2493.822331,2308.035207,8.45E-06,9.10E-06,9.89E-06,25.19920251,8.806987602,25.88388582,8.735769185,25.92559914,8.731122207,3.426065163,492.2642253,292.0272688,5.93E-14,2.90E-10,3.68E-08,2493.912327,2133.816702,202.3275647
0.3,0.05,0.6,0.05,0,2258.199938,2196.384093,9.02E-06,9.80E-06,1.08E-05,23.02207356,7.411975693,23.6562707,7.345810545,23.51100306,7.361900659,3.411985019,343.7759786,184.3740956,6.72E-13,2.65E-05,19817882.58,2241.484797,2092.389172,82.99911146
0.15,0.05,0.8,0,0,2144.600737,2143.105252,9.65E-06,1.05E-05,1.17E-05,24.96470414,6.354640522,25.87912495,6.292833114,25.53963918,6.31684301,3.411985019,131.8548316,57.33204027,2.73E-06,2.84E-10,1.65E-08,2127.668375,2112.57275,21.89974642
0.45,0.05,0.4,0.1,0,2451.376098,2292.19175,8.39E-06,9.06E-06,9.91E-06,25.72232278,8.43064009,26.34133925,8.362127762,26.35357749,8.360662008,3.411985019,478.6107746,279.7688558,1.97E-13,3.21E-09,1.68E-07,2443.406075,2065.31045,221.5274059
0.4,0.1,0.5,0,0,2191.37114,2174.016154,8.97E-06,9.76E-06,1.08E-05,22.74230777,7.031860532,23.28692554,6.968807512,23.13118046,6.988034987,3.39800995,314.205209,163.1192981,3.43E-07,1.45E-05,2.35E-05,2142.814875,2034.71925,123.1571975
