Year,Iteration,Alloy Name,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS_pred(MPa) at 298K,SFE_calc,VEC Avg,Yield Strength(Mpa),UTS_True(Mpa),UTS/YS,Elong_T(%),Hardness (GPa),Modulus(Gpa),Cracked,Processing,Recryst,XRD Phase,Tension Test Designation,EDS Measured Atomic %s Al ,EDS Measured Atomic %s Co ,EDS Measured Atomic %s Cr ,EDS Measured Atomic %s Cu,EDS Measured Atomic %s Fe ,EDS Measured Atomic %s Mn,EDS Measured Atomic %s Ni ,EDS Measured Atomic %s V ,Grain Size(um)
1,AAC,AAC03,0,40,20,0,5,0,30,5,195.157012,-61.1,565,461,863,1.87,26.2,3.05,216,0,Forged,No Treatment,FCC,Ductile,0 ,40.1 ,20.2 ,0,5.1 ,0,29.5 ,5.1 ,N/A
1,AAC,AAC04,0,45,15,0,10,0,15,15,309.0216024,-36.6,485,569,1044,1.83,29.1,3.17,225,0,Forged,No Treatment,FCC,Ductile,0 ,44.8 ,15.1 ,0,10.1 ,0,14.8 ,15.1 ,N/A
1,AAC,AAC05,0,75,0,0,15,0,0,10,241.5553432,-136.2,320,382,646,1.69,27.2,2.25,199,0,Forged,No Treatment,FCC,Ductile,0 ,74.4 ,0 ,0,15.4 ,0,0 ,10.2 ,N/A
1,AAC,AAC06,0,25,20,0,10,0,35,10,253.5297866,7.6,650,460,932,2.03,32.6,2.73,193,0,Forged,No Treatment,FCC,Ductile,0 ,24.9 ,20.3 ,0,10.1 ,0,34.4 ,10.2 ,N/A
1,AAC,AAC07,0,45,5,0,15,0,25,10,241.6991009,-99,540,357,671,1.88,26.6,2.58,223,0,Forged,No Treatment,FCC,Ductile,0 ,45.0 ,5.1 ,0,15.2 ,0,24.7 ,9.9 ,N/A
1,AAC,AAC08,0,30,10,0,15,0,30,15,293.4822158,-26.3,615,444,966,2.18,33.8,2.83,213,0,Forged,No Treatment,FCC,Ductile,0 ,29.8 ,10.1 ,0,15.2 ,0,29.6 ,15.2 ,N/A
1,AAC,AAC09,5,10,5,0,20,0,55,5,435.8880453,67.3,800,366,804,2.2,38.4,2.67,222,0,Forged,No Treatment,FCC,Ductile,5.2 ,10.0 ,5.1 ,0,20.3 ,0,54.2 ,5.1 ,N/A
1,AAC,AAC10,0,10,20,0,5,0,60,5,182.6807328,50.3,805,397,734,1.85,22.4,2.58,240,0,Forged,No Treatment,FCC,Ductile,0 ,10.3 ,20.4 ,0,5.1 ,0,59.2 ,5.1 ,N/A
1,AAC,AAC11,0,10,5,0,5,0,50,30,374.9055941,360.9,740,637,1115,1.75,25,3.32,191,0,Forged,No Treatment,FCC,Ductile,0 ,10.0 ,5.0 ,0,5.0 ,0,49.5 ,30.5 ,N/A
1,AAC,AAC12,0,35,15,0,5,0,20,25,371.290979,92.1,525,790,790,1,0,6.04,219,1,Forged,No Treatment,D022,Brittle,,,,,,,,,N/A
1,AAC,AAC13,0,15,20,0,5,0,45,15,299.8907032,120.5,715,551,1060,1.92,31,2.96,205,0,Forged,No Treatment,FCC,Ductile,0 ,15.1 ,20.2 ,0,5.1 ,0,44.4 ,15.3 ,N/A
1,AAC,AAC14,0,15,5,0,15,0,40,25,344.4982674,196,705,541,1136,2.1,33.7,3.32,207,0,Forged,No Treatment,FCC,Ductile,0 ,15.0 ,5.0 ,0,15.1 ,0,39.5 ,25.4 ,N/A
1,AAC,AAC15,5,5,5,0,20,0,50,15,472.4146152,119.9,790,542,1006,1.86,29.1,3.35,232,0,Forged,No Treatment,FCC,Ductile,5.5 ,4.9 ,5.0 ,0,20.2 ,0,49.4 ,15.1 ,N/A
1,AAC,AAC16,0,25,15,0,5,0,35,20,340.2266634,118.5,630,613,1197,1.95,31.8,3.29,217,0,Forged,No Treatment,FCC,Ductile,0 ,24.9 ,15.2 ,0,5.2 ,0,34.3 ,20.4 ,N/A
1,AAD,AAD01,0,30,10,0,10,0,30,20,335.5917857,47.1,600,625,1221,1.95,31,3.37,201,0,Forged,No Treatment,FCC,Ductile,0,29.6,10.6,0,9.9,0,28.6,21.2,N/A
1,AAD,AAD02,0,40,5,0,15,0,15,25,359.5723946,-3,505,551,1504,2.73,24,3.82,191,0,Forged,No Treatment,FCC,Ductile,0,39.4,5.3,0,14.9,0,14.3,26.1,N/A
1,AAD,AAD03,0,5,5,0,30,0,45,15,261.1804501,19.5,805,361,842,2.33,34,2.38,216,0,Forged,No Treatment,FCC,Ductile,0,5.3,5.3,0,30.4,0,43.2,15.8,N/A
1,AAD,AAD04,0,20,5,0,25,0,35,15,275.7386381,-32.5,695,391,822,2.1,30,2.3,225,0,Forged,No Treatment,FCC,Ductile,0,20.2,5.3,0,25.2,0,33.5,15.8,N/A
1,AAD,AAD05,0,40,25,0,10,0,20,5,203.7096246,-85.3,535,502,996,1.98,32,2.77,199,0,Forged,No Treatment,FCC,Ductile,0,39.2,26.2,0,10,0,19.2,5.3,N/A
1,AAD,AAD06,0,35,15,0,10,0,25,15,303.7173841,-7.5,565,521,1042,2,30,2.94,193,0,Forged,No Treatment,FCC,Ductile,0,34.5,15.7,0,10,0,24,15.8,N/A
1,AAD,AAD07,0,20,10,0,10,0,45,15,292.5769617,37.4,705,443,986,2.23,34,2.93,223,0,Forged,No Treatment,FCC,Ductile,0,20.1,10.6,0,10.1,0,43.2,15.9,N/A
1,AAD,AAD08,0,25,25,0,15,0,25,10,250.7808665,3.2,620,491,945,1.92,29,2.77,213,0,Forged,No Treatment,FCC,Ductile,0,24.7,26.2,0,14.7,0,23.9,10.6,N/A
1,AAD,AAD09,0,15,15,0,5,0,45,20,334.364454,185.8,710,525,1142,2.18,35,2.95,222,0,Forged,No Treatment,FCC,Ductile,0,15,15.8,0,4.9,0,43.3,21,N/A
1,AAD,AAD10,0,5,5,0,30,0,55,5,156.4381732,75.2,855,308,620,2.01,23,2.15,240,0,Forged,No Treatment,FCC,Ductile,0,5.4,5.4,0,30.9,0,53.1,5.3,N/A
1,AAD,AAD11,0,20,10,0,5,0,40,25,363.0869922,220.2,665,590,1274,2.16,32,3.41,191,0,Forged,No Treatment,FCC,Ductile,0,19.8,10.5,0,4.9,0,38.5,26.3,N/A
1,AAD,AAD12,0,20,15,0,0,0,35,30,386.2269491,266.2,630,559,561,1,0,5.96,219,1,Forged,No Treatment,FCC + FCC,Brittle,,,,,,,,,N/A
1,AAD,AAD13,5,10,0,0,5,0,55,25,512.047066,257.7,750,669,1164,1.74,26,3.48,205,0,Forged,No Treatment,FCC,Ductile,3.1,10.4,0,0,5.2,0,54.7,26.6,N/A
1,AAD,AAD14,0,15,15,0,15,0,40,15,286.9361868,74.3,715,459,931,2.03,30,2.57,207,0,Forged,No Treatment,FCC,Ductile,0,15.1,15.8,0,14.9,0,38.4,15.8,N/A
1,AAD,AAD15,0,25,5,0,10,0,35,25,358.3455934,139.7,635,614,1311,2.14,37,3.02,232,0,Forged,No Treatment,FCC,Ductile,0,24.9,5.3,0,10,0,33.7,26.1,N/A
1,AAD,AAD16,0,35,20,0,10,0,15,20,337.8624475,61.9,520,460,462,1,0,5.22,217,1,Forged,No Treatment,FCC + FCC,Brittle,,,,,,,,,N/A
1,AAE,AAE01,0,0,20,0,55,0,25,0,67.31573233,-144.2,810,318,569,1.79,23,1.63,193.04,0,Forged,No Treatment,FCC,Ductile,0,0,21.5,0,55.3,0,23.2,0,N/A
1,AAE,AAE02,0,10,0,0,0,0,75,15,278.374904,-0.7,845,398,899,2.26,36,2.42,212.4,0,Forged,No Treatment,BCC,Ductile,0,10.6,0,0,0,0,73.9,15.4,N/A
1,AAE,AAE03,0,50,5,0,15,0,5,25,365.4429332,-42.4,425,539,1581,2.93,27,3.37,225.55,0,Forged,No Treatment,FCC,Ductile,0,48.8,5.3,0,15,0,4.9,26,N/A
1,AAE,AAE04,0,35,20,0,30,0,15,0,112.7525073,-153.5,580,448,892,1.99,31,2.19,209.36,0,Forged,No Treatment,FCC,Ductile,0,35,20.6,0,29.9,0,14.5,0,N/A
1,AAE,AAE05,0,65,15,0,0,0,10,10,266.8285728,-141.6,370,548,960,1.75,22,3.09,237.14,0,Forged,No Treatment,FCC,Ductile,0,64,15.8,0,0,0,9.8,10.5,N/A
1,AAE,AAE06,0,10,0,0,30,0,40,20,295.6443753,16.1,760,336,850,2.53,36,2.33,195.94,0,Forged,No Treatment,FCC,Ductile,0,10.4,0,0,30.6,0,38,21,N/A
1,AAE,AAE07,0,15,20,0,15,0,40,10,243.8177625,33.1,720,431,895,2.08,32,2.43,196.74,0,Forged,No Treatment,FCC,Ductile,0,15.1,21.2,0,14.9,0,38.1,10.7,N/A
1,AAE,AAE08,0,40,5,0,15,0,20,20,333.216789,-63.8,530,518,1325,2.56,21,3.42,234.77,0,Forged,No Treatment,L12,Ductile,0,39.6,5.3,0,15.1,0,19.2,20.8,N/A
1,AAE,AAE09,0,25,0,0,35,0,35,5,157.4524677,407.7,705,305,557,1.83,20,1.8,162.96,0,Forged,No Treatment,FCC,Ductile,0,25.6,0,0,36,0,33.3,5.2,N/A
1,AAE,AAE10,0,20,5,0,15,0,40,20,322.3600034,661.9,690,244,644,2.64,39,1.85,178.91,0,Forged,No Treatment,FCC,Ductile,0,20.2,5.3,0,15.1,0,38.4,20.9,N/A
1,AAE,AAE11,0,20,10,0,0,0,45,25,370.6097422,723.5,675,615,1256,2.04,36,3,211.02,0,Forged,No Treatment,FCC,Ductile,0,20,10.4,0,0,0,43.5,26.2,N/A
1,AAE,AAE12,5,5,0,0,40,0,45,5,407.6009793,472.4,820,477,1062,2.23,34,2.69,211.67,0,Forged,No Treatment,FCC,Ductile,3.9,5.6,0,0,42.2,0,42.8,5.5,N/A
