Year,Iteration,Alloy Name,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al ,EDS Measured Atomic % Co ,EDS Measured Atomic % Cr ,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe ,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni ,EDS Measured Atomic % V ,"Hardness, HV","SD, HV",Yield Strength (MPa),"SD, YS",UTS_True (Mpa),"SD, UTS",UTS/YS,"SD, UTS/YS",Elong_T (%),"SD, Elong%",Hardness (GPa) SRJT,"SD, Hardness",Modulus (GPa) SRJT,"SD, Modulus",Avg Hdyn (GPa) HSR,"SD, Avg Hdyn",Avg Hqs (GPa) HSR,"SD, Avg Hqs",Avg HDYN/HQS,"Std, Hdyn/Hqs",Indentation Depth (µm),Depth of Penetration (mm) FE_Sim,Grain Size (µm),Cracked,Processing,Recrystallization,XRD Phase,Tension Test Designation,Grain Size(um),Notes
2,BBB,BBB03,4,0,12,4,4,16,52,8,572.3020155,218.72,832.0,4.1,,12.3,4.1,4.1,16.1,51.2,8.2,162.2,4.4,307.1,2.5,1219.5,18.7,4.0,0.1,55.7,2.6,2.23,0.03,184.96,7.62,2.69,0.1,2.32,0.07,1.16,0.05,,2.81,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,52.45,
2,BAA,BAA05,4,12,8,0,8,8,56,4,388.7773503,204.2,784.0,4,12.2,8.3,0.0,8.2,8.1,55.1,4.1,166.6,8.3,304.1,2.0,938.4,15.4,3.1,0.1,39.0,0.7,2.25,0.06,202.62,6.62,2.78,0.08,2.55,0.04,1.09,0.04,,2.88,,0.0,Forged,925C for 30min/ water quench,FCC,,26.0,
2,BBC,BBC12,4,4,4,8,28,16,32,4,,140.16,,4.1,4.3,4.2,7.8,28,16.1,31.3,4.1,133.1,11.4,252.1,,971.8,,3.9,,46.3,,1.86,0.08,178.42,9.02,2.18,0.05,1.81,0.1,1.2,0.05,,3.04,,,Cold Rolled,950C for 30min/ water quench,FCC,,21.0,
1,AAC,AAC13,0,15,20,0,5,0,45,15,299.8907032,120.5,715.0,0 ,15.1 ,20.2 ,0.0,5.1 ,0.0,44.4 ,15.3 ,258.8,9.7,551.0,11.1,1060.0,31.1,1.92,0.07,31.0,0.6,2.96,0.25,207.29,9.81,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAA,AAA16,0,5,10,0,10,0,55,20,321.2962495,202.24,800.0,0 ,5.0 ,10.1 ,0.0,10.1 ,0.0,54.7 ,20.0 ,255.3,8.2,517.0,52.3,977.0,23.1,1.89,0.17,26.7,0.6,2.88,0.15,194.55,3.9,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBA,BBA06,4,0,8,4,24,12,44,4,349.4921837,180.6,840.0,4.2,0,8.3,4.1,24,11.9,43.4,4.1,118.6,2.1,230.5,3.6,976.4,27.2,4.2,0.1,49.0,2.8,2.04,0.1,165.34,8.63,2.31,0.05,1.97,0.05,1.17,0.04,,3.09,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,46.4,
1,AAC,AAC08,0,30,10,0,15,0,30,15,293.4822158,-26.3,615.0,0 ,29.8 ,10.1 ,0.0,15.2 ,0.0,29.6 ,15.2 ,218.6,11.5,444.0,2.4,966.0,7.5,2.18,0.02,33.8,0.7,2.83,0.16,225.0,6.72,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAE,AAE05,0,65,15,0,0,0,10,10,266.8285728,-141.6,370.0,0,64,15.8,0.0,0,0.0,9.8,10.5,274.0,19.1,548.0,27.8,960.0,15.3,1.75,0.12,22.0,2.0,3.09,0.14,237.14,8.06,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBA,BBA19,4,8,0,12,20,8,48,0,535.3830181,307.07,856.0,4.0,8.1,0.0,11.9,20.4,8.2,47.4,0.0,124.8,4.0,232.6,1.7,911.2,19.2,3.9,0.1,42.1,0.7,1.89,0.1,189.5,6.99,2.36,0.08,2.01,0.08,1.17,0.06,,3.11,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,43.0,
1,AAC,AAC16,0,25,15,0,5,0,35,20,340.2266634,118.5,630.0,0 ,24.9 ,15.2 ,0.0,5.2 ,0.0,34.3 ,20.4 ,274.5,9.4,613.0,26.5,1197.0,57.8,1.95,0.13,31.8,1.1,3.29,0.32,209.59,10.0,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BAA,BAA15,0,20,8,4,0,20,44,4,169.3251243,136.9,732.0,0,18.6,8,4.2,0,20.5,44.8,3.9,161.2,5.8,319.3,0.7,1043.6,33.9,3.3,0.1,40.7,2.0,2.2,0.06,201.32,6.66,2.56,0.11,2.31,0.1,1.11,0.07,,2.82,,0.0,Forged,925C for 30min/ water quench,FCC,,19.0,
2,BBA,BBA15,0,20,8,4,0,20,44,4,169.3251243,136.9,732.0,0,19.9,8.2,4.2,0,20.5,43.2,4,154.0,7.2,340.8,,1095.8,,3.2,,41.0,,2.25,0.12,263.51,13.16,2.52,0.09,2.23,0.1,1.13,0.07,,2.74,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,39.16,
1,AAC,AAC02,0,10,5,0,35,0,35,15,257.1647128,-0.3,755.0,0 ,10.0 ,5.0 ,0.0,35.1 ,0.0,34.8 ,15.0 ,227.7,6.1,391.0,6.0,832.0,10.7,2.13,0.04,29.7,2.5,2.52,0.19,199.87,10.55,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BAA,BAA07,4,12,0,0,16,8,52,8,400.648516,250.0,780.0,4.4,12.1,0,0.0,16.2,8.1,50.9,8.2,198.3,6.8,392.9,3.6,1069.3,39.3,2.7,0.1,33.7,2.6,2.42,0.03,197.69,1.26,2.88,0.06,2.7,0.05,1.07,0.03,,2.62,,0.0,Forged,925C for 30min/ water quench,FCC,,18.0,
2,BBA,BBA03,4,12,8,4,16,8,48,0,345.3217004,131.5,792.0,4.3,12.1,8.2,4.2,16.1,8.2,47,0,128.9,3.1,217.6,4.8,897.5,9.1,4.1,0.1,47.1,1.7,2.03,0.13,156.06,7.03,2.3,0.05,1.95,0.05,1.18,0.04,,3.19,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,39.92,
1,AAD,AAD15,0,25,5,0,10,0,35,25,358.3455934,139.7,635.0,0,24.9,5.3,0.0,10,0.0,33.7,26.1,271.6,14.0,614.0,5.9,1311.0,3.3,2.14,0.02,37.0,1.3,3.02,0.08,213.68,5.0,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBB,BBB12,0,20,4,0,4,4,48,20,688.7459049,264.08,704.0,0,20.2,4.2,0.0,4.1,4.0,47.1,20.4,207.5,5.2,418.3,,1399.7,,3.4,,46.5,,3.04,0.09,215.0,8.99,3.75,0.18,3.25,0.15,1.15,0.08,,2.52,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,,
1,AAE,AAE15,0,30,5,0,15,0,20,30,368.6729682,707.5,560.0,,,,,,,,,444.0,23.6,,,,,,,,,4.28,1.15,202.06,11.59,,,,,,,,,,1.0,Forged,No Treatment,FCC + FCC,Brittle,,
1,AAD,AAD06,0,35,15,0,10,0,25,15,303.7173841,-7.5,565.0,0,34.5,15.7,0.0,10,0.0,24,15.8,230.7,10.1,521.0,20.2,1042.0,31.8,2.0,0.1,30.0,0.8,2.94,0.16,217.91,9.92,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAA,AAA06,0,35,25,0,5,0,30,5,202.0427935,-46.09,585.0,0 ,34.9 ,25.6 ,0.0,5.0 ,0.0,29.3 ,5.2 ,263.2,13.8,650.0,66.1,974.0,22.7,1.5,0.19,20.5,3.3,2.9,0.19,199.06,15.24,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBB,BBB06,0,16,20,0,4,4,36,20,776.1545889,230.74,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Cold Rolled,950C for 30min/ water quench,FCC+σ,,,
2,BBA,BBA02,4,16,0,4,12,8,52,4,372.3869586,195.2,780.0,4.2,15,,4.2,12.2,8.2,52.2,4.1,151.5,5.7,301.0,6.6,1079.9,27.4,3.6,0.1,44.8,0.3,,,,,2.46,0.13,2.1,0.14,1.17,0.1,,,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,31.94,Does not have Kolsky bar data and hence Depth of penetration cannot be estimated
1,AAD,AAD02,0,40,5,0,15,0,15,25,359.5723946,-3.0,505.0,0,39.4,5.3,0.0,14.9,0.0,14.3,26.1,287.7,12.9,551.0,29.1,1504.0,11.3,2.73,0.14,24.0,1.1,3.82,0.25,234.03,14.27,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAC,AAC04,0,45,15,0,10,0,15,15,309.0216024,-36.6,485.0,0 ,44.8 ,15.1 ,0.0,10.1 ,0.0,14.8 ,15.1 ,295.1,48.1,569.0,17.4,1044.0,3.3,1.83,0.06,29.1,0.5,3.17,0.14,229.63,6.71,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BAA,BAA01,4,8,4,4,16,12,48,4,364.1664646,228.4,808.0,4.1,8.2,4.2,4.1,16.1,12.2,47.1,4.1,158.8,9.3,277.1,5.8,930.4,10.4,3.4,0.1,41.0,0.2,2.14,0.07,198.95,5.38,2.47,0.01,2.3,0.12,1.07,0.06,,2.94,,0.0,Forged,925C for 30min/ water quench,FCC,,19.9,
1,AAE,AAE14,0,20,20,0,15,0,30,15,289.5827743,630.3,655.0,0,19.8,21.1,0.0,14.8,0.0,28.5,15.9,270.9,8.8,470.0,5.0,967.0,63.9,2.06,0.11,31.0,1.7,2.51,0.2,193.22,12.63,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAC,AAC03,0,40,20,0,5,0,30,5,195.157012,-61.1,565.0,0 ,40.1 ,20.2 ,0.0,5.1 ,0.0,29.5 ,5.1 ,252.4,12.9,461.0,39.4,863.0,22.7,1.87,0.17,26.2,3.7,3.05,0.19,237.02,7.14,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBA,BBA16,4,12,0,12,20,8,44,0,322.7523249,118.0,824.0,4.1,12.3,0,11.8,20.4,8.1,43.2,0,124.5,5.0,209.6,5.3,846.1,9.7,4.0,0.1,42.4,1.8,2.66,0.18,141.59,8.23,2.5,0.09,2.29,0.11,1.09,0.07,,3.29,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,43.31,Sample Remade due to chemistry issues
1,AAA,AAA08,0,10,10,0,25,0,50,5,166.3823782,39.67,805.0,0 ,10.2 ,10.5 ,0.0,25.5 ,0.0,48.4 ,5.3 ,203.9,13.6,447.0,13.5,660.0,13.4,1.48,0.06,14.2,2.7,2.15,0.1,187.18,5.81,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAC,AAC12,0,35,15,0,5,0,20,25,371.290979,92.1,525.0,,,,,,,,,491.9,49.4,790.0,0.0,790.0,0.0,1.0,0.0,0.0,0.0,6.04,1.37,223.68,12.55,,,,,,,,,,1.0,Forged,No Treatment,D022 ,Brittle,,
1,AAE,AAE07,0,15,20,0,15,0,40,10,243.8177625,33.1,720.0,0,15.1,21.2,0.0,14.9,0.0,38.1,10.7,196.7,7.2,431.0,1.5,895.0,6.5,2.08,0.03,32.0,0.0,2.43,0.15,196.74,11.87,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BAA,BAA16,4,12,0,12,20,8,44,0,322.7523249,118.0,824.0,3.9,12.2,0,11.9,20.3,8.4,43.2,0,132.7,5.3,212.6,0.7,791.6,30.6,3.7,0.1,39.0,2.6,1.79,0.04,170.41,5.59,2.23,0.05,1.98,0.05,1.13,0.04,,3.25,,0.0,Forged,925C for 30min/ water quench,FCC,,29.0,
2,BAA,BAA04,0,12,8,4,16,20,36,4,156.6231368,133.0,764.0,0,11.8,8.1,4.1,15.9,20.5,35.4,4,144.9,4.4,271.2,0.0,906.0,29.7,3.3,0.1,39.1,1.8,1.91,0.05,183.07,9.25,2.29,0.03,2.1,0.06,1.09,0.03,,3.01,,0.0,Forged,925C for 30min/ water quench,FCC,,15.0,
2,BBC,BBC01,4,12,4,4,20,16,32,8,,178.6,,4,12.2,4.2,4.0,20.1,16.0,31.4,8.2,132.3,4.0,254.6,2.3,1069.3,28.1,4.2,0.1,51.8,0.4,2.13,0.16,162.29,8.36,2.36,0.09,2.02,0.07,1.17,0.05,,2.96,,,Cold Rolled,950C for 30min/ water quench,FCC,,25.8,
2,BBC,BBC02,4,8,0,0,4,8,52,24,,351.42,,4,8.2,,,4.1,8.0,51.2,24.4,199.9,11.0,449.1,0.9,1462.7,40.8,3.3,0.1,48.4,2.0,2.63,0.13,191.23,7.05,3.1,0.1,2.66,0.12,1.16,0.05,,2.44,,,Cold Rolled,950C for 30min/ water quench,FCC,,14.7,
2,BAA,BAA10,4,0,4,0,20,8,52,12,407.4644681,293.4,832.0,4.3,0,4.2,0.0,20.1,8.1,51,12.3,160.8,13.1,304.8,1.9,950.9,27.3,3.1,0.1,40.0,1.1,2.18,0.03,181.2,13.16,2.55,0.06,2.38,0.06,1.07,0.04,,2.92,,0.0,Forged,925C for 30min/ water quench,FCC,,18.0,
1,AAA,AAA09,5,0,5,0,25,0,60,5,425.7082281,81.81,870.0,5.5 ,0 ,5.2 ,0.0,25.5 ,0.0,58.6 ,5.3 ,195.5,9.2,331.0,29.2,782.0,24.5,2.36,0.18,40.1,3.3,2.31,0.09,178.43,2.68,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAA,AAA14,0,25,10,0,5,0,35,25,366.0800116,177.3,625.0,0 ,24.9 ,10.1 ,0.0,5.0 ,0.0,34.8 ,25.2 ,296.2,2.6,601.0,17.4,1144.0,32.8,1.9,0.08,29.9,0.9,3.4,0.29,198.66,5.95,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBC,BBC06,4,28,4,0,4,4,44,12,,120.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Rolled,950C for 30min/ water quench,,,,
2,BBB,BBB08,4,8,12,4,4,24,40,4,413.9017845,216.99,764.0,3.8,8,12.3,4.2,4.1,24.0,39.4,4.1,143.2,3.0,282.4,1.6,1143.1,11.7,4.1,0.1,54.6,0.5,2.08,0.03,171.77,7.72,2.4,0.05,2.1,0.1,1.14,0.06,,2.9,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,40.11,
1,AAA,AAA04,0,25,10,0,20,0,40,5,173.2094365,1.64,695.0,0 ,25.2 ,10.4 ,0.0,20.2 ,0.0,39.0 ,5.2 ,187.0,10.1,383.0,33.5,621.0,50.2,1.62,0.18,19.5,0.3,2.31,0.13,189.31,6.19,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAB,AAB02,0,5,0,0,75,0,20,0,52.69286578,-519.41,810.0,0,5.1,0,0.0,75,0.0,19.9,0,235.1,5.0,610.0,30.8,798.0,11.1,1.31,0.07,3.6,0.4,2.53,0.07,157.73,6.21,,,,,,,,,,1.0,Forged,No Treatment,BCC ,Ductile,,
1,AAC,AAC07,0,45,5,0,15,0,25,10,241.6991009,-99.0,540.0,0 ,45.0 ,5.1 ,0.0,15.2 ,0.0,24.7 ,9.9 ,216.0,8.1,357.0,1.4,671.0,36.7,1.88,0.1,26.6,2.4,2.58,0.13,196.42,5.74,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAE,AAE09,0,25,0,0,35,0,35,5,157.4524677,407.7,705.0,0,25.6,0,0.0,36,0.0,33.3,5.2,160.0,9.5,305.0,0.4,557.0,26.5,1.83,0.09,20.0,1.8,1.8,0.06,162.96,4.45,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBB,BBB14,4,0,12,16,4,12,52,0,735.0220013,147.37,896.0,4.4,0,12.1,15.7,4.1,12.4,51.3,0,138.3,2.2,269.7,3.7,1062.7,15.9,3.9,0.1,51.5,1.9,1.99,0.06,182.28,6.22,2.33,0.06,2.01,0.08,1.16,0.06,,2.96,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,47.41,
1,AAA,AAA07,0,55,10,0,10,0,15,10,254.5196106,-124.99,450.0,0 ,54.7 ,10.3 ,0.0,10.1 ,0.0,14.6 ,10.3 ,259.2,15.5,606.0,29.1,952.0,7.9,1.57,0.09,24.9,1.1,2.88,0.16,197.23,6.66,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBA,BBA14,0,16,8,4,16,20,36,0,108.1028714,75.5,752.0,0,16.1,8.2,4.0,16,20.3,35.3,0,132.1,2.4,259.4,3.4,953.9,46.1,3.7,0.2,41.4,2.4,2.05,0.14,229.87,15.37,2.34,0.09,2.0,0.06,1.17,0.06,,3.02,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,34.3,
