number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
30,0.01493701978229919,2024-12-21 16:05:38.956795,2024-12-21 16:06:09.646275,0 days 00:00:30.689480,0.1343699566765055,384,0.2,1232,50,2.2905483534397386e-05,51,0.0006436098497302224,5,4,"{'neurons_per_layer_encoder': [1232, 616, 308, 154], 'neurons_per_layer_decoder': [154, 308, 616, 1232, 2464]}",1232,"[154, 308, 616, 1232, 2464]","[1232, 616, 308, 154]",0.9984126787410837,0.8134271320608849,COMPLETE
31,0.01946663861158051,2024-12-21 16:05:42.991185,2024-12-21 16:06:00.726285,0 days 00:00:17.735100,0.032092464434732446,384,0.1,1232,50,6.216211837036023e-05,51,0.0004249013593939768,4,4,"{'neurons_per_layer_encoder': [1232, 616, 308, 154], 'neurons_per_layer_decoder': [154, 308, 616, 1232]}",1232,"[154, 308, 616, 1232]","[1232, 616, 308, 154]",0.9981791280020423,0.7568493148010118,COMPLETE
32,0.016341272919451453,2024-12-21 16:05:43.736929,2024-12-21 16:06:07.197800,0 days 00:00:23.460871,0.03516369039144219,384,0.1,1232,50,6.083373576875639e-05,51,0.00041205101818301144,4,4,"{'neurons_per_layer_encoder': [1232, 616, 308, 154], 'neurons_per_layer_decoder': [154, 308, 616, 1232]}",1232,"[154, 308, 616, 1232]","[1232, 616, 308, 154]",0.9984321738638967,0.7958871181270833,COMPLETE
33,0.014121617326799936,2024-12-21 16:05:55.530407,2024-12-21 16:06:19.840202,0 days 00:00:24.309795,0.03725846989172318,384,0.1,1232,50,6.014608837534427e-05,51,0.00038411117194979275,4,4,"{'neurons_per_layer_encoder': [1232, 616, 308, 154], 'neurons_per_layer_decoder': [154, 308, 616, 1232]}",1232,"[154, 308, 616, 1232]","[1232, 616, 308, 154]",0.9985753774940661,0.8236120268300124,COMPLETE
34,0.01688183546905387,2024-12-21 16:05:58.409182,2024-12-21 16:06:19.674900,0 days 00:00:21.265718,0.033296008278458675,384,0.2,1216,50,5.963854707869551e-05,50,0.0003846319680148651,4,4,"{'neurons_per_layer_encoder': [1216, 608, 304, 152], 'neurons_per_layer_decoder': [152, 304, 608, 1216]}",1216,"[152, 304, 608, 1216]","[1216, 608, 304, 152]",0.9984170938931826,0.7891351484135989,COMPLETE
35,0.015700808310684204,2024-12-21 16:06:00.737010,2024-12-21 16:06:22.535310,0 days 00:00:21.798300,0.03993761367316481,384,0.2,1440,50,0.00011717945357911224,60,0.0006057262312142065,4,4,"{'neurons_per_layer_encoder': [1440, 720, 360, 180], 'neurons_per_layer_decoder': [180, 360, 720, 1440]}",1440,"[180, 360, 720, 1440]","[1440, 720, 360, 180]",0.998325047422322,0.8038869280364745,COMPLETE
36,0.019998161020208485,2024-12-21 16:06:03.681713,2024-12-21 16:06:31.426511,0 days 00:00:27.744798,0.014309389686759426,640,0.2,1488,50,0.0001201200563213935,62,0.0003856051356709427,4,4,"{'neurons_per_layer_encoder': [1488, 744, 372, 186], 'neurons_per_layer_decoder': [186, 372, 744, 1488]}",1488,"[186, 372, 744, 1488]","[1488, 744, 372, 186]",0.9988398535337784,0.7502102621923286,COMPLETE
37,0.01040462067799996,2024-12-21 16:06:07.207967,2024-12-21 16:06:31.508981,0 days 00:00:24.301014,0.04273226810333216,256,0.1,976,50,0.00011610360628637992,20,0.0006242805488369771,5,5,"{'neurons_per_layer_encoder': [976, 488, 244, 122, 61], 'neurons_per_layer_decoder': [61, 122, 244, 488, 976]}",976,"[61, 122, 244, 488, 976]","[976, 488, 244, 122, 61]",0.9982645903325821,0.8700396767222953,COMPLETE
38,0.007964984673159883,2024-12-21 16:06:09.668004,2024-12-21 16:06:32.231608,0 days 00:00:22.563604,0.0438055074239001,256,0.1,1392,50,0.0001225884473683625,29,0.0008382078970933774,3,5,"{'neurons_per_layer_encoder': [1392, 696, 348, 174, 87], 'neurons_per_layer_decoder': [87, 174, 348]}",1392,"[87, 174, 348]","[1392, 696, 348, 174, 87]",0.9979398763247127,0.9005122805471847,COMPLETE
39,0.006760013626787489,2024-12-21 16:06:19.691034,2024-12-21 16:06:41.896588,0 days 00:00:22.205554,0.047904050588744716,256,0.1,1408,50,0.00011503268678379721,29,0.0008840191989828842,3,5,"{'neurons_per_layer_encoder': [1408, 704, 352, 176, 88], 'neurons_per_layer_decoder': [88, 176, 352]}",1408,"[88, 176, 352]","[1408, 704, 352, 176, 88]",0.9983504923355563,0.9155631345449619,COMPLETE
40,0.012640611729624626,2024-12-21 16:06:19.864304,2024-12-21 16:06:42.091810,0 days 00:00:22.227506,0.046911917374783334,256,0.1,1376,50,0.00011862522904199479,28,0.0008115061334184003,3,5,"{'neurons_per_layer_encoder': [1376, 688, 344, 172, 86], 'neurons_per_layer_decoder': [86, 172, 344]}",1376,"[86, 172, 344]","[1376, 688, 344, 172, 86]",0.99767074414573,0.8421107277573768,COMPLETE
41,0.007528484027476695,2024-12-21 16:06:22.549119,2024-12-21 16:06:36.096980,0 days 00:00:13.547861,0.014729998365842397,256,0.1,1008,50,0.0001240147623607169,21,0.0008190121317017768,3,5,"{'neurons_per_layer_encoder': [1008, 504, 252, 126, 63], 'neurons_per_layer_decoder': [63, 126, 252]}",1008,"[63, 126, 252]","[1008, 504, 252, 126, 63]",0.9979941136824175,0.9059644509606494,COMPLETE
42,0.008040295328266781,2024-12-21 16:06:31.469013,2024-12-21 16:06:50.595737,0 days 00:00:19.126724,0.11254065082281199,256,0.1,960,50,3.7660834921465964e-05,20,0.0008464060461704397,3,5,"{'neurons_per_layer_encoder': [960, 480, 240, 120, 60], 'neurons_per_layer_decoder': [60, 120, 240]}",960,"[60, 120, 240]","[960, 480, 240, 120, 60]",0.9979374587292867,0.8995716026131353,COMPLETE
43,0.007243029508388602,2024-12-21 16:06:31.551305,2024-12-21 16:06:51.471779,0 days 00:00:19.920474,0.10658092884041649,256,0.1,1600,50,3.402000238854708e-05,33,0.0008411997542878048,3,5,"{'neurons_per_layer_encoder': [1600, 800, 400, 200, 100], 'neurons_per_layer_decoder': [100, 200, 400]}",1600,"[100, 200, 400]","[1600, 800, 400, 200, 100]",0.99810909354349,0.9095299592794881,COMPLETE
44,0.31190067064857485,2024-12-21 16:06:32.242627,2024-12-21 16:09:31.575917,0 days 00:02:59.333290,0.02532700546382129,256,0.3,1648,50,7.956737882384236e-05,338,0.0008357506083686881,3,2,"{'neurons_per_layer_encoder': [1648, 824], 'neurons_per_layer_decoder': [824, 1648, 3296]}",1648,"[824, 1648, 3296]","[1648, 824]",0.9962364451955613,-2.895837555493999,COMPLETE
45,0.023587070694883885,2024-12-21 16:06:36.112538,2024-12-21 16:07:09.844329,0 days 00:00:33.731791,0.02499043115421135,256,0.3,1328,50,8.458305714819854e-05,317,0.0005169720935924483,3,2,"{'neurons_per_layer_encoder': [1328, 664], 'neurons_per_layer_decoder': [664, 1328, 2656]}",1328,"[664, 1328, 2656]","[1328, 664]",0.9971709529602807,0.7053824999922601,COMPLETE
46,0.34890390591587145,2024-12-21 16:06:41.941062,2024-12-21 16:08:58.762817,0 days 00:02:16.821755,0.013053961575188547,256,0.1,1344,50,0.00021980446017818894,256,0.0008107122829794913,3,2,"{'neurons_per_layer_encoder': [1344, 672], 'neurons_per_layer_decoder': [672, 1344, 2688]}",1344,"[672, 1344, 2688]","[1344, 672]",0.9957367707044761,-3.3580314755306144,COMPLETE
47,0.011572787934539972,2024-12-21 16:06:42.161573,2024-12-21 16:07:12.054351,0 days 00:00:29.892778,0.01354253957425671,256,0.1,1568,50,9.05848539755944e-05,32,0.00050939165709873,3,5,"{'neurons_per_layer_encoder': [1568, 784, 392, 196, 98], 'neurons_per_layer_decoder': [98, 196, 392]}",1568,"[98, 196, 392]","[1568, 784, 392, 196, 98]",0.9976517841812493,0.8554485254443468,COMPLETE
48,0.004406125599401465,2024-12-21 16:06:50.609824,2024-12-21 16:07:45.189826,0 days 00:00:54.580002,0.014575394153679314,256,0.3,1552,50,8.845296216420279e-05,32,0.0005305824441152153,3,5,"{'neurons_per_layer_encoder': [1552, 776, 388, 194, 97], 'neurons_per_layer_decoder': [97, 194, 388]}",1552,"[97, 194, 388]","[1552, 776, 388, 194, 97]",0.9985707308477836,0.944964691647898,COMPLETE
49,0.03175818599328954,2024-12-21 16:06:51.495012,2024-12-21 16:07:35.488940,0 days 00:00:43.993928,0.013364554303193705,256,0.1,1520,50,9.074651152924668e-05,317,0.00011203153737276397,3,2,"{'neurons_per_layer_encoder': [1520, 760], 'neurons_per_layer_decoder': [760, 1520, 3040]}",1520,"[760, 1520, 3040]","[1520, 760]",0.9970525277465739,0.6033200780564394,COMPLETE
50,0.02176671990829616,2024-12-21 16:07:09.855498,2024-12-21 16:07:35.414608,0 days 00:00:25.559110,0.013316887589176327,256,0.1,1584,50,0.0001530907809521866,33,0.00011793916634642636,3,5,"{'neurons_per_layer_encoder': [1584, 792, 396, 198, 99], 'neurons_per_layer_decoder': [99, 198, 396]}",1584,"[99, 198, 396]","[1584, 792, 396, 198, 99]",0.997328759392643,0.728119837952498,COMPLETE
51,0.004121405647364605,2024-12-21 16:07:12.121921,2024-12-21 16:08:09.798171,0 days 00:00:57.676250,0.016557734884957695,256,0.1,1632,50,0.0001484704314642378,34,0.0008418959359674555,3,5,"{'neurons_per_layer_encoder': [1632, 816, 408, 204, 102], 'neurons_per_layer_decoder': [102, 204, 408]}",1632,"[102, 204, 408]","[1632, 816, 408, 204, 102]",0.9986205817422433,0.948521024757529,COMPLETE
52,0.01270205509051829,2024-12-21 16:07:35.425998,2024-12-21 16:07:53.277058,0 days 00:00:17.851060,0.018438503779585978,640,0.1,1584,50,0.00022109091130502681,33,0.0008083645470359113,3,5,"{'neurons_per_layer_encoder': [1584, 792, 396, 198, 99], 'neurons_per_layer_decoder': [99, 198, 396]}",1584,"[99, 198, 396]","[1584, 792, 396, 198, 99]",0.9989434912280174,0.8413432611392142,COMPLETE
53,0.00992146003485057,2024-12-21 16:07:35.504215,2024-12-21 16:07:56.064825,0 days 00:00:20.560610,0.017724112231770374,640,0.1,1696,50,0.00019535225167568743,35,0.000807557270668783,2,5,"{'neurons_per_layer_encoder': [1696, 848, 424, 212, 106], 'neurons_per_layer_decoder': [106, 212]}",1696,"[106, 212]","[1696, 848, 424, 212, 106]",0.9990452755710821,0.8760746601514874,COMPLETE
54,0.011995901359866128,2024-12-21 16:07:45.227906,2024-12-21 16:08:10.856706,0 days 00:00:25.628800,0.018009578788328363,640,0.3,1680,50,0.0002246933434932397,35,0.000562761677656306,2,5,"{'neurons_per_layer_encoder': [1680, 840, 420, 210, 105], 'neurons_per_layer_decoder': [105, 210]}",1680,"[105, 210]","[1680, 840, 420, 210, 105]",0.9991366694829129,0.85016356991927,COMPLETE
55,0.004432328070012043,2024-12-21 16:07:53.287988,2024-12-21 16:08:32.420156,0 days 00:00:39.132168,0.017141910993141798,256,0.3,1696,50,1.3608772480945095e-05,35,0.0005717180794877945,2,5,"{'neurons_per_layer_encoder': [1696, 848, 424, 212, 106], 'neurons_per_layer_decoder': [106, 212]}",1696,"[106, 212]","[1696, 848, 424, 212, 106]",0.9985058792771007,0.9446374061411399,COMPLETE
56,0.008996741904347627,2024-12-21 16:07:56.074084,2024-12-21 16:08:21.915152,0 days 00:00:25.841068,0.01171380184325284,256,0.3,1616,50,3.0288842751839626e-05,33,0.000551419123858257,3,5,"{'neurons_per_layer_encoder': [1616, 808, 404, 202, 101], 'neurons_per_layer_decoder': [101, 202, 404]}",1616,"[101, 202, 404]","[1616, 808, 404, 202, 101]",0.9978964539661609,0.887624977159682,COMPLETE
57,0.00855727828988037,2024-12-21 16:08:09.809244,2024-12-21 16:08:38.813948,0 days 00:00:29.004704,0.011695527847708605,256,0.3,1696,50,4.299365000431669e-05,35,0.0005761922471429779,3,5,"{'neurons_per_layer_encoder': [1696, 848, 424, 212, 106], 'neurons_per_layer_decoder': [106, 212, 424]}",1696,"[106, 212, 424]","[1696, 848, 424, 212, 106]",0.998113784033831,0.8931141569359055,COMPLETE
58,0.010067298847667449,2024-12-21 16:08:10.875122,2024-12-21 16:08:40.159580,0 days 00:00:29.284458,0.011628691656381206,256,0.3,1664,50,0.00014835833306006953,34,0.0008867480812416322,3,5,"{'neurons_per_layer_encoder': [1664, 832, 416, 208, 104], 'neurons_per_layer_decoder': [104, 208, 416]}",1664,"[104, 208, 416]","[1664, 832, 416, 208, 104]",0.9976577883591544,0.8742530407146352,COMPLETE
59,0.006620386356614139,2024-12-21 16:08:22.043196,2024-12-21 16:09:12.789361,0 days 00:00:50.746165,0.16888787647181236,256,0.1,1840,50,0.00013966712777058884,38,0.0007541392655195883,3,5,"{'neurons_per_layer_encoder': [1840, 920, 460, 230, 115], 'neurons_per_layer_decoder': [115, 230, 460]}",1840,"[115, 230, 460]","[1840, 920, 460, 230, 115]",0.99795525335578,0.9173071678674337,COMPLETE
