number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
123,0.007826038138878767,2024-12-21 16:16:06.720471,2024-12-21 16:16:14.078707,0 days 00:00:07.358236,0.023390325072676296,256,0.2,1648,50,0.00015139585903957794,34,0.0008006824777036962,4,5,"{'neurons_per_layer_encoder': [1648, 824, 412, 206, 103], 'neurons_per_layer_decoder': [103, 206, 412, 824]}",1648,"[103, 206, 412, 824]","[1648, 824, 412, 206, 103]",0.9980174399354287,0.9022478110458286,COMPLETE
124,0.006904044367886807,2024-12-21 16:16:14.084929,2024-12-21 16:16:20.673125,0 days 00:00:06.588196,0.01748039673063934,256,0.1,1488,50,0.00012092313365055478,31,0.0008620774474762319,4,5,"{'neurons_per_layer_encoder': [1488, 744, 372, 186, 93], 'neurons_per_layer_decoder': [93, 186, 372, 744]}",1488,"[93, 186, 372, 744]","[1488, 744, 372, 186, 93]",0.9981958991326219,0.9137640990726957,COMPLETE
125,0.011981112244635482,2024-12-21 16:16:20.679153,2024-12-21 16:16:25.042744,0 days 00:00:04.363591,0.0599676592623158,256,0.2,896,50,0.00014369262723479528,18,0.00041338859862029824,3,5,"{'neurons_per_layer_encoder': [896, 448, 224, 112, 56], 'neurons_per_layer_decoder': [56, 112, 224]}",896,"[56, 112, 224]","[896, 448, 224, 112, 56]",0.9979056059028252,0.8503482953653816,COMPLETE
126,0.01107083359965654,2024-12-21 16:16:25.048722,2024-12-21 16:16:29.115601,0 days 00:00:04.066879,0.10331340195575968,384,0.3,1024,50,0.00016533663607475646,21,0.0007814807344011233,3,5,"{'neurons_per_layer_encoder': [1024, 512, 256, 128, 64], 'neurons_per_layer_decoder': [64, 128, 256]}",1024,"[64, 128, 256]","[1024, 512, 256, 128, 64]",0.9982944825617744,0.8617182540246524,COMPLETE
127,0.009792707695785472,2024-12-21 16:16:29.121686,2024-12-21 16:16:38.375051,0 days 00:00:09.253365,0.07321132852981567,256,0.1,1952,50,0.0001286944325282098,40,0.0009220619217447573,4,5,"{'neurons_per_layer_encoder': [1952, 976, 488, 244, 122], 'neurons_per_layer_decoder': [122, 244, 488, 976]}",1952,"[122, 244, 488, 976]","[1952, 976, 488, 244, 122]",0.9977082586052598,0.8776828586745764,COMPLETE
128,0.01792960658541247,2024-12-21 16:16:38.381243,2024-12-21 16:16:44.122571,0 days 00:00:05.741328,0.010051745795044548,256,0.1,1568,50,0.00023613257903510956,32,0.00017572278690771402,3,5,"{'neurons_per_layer_encoder': [1568, 784, 392, 196, 98], 'neurons_per_layer_decoder': [98, 196, 392]}",1568,"[98, 196, 392]","[1568, 784, 392, 196, 98]",0.9975442261164225,0.7760478214252228,COMPLETE
129,0.011063382334612421,2024-12-21 16:16:44.128443,2024-12-21 16:16:51.526004,0 days 00:00:07.397561,0.013055720470522149,256,0.3,1824,50,0.0001818145149266402,38,0.0006895486188119506,4,5,"{'neurons_per_layer_encoder': [1824, 912, 456, 228, 114], 'neurons_per_layer_decoder': [114, 228, 456, 912]}",1824,"[114, 228, 456, 912]","[1824, 912, 456, 228, 114]",0.9978887154326119,0.8618113250595254,COMPLETE
130,0.0053997782378281955,2024-12-21 16:16:51.532586,2024-12-21 16:17:07.344970,0 days 00:00:15.812384,0.019162976056413032,256,0.3,1680,50,8.728966792563129e-05,35,0.0006489877456102565,3,5,"{'neurons_per_layer_encoder': [1680, 840, 420, 210, 105], 'neurons_per_layer_decoder': [105, 210, 420]}",1680,"[105, 210, 420]","[1680, 840, 420, 210, 105]",0.9980872103322637,0.9325533388353219,COMPLETE
131,0.013159184381944874,2024-12-21 16:17:07.350688,2024-12-21 16:17:13.522121,0 days 00:00:06.171433,0.018960768104418577,256,0.3,1680,50,8.677509566894151e-05,35,0.00026279356801864746,3,5,"{'neurons_per_layer_encoder': [1680, 840, 420, 210, 105], 'neurons_per_layer_decoder': [105, 210, 420]}",1680,"[105, 210, 420]","[1680, 840, 420, 210, 105]",0.9978600078766269,0.8356334258331446,COMPLETE
132,0.011046150453546903,2024-12-21 16:17:13.527728,2024-12-21 16:17:17.109166,0 days 00:00:03.581438,0.016216181448423544,256,0.3,816,50,0.00014701035473284912,17,0.0006588660774770764,3,5,"{'neurons_per_layer_encoder': [816, 408, 204, 102, 51], 'neurons_per_layer_decoder': [51, 102, 204]}",816,"[51, 102, 204]","[816, 408, 204, 102, 51]",0.9974542055589916,0.8620265622030276,COMPLETE
133,0.008634565349342234,2024-12-21 16:17:17.114750,2024-12-21 16:17:23.296350,0 days 00:00:06.181600,0.08515676159416921,256,0.3,1632,50,9.399039976573568e-05,34,0.0006203020313732251,3,5,"{'neurons_per_layer_encoder': [1632, 816, 408, 204, 102], 'neurons_per_layer_decoder': [102, 204, 408]}",1632,"[102, 204, 408]","[1632, 816, 408, 204, 102]",0.9980152493081645,0.8921487924556717,COMPLETE
134,0.004251715272041188,2024-12-21 16:17:23.302347,2024-12-21 16:17:39.175636,0 days 00:00:15.873289,0.020429152946263605,256,0.3,1760,50,0.00012492457015687725,36,0.0005770601170266234,3,5,"{'neurons_per_layer_encoder': [1760, 880, 440, 220, 110], 'neurons_per_layer_decoder': [110, 220, 440]}",1760,"[110, 220, 440]","[1760, 880, 440, 220, 110]",0.998520546616474,0.9468933747476662,COMPLETE
135,0.0072272962217342475,2024-12-21 16:17:39.181036,2024-12-21 16:17:45.233930,0 days 00:00:06.052894,0.02001573252317146,256,0.3,1728,50,0.0004160950995929016,36,0.0005638757391482319,3,5,"{'neurons_per_layer_encoder': [1728, 864, 432, 216, 108], 'neurons_per_layer_decoder': [108, 216, 432]}",1728,"[108, 216, 432]","[1728, 864, 432, 216, 108]",0.9982460949596778,0.9097264780266004,COMPLETE
136,0.005638967159944535,2024-12-21 16:17:45.239700,2024-12-21 16:17:51.434767,0 days 00:00:06.195067,0.11472205349148264,256,0.3,1760,50,0.0003118802064620249,36,0.0008421953076850376,3,5,"{'neurons_per_layer_encoder': [1760, 880, 440, 220, 110], 'neurons_per_layer_decoder': [110, 220, 440]}",1760,"[110, 220, 440]","[1760, 880, 440, 220, 110]",0.9984632109872519,0.929565717219436,COMPLETE
137,0.007486922152917583,2024-12-21 16:17:51.440132,2024-12-21 16:17:56.934677,0 days 00:00:05.494545,0.09637338702998358,384,0.3,1760,50,1.4747199834743228e-05,36,0.0009587983484524503,3,5,"{'neurons_per_layer_encoder': [1760, 880, 440, 220, 110], 'neurons_per_layer_decoder': [110, 220, 440]}",1760,"[110, 220, 440]","[1760, 880, 440, 220, 110]",0.9986162352092411,0.9064835851819623,COMPLETE
138,0.006762237074340727,2024-12-21 16:17:56.940384,2024-12-21 16:18:02.513661,0 days 00:00:05.573277,0.12092400810588114,256,0.3,1664,50,0.0002970114725316828,34,0.0008486158181799867,3,5,"{'neurons_per_layer_encoder': [1664, 832, 416, 208, 104], 'neurons_per_layer_decoder': [104, 208, 416]}",1664,"[104, 208, 416]","[1664, 832, 416, 208, 104]",0.998231350765449,0.9155353622722617,COMPLETE
139,0.011967138121643225,2024-12-21 16:18:02.519683,2024-12-21 16:18:08.781359,0 days 00:00:06.261676,0.02184064766540498,256,0.3,1808,50,0.0003044157077416241,37,0.0005819987536334718,3,5,"{'neurons_per_layer_encoder': [1808, 904, 452, 226, 113], 'neurons_per_layer_decoder': [113, 226, 452]}",1808,"[113, 226, 452]","[1808, 904, 452, 226, 113]",0.997914122082438,0.8505228410405965,COMPLETE
