trial_id,best_loss,neurons_encoder,latent_dim,neurons_decoder
96,0.00827279077210677,"[864, 432, 216, 108, 54]",18,"[54, 108, 216, 432]"
97,0.011627941194437542,"[1184, 592, 296, 148, 74]",24,"[74, 148]"
98,0.01096065432557675,"[1152, 576, 288, 144, 72]",24,"[72, 144, 288, 576]"
99,0.013629018504602138,"[1632, 816, 408, 204, 102]",34,"[102, 204, 408, 816]"
100,0.016982546213750394,"[1984, 992, 496, 248, 124]",41,"[124, 248]"
101,0.011210464303457249,"[1984, 992, 496, 248, 124]",41,"[124, 248]"
102,0.013173700753012036,"[1104, 552, 276, 138, 69]",23,"[69, 138]"
103,0.007522525235185389,"[1920, 960, 480, 240, 120]",40,"[120, 240]"
104,0.009350838166518539,"[2000, 1000, 500, 250, 125]",41,"[125, 250]"
105,0.012861022791377772,"[1296, 648, 324, 162, 81]",27,"[81, 162]"
106,0.007387318937899591,"[1664, 832, 416, 208, 104]",34,"[104, 208, 416, 832]"
107,0.008174379977693033,"[1552, 776, 388, 194, 97]",32,"[97, 194, 388, 776]"
108,0.004915945760515192,"[1712, 856, 428, 214, 107]",35,"[107, 214, 428, 856]"
109,0.007281910281368116,"[1696, 848, 424, 212, 106]",35,"[106, 212, 424, 848, 1696]"
110,0.004797030174847223,"[1536, 768, 384, 192, 96]",32,"[96, 192, 384, 768]"
111,0.010838042486861555,"[1696, 848, 424, 212, 106]",35,"[106, 212, 424, 848, 1696]"
112,0.00752354055632532,"[1712, 856, 428, 214, 107]",35,"[107, 214, 428, 856, 1712]"
113,0.007892328781312276,"[1760, 880, 440, 220, 110]",36,"[110, 220, 440]"
114,0.008451983778168118,"[1728, 864, 432, 216, 108]",36,"[108, 216, 432]"
115,0.012139847782715365,"[1600, 800, 400, 200, 100]",33,"[100, 200, 400]"
116,0.011523903326320315,"[1792, 896, 448, 224, 112]",37,"[112, 224, 448, 896]"
117,0.009342165015328705,"[1600, 800, 400, 200, 100]",33,"[100, 200, 400, 800]"
118,0.006987536923819397,"[1600, 800, 400, 200, 100]",33,"[100, 200, 400, 800]"
119,0.009999241690157768,"[1792, 896, 448, 224, 112]",37,"[112, 224, 448, 896]"
120,0.028847682758244578,"[1456, 728, 364]",121,"[364, 728, 1456, 2912]"
121,0.009992340249241852,"[1632, 816, 408, 204, 102]",34,"[102, 204, 408, 816]"
122,0.011360736064980805,"[1536, 768, 384, 192, 96]",32,"[96, 192, 384, 768]"
123,0.007826038138878767,"[1648, 824, 412, 206, 103]",34,"[103, 206, 412, 824]"
124,0.006904044367886807,"[1488, 744, 372, 186, 93]",31,"[93, 186, 372, 744]"
125,0.011981112244635482,"[896, 448, 224, 112, 56]",18,"[56, 112, 224]"
126,0.01107083359965654,"[1024, 512, 256, 128, 64]",21,"[64, 128, 256]"
127,0.009792707695785472,"[1952, 976, 488, 244, 122]",40,"[122, 244, 488, 976]"
128,0.01792960658541247,"[1568, 784, 392, 196, 98]",32,"[98, 196, 392]"
129,0.011063382334612421,"[1824, 912, 456, 228, 114]",38,"[114, 228, 456, 912]"
130,0.0053997782378281955,"[1680, 840, 420, 210, 105]",35,"[105, 210, 420]"
131,0.013159184381944874,"[1680, 840, 420, 210, 105]",35,"[105, 210, 420]"
132,0.011046150453546903,"[816, 408, 204, 102, 51]",17,"[51, 102, 204]"
133,0.008634565349342234,"[1632, 816, 408, 204, 102]",34,"[102, 204, 408]"
134,0.004251715272041188,"[1760, 880, 440, 220, 110]",36,"[110, 220, 440]"
135,0.0072272962217342475,"[1728, 864, 432, 216, 108]",36,"[108, 216, 432]"
136,0.005638967159944535,"[1760, 880, 440, 220, 110]",36,"[110, 220, 440]"
137,0.007486922152917583,"[1760, 880, 440, 220, 110]",36,"[110, 220, 440]"
138,0.006762237074340727,"[1664, 832, 416, 208, 104]",34,"[104, 208, 416]"
139,0.011967138121643225,"[1808, 904, 452, 226, 113]",37,"[113, 226, 452]"
