number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
23,-0.26442888361343053,2025-05-07 07:44:53.365355,2025-05-07 07:45:01.749409,0 days 00:00:08.384054,0.015041454976119252,112,0.30000000000000004,120,160,0.00023354091465343965,710,0.0001394260290354174,5,3,adam,"{'neurons_per_layer_encoder': [120, 240, 480], 'neurons_per_layer_decoder': [480, 240, 120, 60, 30]}",120,,"[480, 240, 120, 60, 30]","[120, 240, 480]",[-0.26442888361343053],0.9307794951915073,COMPLETE
24,-0.01306899196936584,2025-05-07 07:44:59.717928,2025-05-07 07:45:13.657355,0 days 00:00:13.939427,0.014926958042116398,112,0.30000000000000004,256,160,2.820763100682332e-05,1180,0.0007514412330146036,5,3,adam,"{'neurons_per_layer_encoder': [256, 512, 1024], 'neurons_per_layer_decoder': [1024, 512, 256, 128, 64]}",256,,"[1024, 512, 256, 128, 64]","[256, 512, 1024]",[-0.01306899196936584],0.793570633789433,COMPLETE
25,-0.13158866548214032,2025-05-07 07:45:01.769045,2025-05-07 07:46:19.582323,0 days 00:01:17.813278,0.09222470879464151,48,0.2,196,140,3.3018190999898963e-06,6143,4.029444040068787e-05,4,5,adadelta,"{'neurons_per_layer_encoder': [196, 392, 784, 1568, 3136], 'neurons_per_layer_decoder': [3136, 1568, 784, 392]}",196,,"[3136, 1568, 784, 392]","[196, 392, 784, 1568, 3136]",[-0.13158866548214032],0.7293892874898689,COMPLETE
26,-0.03833439274553663,2025-05-07 07:45:05.603531,2025-05-07 07:45:19.310511,0 days 00:00:13.706980,0.01418096822385163,112,0.30000000000000004,56,160,3.421488635812623e-05,1062,0.0025963668752023335,4,5,sgd,"{'neurons_per_layer_encoder': [56, 112, 224, 448, 896], 'neurons_per_layer_decoder': [896, 448, 224, 112]}",56,,"[896, 448, 224, 112]","[56, 112, 224, 448, 896]",[-0.03833439274553663],0.8536428399431641,COMPLETE
27,-0.029076183532722677,2025-05-07 07:45:10.114407,2025-05-07 07:45:39.239657,0 days 00:00:29.125250,0.01438724161051427,112,0.4,48,160,0.0004552160865496346,940,0.002775973861703234,4,5,sgd,"{'neurons_per_layer_encoder': [48, 96, 192, 384, 768], 'neurons_per_layer_decoder': [768, 384, 192, 96]}",48,,"[768, 384, 192, 96]","[48, 96, 192, 384, 768]",[-0.029076183532722677],0.9811281042086449,COMPLETE
28,-0.10678096301944695,2025-05-07 07:45:13.666972,2025-05-07 07:45:35.378964,0 days 00:00:21.711992,0.03594314681902005,48,0.4,112,140,0.00047764295643976584,3194,0.0026771574640184433,4,5,sgd,"{'neurons_per_layer_encoder': [112, 224, 448, 896, 1792], 'neurons_per_layer_decoder': [1792, 896, 448, 224]}",112,,"[1792, 896, 448, 224]","[112, 224, 448, 896, 1792]",[-0.10678096301944695],0.991838791654545,COMPLETE
29,-0.0342871905783384,2025-05-07 07:45:19.320720,2025-05-07 07:45:41.434192,0 days 00:00:22.113472,0.035051144933455375,48,0.4,112,140,9.762305688762452e-05,3183,0.00186376557376087,4,5,sgd,"{'neurons_per_layer_encoder': [112, 224, 448, 896, 1792], 'neurons_per_layer_decoder': [1792, 896, 448, 224]}",112,,"[1792, 896, 448, 224]","[112, 224, 448, 896, 1792]",[-0.0342871905783384],0.9655005230344011,COMPLETE
30,0.10273180076206456,2025-05-07 07:45:35.388450,2025-05-07 07:45:57.211816,0 days 00:00:21.823366,0.06424777360535809,88,0.2,152,120,0.00010436524524697832,1823,0.0019017259778039937,4,4,sgd,"{'neurons_per_layer_encoder': [152, 304, 608, 1216], 'neurons_per_layer_decoder': [1216, 608, 304, 152]}",152,,"[1216, 608, 304, 152]","[152, 304, 608, 1216]",[0.10273180076206456],0.9576639605388856,COMPLETE
31,0.03787402556042685,2025-05-07 07:45:39.255278,2025-05-07 07:46:00.421922,0 days 00:00:21.166644,0.05896519304380749,88,0.2,152,120,0.0001087297596418847,1782,0.0006301870763088222,3,4,sgd,"{'neurons_per_layer_encoder': [152, 304, 608, 1216], 'neurons_per_layer_decoder': [1216, 608, 304]}",152,,"[1216, 608, 304]","[152, 304, 608, 1216]",[0.03787402556042685],0.9548253831181267,COMPLETE
32,-0.6343157270241087,2025-05-07 07:45:41.445053,2025-05-07 07:45:47.512042,0 days 00:00:06.066989,0.010422820056447346,96,0.2,164,120,2.5513822244689485e-05,1828,0.000605216719362499,3,4,sgd,"{'neurons_per_layer_encoder': [164, 328, 656, 1312], 'neurons_per_layer_decoder': [1312, 656, 328]}",164,,"[1312, 656, 328]","[164, 328, 656, 1312]",[-0.6343157270241087],0.8120567600898726,COMPLETE
