number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_r2_feature_3,user_attrs_relative_deterioration,state
21,0.6722931054768801,0.6289825948526625,0.36198270727566206,2024-12-23 18:30:31.792352,2024-12-23 18:30:43.406412,0 days 00:00:11.614060,0.06214554084347753,32,0.30000000000000004,200,100,1.103147389264542e-06,744,0.00014378699841755452,1,2,adam,"{'neurons_per_layer_encoder': [200, 400], 'neurons_per_layer_decoder': [400]}",200,[400],"[200, 400]",[0.6722931054768801],[0.6289825948526625],[0.36198270727566206],0.2519794272613038,COMPLETE
22,-0.3719027209269272,0.15650641541080312,-0.3671051067434614,2024-12-23 18:30:31.982002,2024-12-23 18:30:41.026298,0 days 00:00:09.044296,0.0787613489241805,32,0.30000000000000004,12,100,1.225914005097687e-06,26,0.00013377974658156731,1,2,adam,"{'neurons_per_layer_encoder': [12, 24], 'neurons_per_layer_decoder': [24]}",12,[24],"[12, 24]",[-0.3719027209269272],[0.15650641541080312],[-0.3671051067434614],-0.03818473702847773,COMPLETE
23,-0.8154192673983616,-0.46161810165137807,-0.07541771261426011,2024-12-23 18:30:32.740182,2024-12-23 18:30:39.423130,0 days 00:00:06.682948,0.03142256127471098,32,0.30000000000000004,200,100,1.0797390440211394e-06,728,1.1767151764277578e-05,2,2,adam,"{'neurons_per_layer_encoder': [200, 400], 'neurons_per_layer_decoder': [400, 200]}",200,"[400, 200]","[200, 400]",[-0.8154192673983616],[-0.46161810165137807],[-0.07541771261426011],0.13800147355237344,COMPLETE
24,-0.16633470728891853,-0.4579425004599511,-0.2619246001445614,2024-12-23 18:30:34.393889,2024-12-23 18:30:46.818572,0 days 00:00:12.424683,0.03127392063930168,48,0.30000000000000004,204,100,0.00013488335023249362,736,0.0006798157671023868,2,2,adadelta,"{'neurons_per_layer_encoder': [204, 408], 'neurons_per_layer_decoder': [408, 204]}",204,"[408, 204]","[204, 408]",[-0.16633470728891853],[-0.4579425004599511],[-0.2619246001445614],0.7261650062819458,COMPLETE
25,-0.4567107589754442,-0.8490310763887456,-0.17723016932926816,2024-12-23 18:30:39.432853,2024-12-23 18:30:47.105185,0 days 00:00:07.672332,0.08873048998189502,48,0.30000000000000004,176,100,1.383278009121339e-05,728,0.0005527295555904573,4,2,adadelta,"{'neurons_per_layer_encoder': [176, 352], 'neurons_per_layer_decoder': [352, 176, 88, 44]}",176,"[352, 176, 88, 44]","[176, 352]",[-0.4567107589754442],[-0.8490310763887456],[-0.17723016932926816],0.31667305878067853,COMPLETE
26,0.1666364441806163,-0.36888200074639554,-0.030045129128341008,2024-12-23 18:30:40.504474,2024-12-23 18:30:49.921506,0 days 00:00:09.417032,0.08503082806017655,48,0.30000000000000004,188,100,9.549970040053968e-06,704,0.00043788962253640546,1,2,adadelta,"{'neurons_per_layer_encoder': [188, 376], 'neurons_per_layer_decoder': [376]}",188,[376],"[188, 376]",[0.1666364441806163],[-0.36888200074639554],[-0.030045129128341008],0.5072339366347887,COMPLETE
27,-0.18938504196253225,-1.2427287778602358,-0.43977546152868086,2024-12-23 18:30:41.042480,2024-12-23 18:30:48.162903,0 days 00:00:07.120423,0.041379596118328345,48,0.1,164,100,1.140629779653209e-05,624,0.00040318747041114184,4,2,adadelta,"{'neurons_per_layer_encoder': [164, 328], 'neurons_per_layer_decoder': [328, 164, 82, 41]}",164,"[328, 164, 82, 41]","[164, 328]",[-0.18938504196253225],[-1.2427287778602358],[-0.43977546152868086],0.22442642031426754,COMPLETE
28,-0.18679441898501525,-0.9718504553222829,-0.45668457177638744,2024-12-23 18:30:43.420002,2024-12-23 18:30:49.203024,0 days 00:00:05.783022,0.038509803268956665,48,0.30000000000000004,200,100,1.0784290100304388e-05,744,0.0005230512292590292,2,2,adadelta,"{'neurons_per_layer_encoder': [200, 400], 'neurons_per_layer_decoder': [400, 200]}",200,"[400, 200]","[200, 400]",[-0.18679441898501525],[-0.9718504553222829],[-0.45668457177638744],0.32672041203834906,COMPLETE
29,0.4980671648590369,0.47171923565786256,0.38207152730215066,2024-12-23 18:30:46.829940,2024-12-23 18:30:58.258013,0 days 00:00:11.428073,0.0417608570263602,48,0.30000000000000004,164,100,1.1975643724327028e-05,904,0.0002791828542691134,2,3,adam,"{'neurons_per_layer_encoder': [164, 328, 656], 'neurons_per_layer_decoder': [656, 328]}",164,"[656, 328]","[164, 328, 656]",[0.4980671648590369],[0.47171923565786256],[0.38207152730215066],0.49009666099228727,COMPLETE
30,0.4313521540509526,0.5208787600680485,0.29585807873669245,2024-12-23 18:30:47.114833,2024-12-23 18:30:58.933182,0 days 00:00:11.818349,0.046546403792989396,48,0.30000000000000004,228,100,3.633052599633999e-06,1064,0.00027541612938853814,2,3,adam,"{'neurons_per_layer_encoder': [228, 456, 912], 'neurons_per_layer_decoder': [912, 456]}",228,"[912, 456]","[228, 456, 912]",[0.4313521540509526],[0.5208787600680485],[0.29585807873669245],0.23893533723387725,COMPLETE
31,0.5104170009837505,0.45512747676759624,0.24188005091860698,2024-12-23 18:30:48.173421,2024-12-23 18:30:59.149295,0 days 00:00:10.975874,0.046027316328740665,40,0.30000000000000004,224,100,3.838825979765429e-06,1048,8.08573933059933e-05,2,3,adam,"{'neurons_per_layer_encoder': [224, 448, 896], 'neurons_per_layer_decoder': [896, 448]}",224,"[896, 448]","[224, 448, 896]",[0.5104170009837505],[0.45512747676759624],[0.24188005091860698],0.37101887043519777,COMPLETE
32,0.2322131926658516,0.2697888240817964,0.2952887344116748,2024-12-23 18:30:49.134338,2024-12-23 18:30:59.588612,0 days 00:00:10.454274,0.04795921252941799,40,0.30000000000000004,216,100,4.442228002556652e-06,1016,0.00025184057708945064,2,3,adam,"{'neurons_per_layer_encoder': [216, 432, 864], 'neurons_per_layer_decoder': [864, 432]}",216,"[864, 432]","[216, 432, 864]",[0.2322131926658516],[0.2697888240817964],[0.2952887344116748],0.06931361359326044,COMPLETE
33,0.1690496958850174,0.43551612155161745,0.348263608201442,2024-12-23 18:30:49.211632,2024-12-23 18:30:58.892484,0 days 00:00:09.680852,0.04781525499448987,40,0.4,216,100,3.57194043357894e-06,1000,0.0002398235153777248,1,3,adam,"{'neurons_per_layer_encoder': [216, 432, 864], 'neurons_per_layer_decoder': [864]}",216,[864],"[216, 432, 864]",[0.1690496958850174],[0.43551612155161745],[0.348263608201442],0.21631413276062458,COMPLETE
34,0.3988476236569688,0.39256856531054785,0.17333139689914412,2024-12-23 18:30:49.930100,2024-12-23 18:30:56.796950,0 days 00:00:06.866850,0.04675930144444963,40,0.4,212,100,4.173144146356805e-06,332,6.537745317989543e-05,2,1,adam,"{'neurons_per_layer_encoder': [212], 'neurons_per_layer_decoder': [212, 106]}",212,"[212, 106]",[212],[0.3988476236569688],[0.39256856531054785],[0.17333139689914412],0.25793060004697665,COMPLETE
