number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,user_attrs_relative_deterioration,user_attrs_test_r2,state
25,0.011372388025090262,2024-10-19 11:46:32.655865,2024-10-19 11:47:35.086996,0 days 00:01:02.431131,0.05688711412093109,128,0.2,30,0.00045259931674033945,16,0.00010152966295927566,0.9963543100157471,0.8621403895223014,COMPLETE
26,0.024828389314812283,2024-10-19 11:46:51.556709,2024-10-19 11:47:50.953991,0 days 00:00:59.397282,0.0655233602922752,128,0.2,50,0.0004367240853890937,104,0.0002254243552716221,0.9945548691014762,0.6990225736074891,COMPLETE
27,0.020762768350861313,2024-10-19 11:46:51.684550,2024-10-19 11:47:52.114151,0 days 00:01:00.429601,0.06761151778463724,128,0.2,30,0.0004353495605164513,104,0.00026713453166556914,0.9953915476225706,0.7483072903445263,COMPLETE
28,0.02123901041854242,2024-10-19 11:46:52.472269,2024-10-19 11:47:51.755652,0 days 00:00:59.283383,0.06791939613522029,128,0.2,30,0.00032204420048686285,104,0.00026608605651541573,0.9952708786085845,0.7425341364740496,COMPLETE
29,0.0244137526549543,2024-10-19 11:46:57.306366,2024-10-19 11:47:59.771290,0 days 00:01:02.464924,0.059286303116868465,128,0.2,30,0.00041582761078468646,104,0.00026287969734352726,0.9946173604096322,0.7040489276407567,COMPLETE
30,0.017465323102310068,2024-10-19 11:47:34.978513,2024-10-19 11:49:26.891363,0 days 00:01:51.912850,0.0579880761799627,128,0.2,50,0.0005324884707295213,104,0.0003396109813789693,0.9958957364245704,0.788279943100824,COMPLETE
31,0.011826122509396032,2024-10-19 11:47:35.198658,2024-10-19 11:49:13.344905,0 days 00:01:38.146247,0.13649451032035376,96,0.2,50,0.00016621333893592567,104,0.00036695874970564687,0.9950070142137674,0.8566400795497003,COMPLETE
32,0.025189600093714962,2024-10-19 11:47:51.032112,2024-10-19 11:49:16.581735,0 days 00:01:25.549623,0.13539663563511747,96,0.2,50,0.00015382803063753036,120,0.00034717690994897455,0.9932948274629713,0.6946438646529576,COMPLETE
33,0.0306881777086799,2024-10-19 11:47:51.781097,2024-10-19 11:49:05.719129,0 days 00:01:13.938032,0.13006324419458154,96,0.2,50,0.00015174344815464087,112,0.00034750469681089306,0.9917731113763024,0.62798840350372,COMPLETE
34,0.011903475766676132,2024-10-19 11:47:52.125611,2024-10-19 11:49:05.819050,0 days 00:01:13.693439,0.1302208700815135,96,0.2,50,0.00014590296904884204,56,0.00034610910003900593,0.9955687496280438,0.8557023794031445,COMPLETE
35,0.009413555180321984,2024-10-19 11:47:59.788268,2024-10-19 11:49:47.002448,0 days 00:01:47.214180,0.11469277134192894,96,0.3,50,0.00016020488285659298,40,0.0003530194261998332,0.9958338780970223,0.8858859680564575,COMPLETE
36,0.010429417628629332,2024-10-19 11:48:08.748810,2024-10-19 11:49:21.627562,0 days 00:01:12.878752,0.11597812451030089,96,0.3,10,0.00014508019246898477,40,0.0003842954699657821,0.995746920861686,0.8735713687732114,COMPLETE
37,0.010012097511181721,2024-10-19 11:49:05.736234,2024-10-19 11:50:11.414200,0 days 00:01:05.677966,0.10683401554888217,128,0.2,50,0.0001429705979252679,40,0.00045083419376035384,0.9961979240452239,0.8786302525106381,COMPLETE
38,0.01045778307239656,2024-10-19 11:49:05.833315,2024-10-19 11:50:10.576613,0 days 00:01:04.743298,0.03929882692033235,128,0.3,50,0.0006068880194091844,40,0.000497407211392052,0.9964541173634606,0.8732275140770693,COMPLETE
39,0.008520875409650283,2024-10-19 11:49:13.363384,2024-10-19 11:50:08.757546,0 days 00:00:55.394162,0.03915148732809459,128,0.3,50,1.6398513995782705e-05,40,0.0008351381052668117,0.9968319851826423,0.8967073087629662,COMPLETE
40,0.009788430505644647,2024-10-19 11:49:16.608491,2024-10-19 11:50:13.337382,0 days 00:00:56.728891,0.03733618611568066,128,0.3,50,1.623365281605617e-05,40,0.0005096706141157995,0.9962534651156157,0.8813416132373408,COMPLETE
41,0.012595161198077614,2024-10-19 11:49:21.644161,2024-10-19 11:50:20.516634,0 days 00:00:58.872473,0.04189256389530318,128,0.2,50,1.6804951506026233e-05,32,0.000493408550838463,0.9955948571976041,0.8473175543395142,COMPLETE
42,0.009293874518425976,2024-10-19 11:49:26.925140,2024-10-19 11:50:28.934415,0 days 00:01:02.009275,0.03825630278735613,128,0.2,50,1.6790079077748896e-05,32,0.0004934693796618202,0.9964486756858105,0.8873367741135755,COMPLETE
43,0.007009638556533835,2024-10-19 11:49:47.019013,2024-10-19 11:51:45.206089,0 days 00:01:58.187076,0.03749614985849172,128,0.2,50,1.702564169810396e-05,16,0.0004730394727139442,0.9969374983295906,0.9150269900340001,COMPLETE
44,0.009218596623129138,2024-10-19 11:50:08.768890,2024-10-19 11:51:03.774811,0 days 00:00:55.005921,0.0342233203936348,128,0.3,50,1.7559949320636467e-05,32,0.0005362175499240779,0.9964901451267619,0.8882493160792828,COMPLETE
45,0.008879731101423928,2024-10-19 11:50:10.593316,2024-10-19 11:51:04.481159,0 days 00:00:53.887843,0.029396248733458762,128,0.3,50,1.8626876846091176e-05,16,0.0008539586702284768,0.9964655154459648,0.8923571489041509,COMPLETE
46,0.010653389145135795,2024-10-19 11:50:11.432613,2024-10-19 11:51:04.009836,0 days 00:00:52.577223,0.03375415171878579,128,0.3,50,1.792260498295756e-05,16,0.000525282701917237,0.995929463919407,0.870856316670209,COMPLETE
47,0.008960198891566087,2024-10-19 11:50:13.348884,2024-10-19 11:51:36.971738,0 days 00:01:23.622854,0.09149988604691035,128,0.2,50,1.4882149803311668e-05,32,0.0008660026018488373,0.9963960840165448,0.8913816934254489,COMPLETE
48,0.008726943843801637,2024-10-19 11:50:20.529588,2024-10-19 11:51:18.909862,0 days 00:00:58.380274,0.03148084322510891,128,0.2,50,1.3281692312071612e-05,16,0.0008326163635947307,0.9965737996165421,0.8942092833701306,COMPLETE
49,0.007723995747658826,2024-10-19 11:50:28.952140,2024-10-19 11:51:56.119812,0 days 00:01:27.167672,0.16317204695147108,128,0.2,50,1.3657477948528893e-05,8,0.0008447717740948584,0.9968976036532627,0.9063673308759446,COMPLETE
50,0.009527881954394418,2024-10-19 11:51:03.785993,2024-10-19 11:51:57.229497,0 days 00:00:53.443504,0.18336330099037762,128,0.2,50,1.2844077384279051e-05,16,0.000824543802077309,0.9965348527054505,0.8845000634860167,COMPLETE
51,0.010982346463331816,2024-10-19 11:51:04.021376,2024-10-19 11:51:58.567728,0 days 00:00:54.546352,0.17314143778517105,128,0.1,30,2.3934319798851786e-05,16,0.0008189599290222206,0.9958887441682062,0.8668685941575548,COMPLETE
52,0.008524318212064844,2024-10-19 11:51:04.496319,2024-10-19 11:53:05.823135,0 days 00:02:01.326816,0.15907209415300438,128,0.1,30,1.2536509174620008e-05,56,0.0008112408948219698,0.9965516872978106,0.8966655740456161,COMPLETE
53,0.007509693030818359,2024-10-19 11:51:18.927270,2024-10-19 11:52:47.368931,0 days 00:01:28.441661,0.045857729397201605,128,0.1,30,1.2964565777946501e-05,8,0.000648561121226074,0.9968555193626915,0.9089651747942807,COMPLETE
54,0.00872391475859669,2024-10-19 11:51:36.983337,2024-10-19 11:53:00.768679,0 days 00:01:23.785342,0.022639451996177617,128,0.1,30,1.227152181035963e-05,8,0.0006778454054359934,0.9963086753160016,0.8942460028793082,COMPLETE
55,0.0077046982996276025,2024-10-19 11:51:45.228622,2024-10-19 11:52:46.050674,0 days 00:01:00.822052,0.02435093875261692,128,0.1,30,2.4041767577900606e-05,8,0.000659532074033953,0.9968638042714885,0.9066012605187714,COMPLETE
56,0.00984396770188463,2024-10-19 11:51:56.132633,2024-10-19 11:52:52.799531,0 days 00:00:56.666898,0.18416057692789167,128,0.1,10,2.3946712978165044e-05,8,0.0006625310219851029,0.9963732032419446,0.8806683741406994,COMPLETE
57,0.008142770950187296,2024-10-19 11:51:57.251251,2024-10-19 11:53:36.952446,0 days 00:01:39.701195,0.05139268614318001,128,0.1,30,2.40781667667199e-05,8,0.0006797537045461169,0.9964464915267097,0.9012908081464244,COMPLETE
58,0.008085051070654806,2024-10-19 11:51:58.587126,2024-10-19 11:52:57.809564,0 days 00:00:59.222438,0.023945966263899957,128,0.2,50,4.416369232399852e-05,8,0.0006765296763907276,0.9968736742107841,0.9019905064060698,COMPLETE
59,0.008997389299873971,2024-10-19 11:52:46.062090,2024-10-19 11:53:46.934450,0 days 00:01:00.872360,0.02301135311794359,128,0.1,30,3.9648443625056446e-05,8,0.0006712773063887985,0.9964104240846692,0.8909308597754257,COMPLETE
60,0.007395985374352565,2024-10-19 11:52:47.396895,2024-10-19 11:54:13.250940,0 days 00:01:25.854045,0.025237663532800894,128,0.1,30,2.9001395978737192e-05,8,0.0006237099961853052,0.9968837382912102,0.9103435742293089,COMPLETE
61,0.008084434258826372,2024-10-19 11:52:52.824854,2024-10-19 11:54:05.600881,0 days 00:01:12.776027,0.023097774991895536,128,0.1,30,3.70368487693388e-05,8,0.0006118958265319902,0.9965313578581516,0.9019979835901246,COMPLETE
62,0.012925149838551414,2024-10-19 11:52:57.820028,2024-10-19 11:55:26.342117,0 days 00:02:28.522089,0.022399542067729594,64,0.1,30,4.1598603662151364e-05,8,0.0007161032365325162,0.9928401442551932,0.8433173298187349,COMPLETE
63,0.012284540986212409,2024-10-19 11:53:00.779937,2024-10-19 11:54:29.389321,0 days 00:01:28.609384,0.018434038293962455,64,0.1,30,4.2557506390804004e-05,8,0.0005921904615118694,0.9935714298052475,0.85108298876892,COMPLETE
64,0.011116530870921156,2024-10-19 11:53:05.835520,2024-10-19 11:54:09.817782,0 days 00:01:03.982262,0.01875596164130804,128,0.1,30,3.4151285786910866e-05,8,0.0006055067928258237,0.9955822436004195,0.8652419692023006,COMPLETE
65,0.010227440483077594,2024-10-19 11:53:36.967908,2024-10-19 11:54:58.210475,0 days 00:01:21.242567,0.018211648292781133,64,0.1,30,4.349802871553822e-05,8,0.0006139177366289472,0.9948284717125994,0.8760197982982794,COMPLETE
66,0.01181664899853495,2024-10-19 11:53:46.951848,2024-10-19 11:55:37.360466,0 days 00:01:50.408618,0.017776188420514333,64,0.1,30,3.1966183471436576e-05,8,0.0006107586359117347,0.9937665509031325,0.8567549203829785,COMPLETE
67,0.01083760375584943,2024-10-19 11:54:05.624527,2024-10-19 11:55:36.385436,0 days 00:01:30.760909,0.015512397704678566,64,0.1,30,2.94734690633546e-05,8,0.0005986911506972202,0.9943894399625107,0.8686232100947692,COMPLETE
68,0.00845122038717527,2024-10-19 11:54:09.830709,2024-10-19 11:55:06.710147,0 days 00:00:56.879438,0.02617480392350026,128,0.1,30,2.9952193554997066e-05,16,0.0007390335356186424,0.9966276303531822,0.8975516885225238,COMPLETE
69,0.012545738953892332,2024-10-19 11:54:13.273084,2024-10-19 11:56:37.081691,0 days 00:02:23.808607,0.02637987919739108,64,0.1,30,4.731093714592881e-05,16,0.0007454136159683505,0.9932595022049157,0.8479166660931128,COMPLETE
70,0.0084156895074726,2024-10-19 11:54:29.419773,2024-10-19 11:55:34.208587,0 days 00:01:04.788814,0.025655221243904153,128,0.1,30,5.635539411447166e-05,16,0.00044360159013754485,0.9966836009940423,0.8979824048527205,COMPLETE
71,0.007530431188025187,2024-10-19 11:54:58.235354,2024-10-19 11:56:26.682194,0 days 00:01:28.446840,0.026467317363248366,128,0.1,30,5.4559711376885354e-05,16,0.0007402691121664105,0.9968082427833954,0.908713780428537,COMPLETE
72,0.008537511658470633,2024-10-19 11:55:06.720983,2024-10-19 11:56:12.247948,0 days 00:01:05.526965,0.04576537690961658,128,0.1,30,6.219079997555349e-05,24,0.0007420909383017739,0.9967010817849473,0.8965056390013363,COMPLETE
