number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,user_attrs_relative_deterioration,user_attrs_test_r2,state
18,0.010145685904947674,2024-10-16 10:15:12.500839,2024-10-16 10:15:12.754897,0 days 00:00:00.254058,0.9030927060348227,0.09393715794325537,6,30,0.7791791340296363,0.8938260570708253,0.8770108526195788,COMPLETE
19,0.011850906784464037,2024-10-16 10:15:12.505502,2024-10-16 10:15:12.768716,0 days 00:00:00.263214,0.8950662613122511,0.08248382575662573,6,30,0.779520051218698,0.8849313865017198,0.8563396368898729,COMPLETE
20,0.06412684508422353,2024-10-16 10:15:12.545797,2024-10-16 10:15:12.811701,0 days 00:00:00.265904,0.8706013560787756,0.007022686197686701,6,30,0.7745183542939077,0.7472395709693594,0.22263451924340993,COMPLETE
21,0.06351518213183895,2024-10-16 10:15:12.601555,2024-10-16 10:15:12.992225,0 days 00:00:00.390670,0.9038586062221498,0.006291499523969336,8,30,0.7684919608947363,0.7480822042384684,0.2300492870277433,COMPLETE
22,0.060729602344331224,2024-10-16 10:15:12.762920,2024-10-16 10:15:13.063347,0 days 00:00:00.300427,0.8050930849670473,0.007344684221531932,8,30,0.7022581612181669,0.7536304523084683,0.26381694810412637,COMPLETE
23,0.05824021620851703,2024-10-16 10:15:12.775187,2024-10-16 10:15:13.139808,0 days 00:00:00.364621,0.8007485544392198,0.008351801468049053,8,30,0.6917063302335751,0.7585438782135356,0.2939940579824366,COMPLETE
24,0.031246339871008368,2024-10-16 10:15:12.808583,2024-10-16 10:15:13.113329,0 days 00:00:00.304746,0.8045576904331442,0.03620821455738079,5,30,0.6926969106806449,0.8213296489498747,0.6212221888694474,COMPLETE
25,0.030697199617086113,2024-10-16 10:15:12.818677,2024-10-16 10:15:13.172098,0 days 00:00:00.353421,0.8024216992327899,0.03680941165707807,5,30,0.711369529922036,0.8227993937297529,0.6278790371352931,COMPLETE
26,0.027308507651766133,2024-10-16 10:15:12.999026,2024-10-16 10:15:13.178458,0 days 00:00:00.179432,0.8006401419632121,0.043217854468841424,5,30,0.705980745702216,0.8322861600292362,0.6689578108578607,COMPLETE
27,0.03028084626510922,2024-10-16 10:15:13.070166,2024-10-16 10:15:13.247542,0 days 00:00:00.177376,0.8059386332628337,0.03778137793775977,5,30,0.8300249684553078,0.823824171116716,0.6329262014422077,COMPLETE
28,0.02589955472750074,2024-10-16 10:15:13.119740,2024-10-16 10:15:13.364093,0 days 00:00:00.244353,0.936831283705454,0.04635174033550721,5,30,0.8343424150442122,0.836325648292983,0.6860375746587533,COMPLETE
29,0.025107281593214643,2024-10-16 10:15:13.148214,2024-10-16 10:15:13.436286,0 days 00:00:00.288072,0.93565346195346,0.04833483238965983,5,30,0.8310014589862452,0.8386737183691176,0.695641755015918,COMPLETE
30,0.00874797170491124,2024-10-16 10:15:13.187577,2024-10-16 10:15:13.736784,0 days 00:00:00.549207,0.9519981665493416,0.05307920320937867,7,50,0.8230015120808162,0.8955230566758294,0.8939543771239356,COMPLETE
31,0.06892926549791525,2024-10-16 10:15:13.187798,2024-10-16 10:15:13.742823,0 days 00:00:00.555025,0.9386721186302405,0.002708392378385658,7,50,0.8189103813467075,0.7381897912002365,0.16441809133741314,COMPLETE
32,0.0694718099521241,2024-10-16 10:15:13.254172,2024-10-16 10:15:13.764393,0 days 00:00:00.510221,0.9408046762634343,0.0025690859013478245,7,50,0.6134674234909141,0.7373428501785874,0.15784119939888164,COMPLETE
33,0.033757368329790254,2024-10-16 10:15:13.370518,2024-10-16 10:15:13.847489,0 days 00:00:00.476971,0.9501955154663373,0.01444845692404817,7,50,0.6281378917821029,0.814439024345389,0.5907827240479558,COMPLETE
34,0.06941457444228556,2024-10-16 10:15:13.442975,2024-10-16 10:15:13.595074,0 days 00:00:00.152099,0.9028407305908527,0.013610782038981455,7,10,0.6158524950191042,0.737428253249013,0.15853502597905322,COMPLETE
35,0.010567985787739211,2024-10-16 10:15:13.602401,2024-10-16 10:15:13.890163,0 days 00:00:00.287762,0.8956055238184328,0.07307253439320142,7,30,0.8166830567819519,0.8895124618259846,0.8718916026240655,COMPLETE
36,0.006729855426670068,2024-10-16 10:15:13.750751,2024-10-16 10:15:14.314851,0 days 00:00:00.564100,0.8914304109453239,0.06801684673372653,7,50,0.7339910601937489,0.9064450768323051,0.9184186078029466,COMPLETE
37,0.00692153309103444,2024-10-16 10:15:13.751226,2024-10-16 10:15:14.309502,0 days 00:00:00.558276,0.9595887846539373,0.06425029459898841,7,50,0.7475208018691843,0.90632925729858,0.916095031779314,COMPLETE
38,0.00996963572753082,2024-10-16 10:15:13.789477,2024-10-16 10:15:14.291179,0 days 00:00:00.501702,0.9674004974682808,0.060497978005389516,6,50,0.8767911102592116,0.8919553642192081,0.8791449874054893,COMPLETE
39,0.009451548533285517,2024-10-16 10:15:13.854406,2024-10-16 10:15:14.154852,0 days 00:00:00.300446,0.8871783579828953,0.09880909939887424,6,30,0.7343907796963733,0.8975611125274731,0.8854254008625895,COMPLETE
40,0.03888858486057605,2024-10-16 10:15:13.896415,2024-10-16 10:15:14.062839,0 days 00:00:00.166424,0.8953485386727705,0.05769893366514733,8,10,0.73868679072289,0.7998850993835686,0.5285805277589979,COMPLETE
41,0.009995256538469987,2024-10-16 10:15:14.069455,2024-10-16 10:15:14.405264,0 days 00:00:00.335809,0.9677546800166424,0.06020724119241297,9,30,0.8967215844835492,0.8844680046900691,0.8788344039986971,COMPLETE
42,0.013401363607190568,2024-10-16 10:15:14.161227,2024-10-16 10:15:14.780631,0 days 00:00:00.619404,0.6317151567917281,0.0593028381641145,9,50,0.8883143567908645,0.8512310858338549,0.8375445189980111,COMPLETE
43,0.07351121448529058,2024-10-16 10:15:14.298696,2024-10-16 10:15:14.950091,0 days 00:00:00.651395,0.9806312201006048,0.001564282714966978,9,50,0.9991239675775903,0.7295529537494758,0.10887428635690766,COMPLETE
44,0.023862284670294814,2024-10-16 10:15:14.330823,2024-10-16 10:15:14.880849,0 days 00:00:00.550026,0.9732359871920646,0.021344105230831065,7,50,0.8783774415800445,0.8410415122191951,0.7107339933796628,COMPLETE
45,0.0055142615852151,2024-10-16 10:15:14.333725,2024-10-16 10:15:14.962340,0 days 00:00:00.628615,0.9702921707241204,0.05696414407487037,9,50,0.7383304112725888,0.9024907475912477,0.9331544129049486,COMPLETE
46,0.02088974046889804,2024-10-16 10:15:14.412036,2024-10-16 10:15:15.041818,0 days 00:00:00.629782,0.9764007284086147,0.020537747886929435,9,50,0.6640974480367458,0.8487551323833156,0.7467680949973878,COMPLETE
47,0.024342954880575907,2024-10-16 10:15:14.787254,2024-10-16 10:15:15.301441,0 days 00:00:00.514187,0.9734099729279317,0.019010575773622775,8,50,0.6703536225094098,0.8397425828872241,0.7049071601928785,COMPLETE
48,0.014130454183690204,2024-10-16 10:15:14.887394,2024-10-16 10:15:15.428224,0 days 00:00:00.540830,0.9630762167958163,0.030321537079943343,8,50,0.7365152259811495,0.8726541228114106,0.8287062571784665,COMPLETE
49,0.013545689626706468,2024-10-16 10:15:14.957811,2024-10-16 10:15:15.626069,0 days 00:00:00.668258,0.8322784727268053,0.027489420414612185,10,50,0.6614079787098538,0.8710690226916958,0.8357949542814043,COMPLETE
