number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,user_attrs_relative_deterioration,user_attrs_test_r2,state
120,0.004041004286196816,2024-10-16 12:21:21.795977,2024-10-16 12:21:22.417176,0 days 00:00:00.621199,0.9770357263174658,0.08436532445769901,9,50,0.9560589028044195,0.900705931412591,0.9510136942562349,COMPLETE
121,0.00399328678403884,2024-10-16 12:21:21.952867,2024-10-16 12:21:22.645944,0 days 00:00:00.693077,0.9757845272532711,0.08198069285389052,9,50,0.899825320854671,0.9040774073374301,0.9515921405988987,COMPLETE
122,0.003967373218853781,2024-10-16 12:21:22.274749,2024-10-16 12:21:23.031404,0 days 00:00:00.756655,0.976399383857588,0.0805034109949192,9,50,0.8236357570239838,0.9047396403488366,0.9519062728633466,COMPLETE
123,0.003918865276718527,2024-10-16 12:21:22.370471,2024-10-16 12:21:23.021139,0 days 00:00:00.650668,0.9527723050244411,0.08065863402667707,9,50,0.8975338461331573,0.9070717842240481,0.9524943011642705,COMPLETE
124,0.07854874128888203,2024-10-16 12:21:22.423582,2024-10-16 12:21:23.058415,0 days 00:00:00.634833,0.9527542289540939,0.0006583940939392892,9,50,0.8943191485538148,0.7210458480499603,0.04780782596337285,COMPLETE
125,0.004091769558624079,2024-10-16 12:21:22.455208,2024-10-16 12:21:23.073661,0 days 00:00:00.618453,0.9997612317622578,0.07554221869282189,9,50,0.8569348497431118,0.9071140118157192,0.9503983018982556,COMPLETE
126,0.0035397283045977175,2024-10-16 12:21:22.652527,2024-10-16 12:21:23.238214,0 days 00:00:00.585687,0.9524067317209355,0.09879758375642399,9,50,0.5352081072023598,0.911550361235474,0.9570903169860094,COMPLETE
127,0.00367324128477215,2024-10-16 12:21:23.039024,2024-10-16 12:21:23.513029,0 days 00:00:00.474005,0.9980845812949641,0.09966850991363588,9,50,0.535965902726866,0.9074294295625844,0.9554718312818674,COMPLETE
128,0.0033622588302973724,2024-10-16 12:21:23.064864,2024-10-16 12:21:23.553923,0 days 00:00:00.489059,0.9900255681519308,0.09712300100570102,9,50,0.8625840537938139,0.9064061430397441,0.9592416569283988,COMPLETE
129,0.003324730930910518,2024-10-16 12:21:23.083570,2024-10-16 12:21:23.556804,0 days 00:00:00.473234,0.9915643190148741,0.09840091621368331,10,50,0.8616257624089828,0.8802655398687663,0.9596965817498262,COMPLETE
