number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
35,0.0025261866790413645,-0.29627881991893656,2024-12-23 11:16:06.670030,2024-12-23 11:16:34.828128,0 days 00:00:28.158098,0.019994552232122913,32.0,0.1,64,100.0,1.7513749693345168e-06,2728.0,0.0008295800732856918,3,5,adadelta,"{'neurons_per_layer_encoder': [64, 128, 256, 512, 1024], 'neurons_per_layer_decoder': [1024, 512, 256]}",64.0,"[1024, 512, 256]","[64, 128, 256, 512, 1024]",[0.0025261866790413645],[-0.29627881991893656],0.1876603227946814,COMPLETE
36,-0.4600378211317393,-0.07779007667801552,2024-12-23 11:16:12.744402,2024-12-23 11:16:35.708951,0 days 00:00:22.964549,0.020487518673368513,48.0,0.1,48,100.0,7.052302497391621e-06,1928.0,0.0013407004619963706,3,5,adadelta,"{'neurons_per_layer_encoder': [48, 96, 192, 384, 768], 'neurons_per_layer_decoder': [768, 384, 192]}",48.0,"[768, 384, 192]","[48, 96, 192, 384, 768]",[-0.4600378211317393],[-0.07779007667801552],0.40712175495220804,COMPLETE
37,-0.02026820680692243,-0.01756606414348516,2024-12-23 11:16:15.339534,2024-12-23 11:16:33.698302,0 days 00:00:18.358768,0.020761341076383135,48.0,0.4,56,100.0,7.008942575855391e-06,2104.0,0.005238993789101665,3,5,sgd,"{'neurons_per_layer_encoder': [56, 112, 224, 448, 896], 'neurons_per_layer_decoder': [896, 448, 224]}",56.0,"[896, 448, 224]","[56, 112, 224, 448, 896]",[-0.02026820680692243],[-0.01756606414348516],0.546760088916588,COMPLETE
38,-0.9015160231138366,-0.8182496515608448,2024-12-23 11:16:17.970036,2024-12-23 11:16:27.755055,0 days 00:00:09.785019,0.022802535539324473,32.0,0.4,56,100.0,5.868211845102942e-06,2152.0,0.0009999223902870309,3,5,sgd,"{'neurons_per_layer_encoder': [56, 112, 224, 448, 896], 'neurons_per_layer_decoder': [896, 448, 224]}",56.0,"[896, 448, 224]","[56, 112, 224, 448, 896]",[-0.9015160231138366],[-0.8182496515608448],0.36203322749173056,COMPLETE
39,0.1592186546977542,-0.21561984872083362,2024-12-23 11:16:27.772519,2024-12-23 11:16:59.303149,0 days 00:00:31.530630,0.05562369737269762,80.0,0.1,120,100.0,1.0555219367039713e-06,4760.0,0.005848115943979373,2,5,adadelta,"{'neurons_per_layer_encoder': [120, 240, 480, 960, 1920], 'neurons_per_layer_decoder': [1920, 960]}",120.0,"[1920, 960]","[120, 240, 480, 960, 1920]",[0.1592186546977542],[-0.21561984872083362],-0.15613627204317546,COMPLETE
40,-0.08935281934786499,-0.06667496204997048,2024-12-23 11:16:29.424889,2024-12-23 11:16:53.535841,0 days 00:00:24.110952,0.019220255962954087,128.0,0.1,120,100.0,1.633153848745007e-06,5016.0,0.005125647101249562,2,5,adadelta,"{'neurons_per_layer_encoder': [120, 240, 480, 960, 1920], 'neurons_per_layer_decoder': [1920, 960]}",120.0,"[1920, 960]","[120, 240, 480, 960, 1920]",[-0.08935281934786499],[-0.06667496204997048],0.012962568615674698,COMPLETE
41,-1.1056408053570603,-0.17106189381869275,2024-12-23 11:16:33.708166,2024-12-23 11:16:43.930300,0 days 00:00:10.222134,0.054896614820312176,64.0,0.1,8,100.0,1.6175013402773357e-06,216.0,0.0019343102302077852,2,5,adadelta,"{'neurons_per_layer_encoder': [8, 16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64]}",8.0,"[128, 64]","[8, 16, 32, 64, 128]",[-1.1056408053570603],[-0.17106189381869275],0.12923262432126825,COMPLETE
42,-1.5022616798188997,-0.16763640244367983,2024-12-23 11:16:34.838289,2024-12-23 11:16:41.416528,0 days 00:00:06.578239,0.012316623390175554,48.0,0.2,120,100.0,1.0682039834890838e-06,328.0,0.002127301525878443,1,2,adadelta,"{'neurons_per_layer_encoder': [120, 240], 'neurons_per_layer_decoder': [240]}",120.0,[240],"[120, 240]",[-1.5022616798188997],[-0.16763640244367983],0.17110584622700922,COMPLETE
43,-0.3819590112973228,0.3217823488471522,2024-12-23 11:16:35.727579,2024-12-23 11:16:49.020011,0 days 00:00:13.292432,0.012919220445710141,40.0,0.2,120,100.0,1.0751914235181826e-06,344.0,0.0024597152726784205,1,2,adadelta,"{'neurons_per_layer_encoder': [120, 240], 'neurons_per_layer_decoder': [240]}",120.0,[240],"[120, 240]",[-0.3819590112973228],[0.3217823488471522],0.033991213995572096,COMPLETE
44,-0.4729075170209749,0.02795193432667742,2024-12-23 11:16:41.425082,2024-12-23 11:16:51.283234,0 days 00:00:09.858152,0.06230208676697891,128.0,0.2,120,100.0,1.8737155691888733e-06,224.0,0.005520059117730692,2,1,adadelta,"{'neurons_per_layer_encoder': [120], 'neurons_per_layer_decoder': [120, 60]}",120.0,"[120, 60]",[120],[-0.4729075170209749],[0.02795193432667742],-0.013888502786192473,COMPLETE
