number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
24,-0.008372795240793929,2025-01-10 09:30:39.113606,2025-01-10 09:30:42.807837,0 days 00:00:03.694231,0.01733965960430976,80,0.30000000000000004,40,100,0.00028275709661089584,88,0.002342249659647234,4,2,adam,"{'neurons_per_layer_encoder': [40, 80], 'neurons_per_layer_decoder': [80, 40, 20, 10]}",40,"[80, 40, 20, 10]","[40, 80]",[-0.008372795240793929],0.6351249878921971,COMPLETE
25,0.03832474680091691,2025-01-10 09:30:40.887223,2025-01-10 09:30:44.009697,0 days 00:00:03.122474,0.02034196666566976,80,0.30000000000000004,96,100,0.0002077070332495251,280,0.0029566462162296716,1,2,adam,"{'neurons_per_layer_encoder': [96, 192], 'neurons_per_layer_decoder': [192]}",96,[192],"[96, 192]",[0.03832474680091691],0.35200772472060277,COMPLETE
26,0.06565326881992439,2025-01-10 09:30:41.057043,2025-01-10 09:30:44.902034,0 days 00:00:03.844991,0.016947723021801215,80,0.30000000000000004,36,100,0.0002056463318343588,79,0.0006481761691937069,4,2,adam,"{'neurons_per_layer_encoder': [36, 72], 'neurons_per_layer_decoder': [72, 36, 18, 9]}",36,"[72, 36, 18, 9]","[36, 72]",[0.06565326881992439],0.6903597049219312,COMPLETE
27,0.0868089068369493,2025-01-10 09:30:42.530283,2025-01-10 09:30:46.443310,0 days 00:00:03.913027,0.017227041378457354,48,0.30000000000000004,84,100,0.00026191174849890227,192,0.0025303015243247477,4,2,adam,"{'neurons_per_layer_encoder': [84, 168], 'neurons_per_layer_decoder': [168, 84, 42, 21]}",84,"[168, 84, 42, 21]","[84, 168]",[0.0868089068369493],0.6910827273985128,COMPLETE
28,0.22158893323528606,2025-01-10 09:30:42.546133,2025-01-10 09:30:46.672069,0 days 00:00:04.125936,0.018118318144675166,40,0.30000000000000004,88,100,0.00042133021421620926,200,0.0005243624676431253,4,2,adam,"{'neurons_per_layer_encoder': [88, 176], 'neurons_per_layer_decoder': [176, 88, 44, 22]}",88,"[176, 88, 44, 22]","[88, 176]",[0.22158893323528606],0.9078461519886796,COMPLETE
29,-0.17335820516049338,2025-01-10 09:30:42.815730,2025-01-10 09:30:45.348785,0 days 00:00:02.533055,0.030072282995197618,32,0.30000000000000004,4,100,0.0004565618019671123,8,0.00044901070539221834,4,2,adam,"{'neurons_per_layer_encoder': [4, 8], 'neurons_per_layer_decoder': [8, 8, 8, 8]}",4,"[8, 8, 8, 8]","[4, 8]",[-0.17335820516049338],0.5256897660416827,COMPLETE
30,-0.34865928050244843,2025-01-10 09:30:44.017361,2025-01-10 09:30:46.538013,0 days 00:00:02.520652,0.029471778624345506,32,0.30000000000000004,12,100,0.0005147487247928583,26,0.0005102170680593591,4,2,adam,"{'neurons_per_layer_encoder': [12, 24], 'neurons_per_layer_decoder': [24, 12, 8, 8]}",12,"[24, 12, 8, 8]","[12, 24]",[-0.34865928050244843],0.5895709725988646,COMPLETE
31,0.29286496790891603,2025-01-10 09:30:44.911285,2025-01-10 09:30:51.254416,0 days 00:00:06.343131,0.02972808098553974,32,0.30000000000000004,80,100,0.0004968680061617453,392,0.0043263316295552605,5,3,adam,"{'neurons_per_layer_encoder': [80, 160, 320], 'neurons_per_layer_decoder': [320, 160, 80, 40, 20]}",80,"[320, 160, 80, 40, 20]","[80, 160, 320]",[0.29286496790891603],0.8469427862370856,COMPLETE
32,0.0611531385170101,2025-01-10 09:30:45.356914,2025-01-10 09:30:50.887821,0 days 00:00:05.530907,0.014701277493011951,48,0.30000000000000004,80,100,0.000487421549879041,376,0.004897808636132411,5,3,adam,"{'neurons_per_layer_encoder': [80, 160, 320], 'neurons_per_layer_decoder': [320, 160, 80, 40, 20]}",80,"[320, 160, 80, 40, 20]","[80, 160, 320]",[0.0611531385170101],0.26938107694213204,COMPLETE
33,0.03413684219061763,2025-01-10 09:30:46.451386,2025-01-10 09:30:51.702255,0 days 00:00:05.250869,0.0267748009727526,40,0.30000000000000004,56,100,0.00012719459981016826,280,0.004809791721908296,5,3,adam,"{'neurons_per_layer_encoder': [56, 112, 224], 'neurons_per_layer_decoder': [224, 112, 56, 28, 14]}",56,"[224, 112, 56, 28, 14]","[56, 112, 224]",[0.03413684219061763],0.5859268395232631,COMPLETE
