Year,Iteration,Alloy Name,Aluminum,Cobalt,Chromium,Iron,Nickel,Vanadium,Manganese,Copper,Predicted Yield Strength at 298K (MPa),Computed Stacking Fault Energy,Computed Valence Electron Concentration,Computed Pugh Ratio,Yield Strength (MPa),Ultimate Tensile Strength (MPa),UTS/YS,Tension Elongation (%),Hardness (GPa),Modulus (GPa)
1,AAE,AAE14,0,20,20,15,30,15,0,0,289.583,630.3,655,0.3186492,470,967,2.06,31,2.51,193.22
1,AAE,AAE15,0,30,5,15,20,30,0,0,368.673,707.5,560,0.257573146,399.172,918.517,2.47792,31.6783,4.28,202.06
1,AAE,AAE16,0,30,0,15,50,5,0,0,148.422,412.1,705,0.359120567,339,620,1.83,22,1.92,188.44
2,BAA,BAA01,4,8,4,16,48,4,12,4,364.166,228.4,808,0.302303281,277.1,930,3.36,41,2.14,198.95
2,BAA,BAA02,4,16,0,12,52,4,8,4,372.387,195.2,780,0.33220436,267.5,949,3.55,42.3,1.99,192.46
2,BAA,BAA03,4,12,8,16,48,0,8,4,345.322,131.5,792,0.342964095,226.3,888,3.92,42.2,1.86,188.59
2,BAA,BAA04,0,12,8,16,36,4,20,4,156.623,133,764,0.268714285,271.2,906,3.34,39.1,1.91,183.07
2,BAA,BAA05,4,12,8,8,56,4,8,0,388.777,204.2,784,0.322259376,304.1,938,3.08,39,2.25,202.62
2,BAA,BAA06,4,0,8,24,44,4,12,4,349.492,180.6,840,0.300012833,241.5,864,3.58,41.8,1.84,180.09
2,BAA,BAA07,4,12,0,16,52,8,8,0,400.649,250,780,0.32987666,392.9,1069,2.72,33.7,2.42,197.69
2,BAA,BAA08,0,24,8,12,32,8,16,0,215.382,165.8,664,0.264975902,270.7,958,3.54,40.3,1.96,193.2
2,BAA,BAA09,4,16,8,12,48,12,0,0,447.194,54.1,728,0.316042292,444.3,1180,2.66,41.6,2.64,212.29
2,BAA,BAA10,4,0,4,20,52,12,8,0,407.464,293.4,832,0.295059973,304.8,951,3.12,40,2.18,181.2
2,BAA,BAA11,0,16,0,20,28,12,20,4,223.104,258.3,716,0.278900463,256.1,516,2.01,16.8,2.03,178.26
2,BAA,BAA12,0,0,8,16,52,8,12,4,195.766,296.4,864,0.340501618,264.8,946,3.57,43.1,1.93,187.31
2,BAA,BAA13,4,20,4,16,52,0,0,4,345.903,36.5,768,0.350213048,210.1,761,3.62,35.7,1.9,195.54
2,BAA,BAA14,0,16,8,16,36,0,20,4,108.103,75.5,752,0.334089503,257.3,801,3.11,34.3,1.9,189.94
2,BAA,BAA15,0,20,8,0,44,4,20,4,169.325,136.9,732,0.332015827,319.3,1044,3.27,40.7,2.2,201.32
2,BAA,BAA16,4,12,0,20,44,0,8,12,322.752,118,824,0.331942704,212.6,792,3.73,39,1.79,170.41
2,BBA,BBA01,4,8,4,16,48,4,12,4,364.166,228.4,808,0.318619228,399.172,918.517,2.47792,31.6783,2.37872,194.282
2,BBA,BBA02,4,16,0,12,52,4,8,4,372.387,195.2,780,0.335443893,301,1080,3.59,44.8,2.228,189.88
2,BBA,BBA03,4,12,8,16,48,0,8,4,345.322,131.5,792,0.329052711,218,897,4.11,47.1,1.89148,189.88
2,BBA,BBA04,0,12,8,16,36,4,20,4,156.623,133,764,0.327608586,399.172,918.517,2.47792,31.6783,2.2553,196.68
2,BBA,BBA05,4,12,8,8,56,4,8,0,388.777,204.2,784,0.319624316,313,1160,3.71,47.8,2.31,201.97
2,BBA,BBA06,4,0,8,24,44,4,12,4,349.492,180.6,840,0.316996966,230,976,4.24,49,1.89148,180.202
2,BBA,BBA07,4,12,0,16,52,8,8,0,400.649,250,780,0.299712871,410,1259,3.07,40.6,4.28,204.213
2,BBA,BBA08,0,24,8,12,32,8,16,0,215.382,165.8,664,0.269108196,270,1049,3.89,45.4,1.98704,189.88
2,BBA,BBA09,4,16,8,12,48,12,0,0,447.194,54.1,728,0.324513279,399.172,918.517,2.47792,31.6783,2.45375,202.917
2,BBA,BBA10,4,0,4,20,52,12,8,0,407.464,293.4,832,0.3328117,366,1276,3.49,46.6,4.28,224.334
2,BBA,BBA11,0,16,0,20,28,12,20,4,223.104,258.3,716,0.268852866,349,1071,3.07,38.6,2.528,189.88
2,BBA,BBA12,0,0,8,16,52,8,12,4,195.766,296.4,864,0.288847369,316,1101,3.48,43.5,2.31,180.202
2,BBA,BBA13,4,20,4,16,52,0,0,4,345.903,36.5,768,0.349108923,177,800,4.52,42,1.89148,210.354
2,BBA,BBA14,0,16,8,16,36,0,20,4,108.103,75.5,752,0.320241427,259,954,3.68,41.4,1.98704,189.88
2,BBA,BBA15,0,20,8,0,44,4,20,4,169.325,136.9,732,0.321453467,341,1096,3.21,41,2.31,201.97
2,BBA,BBA16,4,12,0,20,44,0,8,12,322.752,118,824,0.312847006,399.172,918.517,2.47792,31.6783,2.38205,193.399
2,BBA,BBA17,4,0,4,16,56,4,12,4,391.19,91.8105,872,0.294124541,310,1057,3.41,42,2.228,180.202
2,BBA,BBA18,0,4,8,16,44,4,20,4,258.441,52.5561,828,0.277308902,267,1019,3.82,46.7,1.98704,210.354
2,BBA,BBA19,4,8,0,20,48,0,8,12,535.383,307.075,856,0.319392161,233,911,3.91,42.1,1.94288,180.202
2,BBB,BBB01,0,24,4,8,36,24,4,0,844.1,276.742,644,0.27272848,432,1447,3.35,48.8,2.64,202.49
2,BBB,BBB02,4,32,8,4,24,4,20,4,409.112,137.193,600,0.32481769,311,1127,3.62,48.8,2.22,195.91
2,BBB,BBB03,4,0,12,4,52,8,16,4,572.302,218.716,832,0.266177634,307,1220,3.97,55.7,2.23,184.96
2,BBB,BBB04,4,12,4,28,40,12,0,0,555.057,22.0799,744,0.343923308,262,1097,4.19,50.6,2.11,193.96
2,BBB,BBB05,0,44,12,4,12,24,4,0,894.083,100.788,460,0.247098325,399.172,918.517,2.47792,31.6783,1.75,189.59
2,BBB,BBB06,0,16,20,4,36,20,4,0,776.155,230.74,672,0.258091564,399.172,918.517,2.47792,31.6783,2.47109,204.66
2,BBB,BBB07,4,40,0,12,36,4,4,0,220.169,26.0423,596,0.319392447,211,901,4.27,45.3,1.89148,210.354
2,BBB,BBB08,4,8,12,4,40,4,24,4,413.902,216.993,764,0.273752707,282,1143,4.05,54.6,2.08,171.77
2,BBB,BBB09,0,4,8,4,40,16,28,0,557.043,301.695,764,0.261376143,399.172,918.517,2.47792,31.6783,2.47109,200.524
2,BBB,BBB10,4,0,4,8,52,12,16,4,699.393,305.771,836,0.267345079,399.172,918.517,2.47792,31.6783,2.41854,191.896
2,BBB,BBB11,0,24,4,4,20,16,32,0,547.704,186.823,608,0.280508158,399.172,918.517,2.47792,31.6783,2.74912,194.651
2,BBB,BBB12,0,20,4,4,48,20,4,0,688.746,264.082,704,0.306012755,418,1400,3.35,46.5,3.04,215
2,BBB,BBB13,0,40,4,28,4,20,4,0,722.09,55.481,496,0.263375137,531,1313,2.47,28.2,2.54,203.53
2,BBB,BBB14,4,0,12,4,52,0,12,16,735.022,147.368,896,0.313494112,270,1063,3.94,51.5,1.99,182.28
2,BBB,BBB15,4,0,8,4,44,0,16,24,1004.2,124.143,908,0.327179077,261,1061,4.07,52.6,1.98,171.74
2,BBB,BBB16,4,36,0,4,40,12,4,0,510.615,78.4707,604,0.299947903,399.172,918.517,2.47792,31.6783,2.7341,194.651
2,BBC,BBC1,4,12,4,20,32,8,16,4,,,,,255,1069,4.2,51.8,,
2,BBC,BBC2,4,8,0,4,52,24,8,0,,,,,449,1463,3.26,48.4,,
2,BBC,BBC3,4,4,12,,52,24,4,0,,,,,719,1161,1.61,13.8,,
2,BBC,BBC4,4,0,4,4,60,24,4,0,,,,,446,1476,3.31,50.2,,
2,BBC,BBC5,0,24,8,16,4,8,40,0,,,,,,,,,,
2,BBC,BBC6,4,28,4,4,44,12,4,0,,,,,,,,,,
2,BBC,BBC7,4,32,4,,44,12,4,0,,,,,,,,,,
2,BBC,BBC8,0,8,0,4,36,20,28,4,,,,,415,1021,2.46,24.5,,
2,BBC,BBC9,0,36,4,16,8,20,16,0,,,,,,,,,,
2,BBC,BBC10,4,4,16,8,52,16,0,0,,,,,,,,,,
2,BBC,BBC11,4,12,4,12,36,12,16,4,,,,,290,1098,3.79,48.4,,
2,BBC,BBC12,4,4,4,28,32,4,16,8,,,,,252,972,3.85,46.3,,
2,BBC,BBC13,4,28,0,4,36,0,8,20,,,,,267,920,3.45,44.6,,
2,BBC,BBC14,0,12,4,4,40,24,16,0,,,,,406,1293,3.18,39.6,,
2,BBC,BBC15,4,16,0,4,44,0,12,20,,,,,219,871,3.98,44.6,,
2,BBC,BBC16,4,28,4,8,40,16,0,0,,,,,,,,,,
