number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
25,0.6962143082045351,2025-01-12 21:12:33.653198,2025-01-12 21:12:40.783273,0 days 00:00:07.130075,0.029994184009150195,32,0.2,188,140,0.0009993081809012794,518,1.3584849727183818e-05,2,2,adam,"{'neurons_per_layer_encoder': [188, 376], 'neurons_per_layer_decoder': [376, 188]}",188,,"[376, 188]","[188, 376]",[0.6962143082045351],0.9850100706220252,COMPLETE
26,0.650301322642379,2025-01-12 21:12:34.057121,2025-01-12 21:12:41.779714,0 days 00:00:07.722593,0.05047183786622707,40,0.2,192,140,5.0877643607070516e-06,528,1.0093967497765503e-05,2,2,adam,"{'neurons_per_layer_encoder': [192, 384], 'neurons_per_layer_decoder': [384, 192]}",192,,"[384, 192]","[192, 384]",[0.650301322642379],0.49957441263321306,COMPLETE
27,0.48946995079658573,2025-01-12 21:12:35.233740,2025-01-12 21:12:41.418997,0 days 00:00:06.185257,0.05873519125594326,48,0.2,192,140,4.038387486036244e-06,521,1.618468701529742e-05,2,2,adam,"{'neurons_per_layer_encoder': [192, 384], 'neurons_per_layer_decoder': [384, 192]}",192,,"[384, 192]","[192, 384]",[0.48946995079658573],0.477438827933289,COMPLETE
28,0.5218290848633604,2025-01-12 21:12:35.570537,2025-01-12 21:12:42.046651,0 days 00:00:06.476114,0.05099360385128932,48,0.2,204,140,3.8529376519503425e-06,524,1.0139830582468631e-05,2,2,adam,"{'neurons_per_layer_encoder': [204, 408], 'neurons_per_layer_decoder': [408, 204]}",204,,"[408, 204]","[204, 408]",[0.5218290848633604],0.3719795076073018,COMPLETE
29,-0.5261329186515122,2025-01-12 21:12:40.633642,2025-01-12 21:12:42.628275,0 days 00:00:01.994633,0.052782701906247134,48,0.2,192,140,5.745445518928865e-06,492,1.0702939936927137e-05,2,2,adam,"{'neurons_per_layer_encoder': [192, 384], 'neurons_per_layer_decoder': [384, 192]}",192,,"[384, 192]","[192, 384]",[-0.5261329186515122],0.03392350142578711,COMPLETE
30,0.40811267980714083,2025-01-12 21:12:40.790971,2025-01-12 21:12:46.714487,0 days 00:00:05.923516,0.05344289036026577,48,0.2,208,120,0.0005612157969901739,581,1.4376412248434177e-05,2,2,adam,"{'neurons_per_layer_encoder': [208, 416], 'neurons_per_layer_decoder': [416, 208]}",208,,"[416, 208]","[208, 416]",[0.40811267980714083],0.9548474408146324,COMPLETE
31,0.3273891109886157,2025-01-12 21:12:41.427418,2025-01-12 21:12:47.796924,0 days 00:00:06.369506,0.056960682147493516,48,0.30000000000000004,212,120,0.0005388458886814045,578,2.069950124757794e-05,3,2,adam,"{'neurons_per_layer_encoder': [212, 424], 'neurons_per_layer_decoder': [424, 212, 106]}",212,,"[424, 212, 106]","[212, 424]",[0.3273891109886157],0.9541409097434894,COMPLETE
32,0.5330286553239051,2025-01-12 21:12:41.788541,2025-01-12 21:12:49.916812,0 days 00:00:08.128271,0.010808587684310665,40,0.30000000000000004,216,120,0.0005260230680886999,589,3.25930203233016e-05,3,2,adam,"{'neurons_per_layer_encoder': [216, 432], 'neurons_per_layer_decoder': [432, 216, 108]}",216,,"[432, 216, 108]","[216, 432]",[0.5330286553239051],0.9685230432644969,COMPLETE
33,-0.10713328928821175,2025-01-12 21:12:42.055712,2025-01-12 21:12:46.968636,0 days 00:00:04.912924,0.12661593343717398,40,0.30000000000000004,140,160,0.0006056840445346488,481,2.4020387793446918e-05,3,2,sgd,"{'neurons_per_layer_encoder': [140, 280], 'neurons_per_layer_decoder': [280, 140, 70]}",140,,"[280, 140, 70]","[140, 280]",[-0.10713328928821175],0.9122253341411725,COMPLETE
34,-1.1374775760031675,2025-01-12 21:12:42.637754,2025-01-12 21:12:44.151728,0 days 00:00:01.513974,0.012940777154520822,40,0.30000000000000004,140,160,0.0006676586916129904,465,2.059877853342775e-05,3,2,sgd,"{'neurons_per_layer_encoder': [140, 280], 'neurons_per_layer_decoder': [280, 140, 70]}",140,,"[280, 140, 70]","[140, 280]",[-1.1374775760031675],0.8457025990170207,COMPLETE
35,0.6159427728413185,2025-01-12 21:12:44.161230,2025-01-12 21:12:50.115838,0 days 00:00:05.954608,0.023491596948732887,40,0.30000000000000004,172,120,0.0005210705927911892,562,3.0222715688491814e-05,2,2,adam,"{'neurons_per_layer_encoder': [172, 344], 'neurons_per_layer_decoder': [344, 172]}",172,,"[344, 172]","[172, 344]",[0.6159427728413185],0.9641344073002519,COMPLETE
36,0.5191416173558152,2025-01-12 21:12:46.723787,2025-01-12 21:12:51.861645,0 days 00:00:05.137858,0.02442047355126097,40,0.30000000000000004,176,100,5.7536828385005034e-05,563,2.673621906176732e-05,2,2,adam,"{'neurons_per_layer_encoder': [176, 352], 'neurons_per_layer_decoder': [352, 176]}",176,,"[352, 176]","[176, 352]",[0.5191416173558152],0.7753865460931616,COMPLETE
37,0.5259875151084266,2025-01-12 21:12:46.977541,2025-01-12 21:12:51.980250,0 days 00:00:05.002709,0.023258685087495984,40,0.2,176,100,6.328680112737133e-05,558,0.00010265845010739648,2,2,adam,"{'neurons_per_layer_encoder': [176, 352], 'neurons_per_layer_decoder': [352, 176]}",176,,"[352, 176]","[176, 352]",[0.5259875151084266],0.7223405195212487,COMPLETE
38,0.20796122937474537,2025-01-12 21:12:47.805520,2025-01-12 21:12:51.148416,0 days 00:00:03.342896,0.024848076666903255,64,0.1,172,100,5.576271182490561e-05,341,9.799095602734979e-05,2,1,adam,"{'neurons_per_layer_encoder': [172], 'neurons_per_layer_decoder': [172, 86]}",172,,"[172, 86]",[172],[0.20796122937474537],-0.3053581014649941,COMPLETE
39,-0.5261245962798391,2025-01-12 21:12:49.925069,2025-01-12 21:12:51.924667,0 days 00:00:01.999598,0.022803546281396015,64,0.1,176,100,0.00011549064887503372,498,8.186086817289656e-05,2,2,adadelta,"{'neurons_per_layer_encoder': [176, 352], 'neurons_per_layer_decoder': [352, 176]}",176,,"[352, 176]","[176, 352]",[-0.5261245962798391],0.5891587774716638,COMPLETE
40,-0.7910646048797474,2025-01-12 21:12:50.124385,2025-01-12 21:12:51.652399,0 days 00:00:01.528014,0.0410699496528194,64,0.1,176,100,5.679021582465396e-05,348,6.918260914802468e-05,2,1,adadelta,"{'neurons_per_layer_encoder': [176], 'neurons_per_layer_decoder': [176, 88]}",176,,"[176, 88]",[176],[-0.7910646048797474],0.19611578479276828,COMPLETE
41,0.04487636492833702,2025-01-12 21:12:51.156867,2025-01-12 21:12:57.052499,0 days 00:00:05.895632,0.0393844046263788,56,0.2,228,100,7.915939500880208e-05,615,6.855432417293158e-05,2,2,adadelta,"{'neurons_per_layer_encoder': [228, 456], 'neurons_per_layer_decoder': [456, 228]}",228,,"[456, 228]","[228, 456]",[0.04487636492833702],0.7587059649455826,COMPLETE
42,-0.7241136611348542,2025-01-12 21:12:51.661708,2025-01-12 21:12:53.677570,0 days 00:00:02.015862,0.01895798670840668,56,0.2,136,160,1.0422261974940032e-06,503,0.0002473488724377822,2,2,adadelta,"{'neurons_per_layer_encoder': [136, 272], 'neurons_per_layer_decoder': [272, 136]}",136,,"[272, 136]","[136, 272]",[-0.7241136611348542],0.2110967722504214,COMPLETE
43,0.15348791947780605,2025-01-12 21:12:51.869855,2025-01-12 21:12:56.245744,0 days 00:00:04.375889,0.037057025947904186,56,0.2,228,80,1.060853126967465e-06,622,0.0009984988961242666,1,2,adadelta,"{'neurons_per_layer_encoder': [228, 456], 'neurons_per_layer_decoder': [456]}",228,,[456],"[228, 456]",[0.15348791947780605],0.21804765539746057,COMPLETE
44,0.2210903349353488,2025-01-12 21:12:51.932781,2025-01-12 21:12:56.661204,0 days 00:00:04.728423,0.015219734923931017,56,0.2,256,160,1.1045828728700236e-06,641,0.0002047709885889139,1,2,adam,"{'neurons_per_layer_encoder': [256, 512], 'neurons_per_layer_decoder': [512]}",256,,[512],"[256, 512]",[0.2210903349353488],-1.3812795192217506,COMPLETE
45,0.09483883172179486,2025-01-12 21:12:51.988793,2025-01-12 21:12:55.888024,0 days 00:00:03.899231,0.07178369253693055,56,0.2,224,160,1.396586595296567e-06,617,0.00016750738088271486,2,2,adam,"{'neurons_per_layer_encoder': [224, 448], 'neurons_per_layer_decoder': [448, 224]}",224,,"[448, 224]","[224, 448]",[0.09483883172179486],-1.2211027943156685,COMPLETE
46,0.2114739391631557,2025-01-12 21:12:53.687662,2025-01-12 21:12:58.053075,0 days 00:00:04.365413,0.07021865136091328,32,0.2,224,140,2.7089123457278086e-05,629,0.00015409288311983766,2,2,adam,"{'neurons_per_layer_encoder': [224, 448], 'neurons_per_layer_decoder': [448, 224]}",224,,"[448, 224]","[224, 448]",[0.2114739391631557],0.17584897794918114,COMPLETE
47,0.6342973945429229,2025-01-12 21:12:55.896075,2025-01-12 21:13:01.782373,0 days 00:00:05.886298,0.029714969797871024,32,0.2,200,140,2.1319939418834833e-05,540,0.000977112793201692,2,2,adam,"{'neurons_per_layer_encoder': [200, 400], 'neurons_per_layer_decoder': [400, 200]}",200,,"[400, 200]","[200, 400]",[0.6342973945429229],0.25346943921052045,COMPLETE
48,0.1165388307518237,2025-01-12 21:12:56.254398,2025-01-12 21:12:59.474746,0 days 00:00:03.220348,0.029577850003749212,32,0.2,148,140,2.183143518784971e-05,541,0.0013814826192770455,2,2,adam,"{'neurons_per_layer_encoder': [148, 296], 'neurons_per_layer_decoder': [296, 148]}",148,,"[296, 148]","[148, 296]",[0.1165388307518237],-0.7045768505494887,COMPLETE
49,0.15691828006514064,2025-01-12 21:12:56.670128,2025-01-12 21:12:59.535433,0 days 00:00:02.865305,0.02851083719865342,32,0.2,200,140,2.0646148661152363e-05,533,0.004241394257747478,2,2,adam,"{'neurons_per_layer_encoder': [200, 400], 'neurons_per_layer_decoder': [400, 200]}",200,,"[400, 200]","[200, 400]",[0.15691828006514064],-0.38798902364582305,COMPLETE
50,0.5359619976991579,2025-01-12 21:12:57.060912,2025-01-12 21:13:01.052750,0 days 00:00:03.991838,0.030041016085431912,32,0.2,120,140,2.4761496690972965e-06,458,0.0010201272729254255,2,2,adam,"{'neurons_per_layer_encoder': [120, 240], 'neurons_per_layer_decoder': [240, 120]}",120,,"[240, 120]","[120, 240]",[0.5359619976991579],-1.7520965990796078,COMPLETE
51,0.34283858441909854,2025-01-12 21:12:58.062069,2025-01-12 21:13:00.635351,0 days 00:00:02.573282,0.029307788990758477,32,0.2,108,140,3.774298824938484e-05,136,0.0013602493382542241,2,1,adam,"{'neurons_per_layer_encoder': [108], 'neurons_per_layer_decoder': [108, 54]}",108,,"[108, 54]",[108],[0.34283858441909854],-0.7130097852692423,COMPLETE
