IDENTIFIER: Reference ID,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: year
17,500.0,,7.7,342.0,25.0,1200.0,1585.0,47.0,4.15,119.1063829787234,207.0,,,,2015
17,12.0,,7.7,636.0,25.0,1660.0,1845.0,45.125,0.5,117.7872340425532,205.5,,,,2015
17,13.615384615384615,,7.7,650.0,25.0,1596.5,2115.5,43.25,7.625,116.46808510638299,204.0,,,,2015
18,15.23076923076923,,7.2,297.0,25.0,1533.0,2386.0,41.375,14.75,115.14893617021276,202.5,,,,2010
18,16.846153846153847,,7.0,396.0,25.0,1469.5,2656.5,39.5,21.875,113.82978723404256,201.0,,,,2010
19,18.46153846153846,,6.3,472.0,25.0,1406.0,2927.0,37.625,29.0,112.51063829787235,199.83333333333334,,,,2013
19,20.076923076923077,,7.2,905.0,25.0,1446.5,3074.5,35.75,29.0,111.19148936170212,198.66666666666666,,,,2013
19,21.692307692307693,,6.5,549.0,25.0,1487.0,3222.0,33.875,29.0,109.87234042553192,197.5,,,,2013
19,23.307692307692307,,6.8,622.0,25.0,1749.0,2644.0,32.0,13.0,108.55319148936171,196.33333333333334,,,,2013
19,24.923076923076923,,7.0,854.0,25.0,1513.0,1513.0,30.125,0.0,107.2340425531915,195.16666666666666,,,,2013
20,26.53846153846154,,7.7,180.0,25.0,1496.9333333333334,1496.9333333333334,28.25,0.0,105.91489361702128,194.0,,,,2006
20,28.153846153846153,,7.4,207.0,25.0,1480.8666666666666,1480.8666666666666,26.375,0.0,104.59574468085107,187.0,,,,2006
20,29.76923076923077,,7.0,271.0,25.0,1464.8,1464.8,24.5,0.0,103.27659574468086,181.0,,,,2006
20,31.384615384615387,,6.5,476.0,25.0,1448.7333333333333,1448.7333333333333,22.625,0.0,101.95744680851064,175.0,,,,2006
20,33.0,,6.3,510.0,25.0,1432.6666666666667,1432.6666666666667,20.75,0.0,100.63829787234043,169.0,,,,2006
20,34.61538461538461,,6.1,557.0,25.0,1416.6,1416.6,18.875,0.0,99.31914893617022,163.0,,,,2006
20,36.23076923076923,,5.9,567.0,25.0,1400.5333333333333,1400.5333333333333,17.0,0.0,98.0,157.0,,,,2006
20,37.84615384615385,,5.7,603.0,25.0,1384.4666666666667,1384.4666666666667,15.125,0.0,96.68085106382979,151.0,,,,2006
20,39.46153846153846,,5.6,624.0,25.0,1368.4,1368.4,13.25,0.0,95.36170212765958,145.0,,,,2006
20,41.07692307692308,,5.5,657.0,25.0,1352.3333333333333,1352.3333333333333,11.375,0.0,94.04255319148936,139.0,,,,2006
20,42.69230769230769,,5.4,644.0,25.0,1336.2666666666667,1336.2666666666667,9.5,0.0,92.72340425531915,136.0,,,,2006
20,44.30769230769231,,6.8,407.0,25.0,1320.2,1320.2,7.625,0.0,91.40425531914894,172.0,,,,2006
20,45.92307692307693,,8.2,134.0,25.0,1304.1333333333334,1304.1333333333334,5.75,0.0,90.08510638297872,208.0,,,,2006
21,47.53846153846154,,8.3,172.0,25.0,1288.0666666666666,1288.0666666666666,3.875,0.0,88.76595744680851,215.0,,,,2010
22,49.15384615384615,,7.4,232.75,25.0,1272.0,1272.0,2.0,0.0,87.4468085106383,185.0,,,,2007
22,50.769230769230774,,7.8,293.5,25.0,700.0,1650.0,22.0,21.6,86.12765957446808,194.0,,,,2007
22,52.38461538461539,,7.6,354.25,25.0,1042.0,1848.0,3.0,2.11,84.80851063829788,193.16666666666666,,,,2007
23,54.0,,7.5,415.0,25.0,1040.878787878788,1838.4594594594594,3.3636363636363638,2.269189189189189,83.48936170212767,192.33333333333334,,,,2007
