trial_id,best_loss,neurons_encoder,latent_dim,neurons_decoder
33,0.013284184329343805,"[1008, 504, 252, 126]",42,"[126, 252, 504, 1008]"
34,0.016489354086719123,"[752, 376, 188, 94]",31,"[94, 188, 376, 752]"
35,0.038896411984884076,"[784, 392, 196, 98]",32,"[98, 196, 392, 784]"
36,0.015001255071625757,"[1328, 664, 332, 166]",55,"[166, 332, 664, 1328]"
37,0.009757504854035459,"[720, 360, 180, 90, 45]",15,"[45, 90, 180, 360]"
38,0.010011472472077074,"[1312, 656, 328, 164, 82]",27,"[82, 164]"
39,0.009705973213670286,"[1344, 672, 336, 168, 84]",28,"[84, 168]"
40,0.008496510052116426,"[1360, 680, 340, 170, 85]",28,"[85, 170]"
41,0.005149994124511783,"[848, 424, 212, 106, 53]",17,"[53, 106]"
42,0.008571818153591823,"[1376, 688, 344, 172, 86]",28,"[86, 172]"
43,0.009090392183881383,"[1632, 816, 408, 204, 102]",34,"[102, 204]"
44,0.007944436488807953,"[1632, 816, 408, 204, 102]",34,"[102, 204]"
45,0.08245138215211192,"[1632, 816, 408, 204, 102]",34,"[102, 204, 408]"
46,0.08053504160343583,"[832, 416, 208, 104, 52]",17,"[52, 104, 208, 416, 832]"
47,0.012855188773648088,"[848, 424, 212, 106, 53]",17,"[53, 106, 212, 424]"
48,0.08128159530602265,"[832, 416, 208, 104, 52]",17,"[52, 104]"
49,0.0799693769449624,"[848, 424, 212, 106, 53]",17,"[53, 106]"
50,0.015318270415536246,"[832, 416, 208, 104, 52]",17,"[52, 104]"
51,0.007740807924768333,"[672, 336, 168, 84, 42]",14,"[42, 84]"
52,0.01473652144384395,"[640, 320, 160, 80, 40]",13,"[40, 80, 160, 320, 640]"
53,0.011137173857856323,"[528, 264, 132, 66, 33]",11,"[33, 66, 132, 264, 528]"
54,0.03003008342961251,"[512, 256, 128, 64, 32]",10,"[32, 64]"
55,0.08071969491777461,"[640, 320, 160, 80, 40]",13,"[40, 80, 160, 320, 640]"
56,0.08057253223307427,"[592, 296, 148]",49,"[148, 296, 592, 1184, 2368]"
57,0.005118233188591223,"[624, 312, 156, 78, 39]",13,"[39, 78]"
58,0.086275770225819,"[976, 488, 244, 122, 61]",20,"[61, 122]"
59,0.08432377417495812,"[608, 304, 152, 76, 38]",12,"[38, 76]"
60,0.08399667191058462,"[976, 488, 244]",81,"[244, 488]"
61,0.08216406582889627,"[960, 480, 240]",80,"[240, 480, 960]"
62,0.08158494773904051,"[944, 472, 236, 118]",39,"[118, 236, 472]"
63,0.01151467781175286,"[1120, 560, 280, 140]",46,"[140, 280, 560]"
64,0.009054439239145107,"[1104, 552, 276, 138]",46,"[138, 276, 552]"
65,0.014501777821917968,"[1216, 608, 304]",101,"[304, 608, 1216]"
66,0.016691273560763782,"[1248, 624, 312]",136,"[312, 624, 1248]"
67,0.008993707687963655,"[672, 336, 168, 84, 42]",14,"[42, 84]"
68,0.011105348873162295,"[704, 352, 176, 88, 44]",14,"[44, 88]"
69,0.010278400019597097,"[736, 368, 184, 92, 46]",15,"[46, 92]"
70,0.01919059598624481,"[576, 288, 144, 72, 36]",12,"[36, 72]"
71,0.013894646156901851,"[576, 288, 144, 72, 36]",12,"[36, 72]"
72,0.014661330809555582,"[576, 288, 144, 72, 36]",12,"[36, 72]"
73,0.023300294728742735,"[592, 296, 148, 74, 37]",12,"[37, 74]"
74,0.01085050336868442,"[1072, 536, 268, 134, 67]",22,"[67, 134]"
75,0.01558179677437136,"[784, 392, 196, 98, 49]",16,"[49, 98, 196, 392]"
76,0.00952790949290315,"[1520, 760, 380, 190, 95]",31,"[95, 190, 380, 760]"
77,0.01196589007217856,"[1856, 928, 464, 232, 116]",38,"[116, 232]"
78,0.0103571808088861,"[1904, 952, 476, 238, 119]",39,"[119, 238]"
79,0.01697329802135521,"[1872, 936, 468, 234, 117]",39,"[117, 234]"
80,0.013094755604093481,"[1872, 936, 468, 234, 117]",39,"[117, 234]"
81,0.007279524798689363,"[1552, 776, 388, 194, 97]",32,"[97, 194]"
82,0.007359051619408207,"[1936, 968, 484, 242, 121]",40,"[121, 242]"
83,0.012012956115611227,"[1552, 776, 388, 194, 97]",32,"[97, 194]"
84,0.008942927709623644,"[1664, 832, 416, 208, 104]",34,"[104, 208]"
85,0.011687621335264527,"[1744, 872, 436, 218, 109]",36,"[109, 218, 436]"
86,0.006281739143442506,"[1712, 856, 428, 214, 107]",35,"[107, 214, 428]"
87,0.015688455693232718,"[1728, 864, 432, 216, 108]",36,"[108, 216]"
88,0.01018732625964523,"[1760, 880, 440, 220, 110]",36,"[110, 220]"
89,0.012836689295730416,"[1696, 848, 424, 212, 106]",35,"[106, 212]"
90,0.011053276239884082,"[2048, 1024, 512, 256, 128]",42,"[128, 256]"
91,0.012319835323983086,"[2000, 1000, 500, 250, 125]",41,"[125, 250]"
92,0.08064597714557627,"[2000, 1000, 500, 250, 125]",41,"[125, 250]"
93,0.010989739132579618,"[1984, 992, 496, 248, 124]",41,"[124, 248]"
94,0.08055410634330841,"[2048, 1024, 512, 256, 128]",42,"[128, 256]"
95,0.08132238207668847,"[1968, 984, 492, 246, 123]",41,"[123, 246]"
96,0.012036972947695294,"[1424, 712, 356, 178, 89]",29,"[89, 178, 356]"
97,0.007909189129526303,"[1408, 704, 352, 176, 88]",29,"[88, 176]"
98,0.012940781922657777,"[1408, 704, 352, 176, 88]",29,"[88, 176]"
99,0.012506345182586752,"[880, 440, 220, 110, 55]",18,"[55, 110]"
100,0.006757667677172215,"[1424, 712, 356, 178, 89]",29,"[89, 178]"
101,0.011769497757053025,"[1424, 712, 356, 178, 89]",29,"[89, 178]"
102,0.006753261222311823,"[1808, 904, 452, 226, 113]",37,"[113, 226, 452]"
103,0.007143774199283916,"[784, 392, 196, 98, 49]",16,"[49, 98, 196]"
104,0.004476841210517762,"[800, 400, 200, 100, 50]",16,"[50, 100, 200]"
105,0.007680761139104422,"[1808, 904, 452, 226, 113]",37,"[113, 226, 452]"
106,0.011426823664142138,"[784, 392, 196, 98]",32,"[98, 196, 392]"
107,0.007402901587414371,"[1568, 784, 392, 196, 98]",32,"[98, 196, 392]"
108,0.008130907926325601,"[1824, 912, 456, 228, 114]",38,"[114, 228, 456]"
109,0.008785391930568131,"[784, 392, 196, 98, 49]",16,"[49, 98, 196]"
110,0.007665834370579336,"[1920, 960, 480, 240, 120]",40,"[120, 240, 480]"
111,0.013252047994597392,"[1808, 904, 452, 226, 113]",37,"[113, 226, 452]"
112,0.01020714307404639,"[1600, 800, 400, 200, 100]",33,"[100, 200, 400]"
113,0.011507634793139187,"[896, 448, 224, 112, 56]",18,"[56, 112, 224]"
114,0.008400292711891695,"[928, 464, 232, 116, 58]",19,"[58, 116, 232]"
115,0.008671179654997087,"[912, 456, 228, 114, 57]",19,"[57, 114, 228]"
116,0.011406369868488723,"[912, 456, 228, 114, 57]",19,"[57, 114, 228]"
117,0.009446073259180949,"[928, 464, 232, 116, 58]",19,"[58, 116, 232]"
118,0.005272407973689405,"[928, 464, 232, 116, 58]",19,"[58, 116, 232]"
119,0.009725288484223622,"[928, 464, 232, 116, 58]",19,"[58, 116, 232]"
120,0.008188437845864018,"[1040, 520, 260, 130, 65]",21,"[65, 130, 260]"
121,0.009995165911174973,"[864, 432, 216, 108, 54]",18,"[54, 108, 216, 432]"
