number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
24,0.009077664056769621,2024-12-21 15:25:03.971892,2024-12-21 15:25:28.619858,0 days 00:00:24.647966,0.016438162117931594,256,0.2,896,50,0.00019925333743435234,18,0.0008225348525260535,3,5,adam,"{'neurons_per_layer_encoder': [896, 448, 224, 112, 56], 'neurons_per_layer_decoder': [56, 112, 224]}",896,"[56, 112, 224]","[896, 448, 224, 112, 56]",0.9982412083862187,0.8866142080586684,COMPLETE
25,0.01192240256369507,2024-12-21 15:25:11.366680,2024-12-21 15:25:33.962954,0 days 00:00:22.596274,0.014332022465645512,512,0.2,880,50,0.00015511045369427637,18,0.0007720255253928791,3,5,adam,"{'neurons_per_layer_encoder': [880, 440, 220, 110, 55], 'neurons_per_layer_decoder': [55, 110, 220]}",880,"[55, 110, 220]","[880, 440, 220, 110, 55]",0.9986521124457902,0.8510816165839705,COMPLETE
26,0.018820294358380858,2024-12-21 15:25:28.630485,2024-12-21 15:25:54.801290,0 days 00:00:26.170805,0.037419031197701284,512,0.3,1808,50,0.00048821262494119436,37,0.0003749985642765879,2,5,adam,"{'neurons_per_layer_encoder': [1808, 904, 452, 226, 113], 'neurons_per_layer_decoder': [113, 226]}",1808,"[113, 226]","[1808, 904, 452, 226, 113]",0.9983458924325455,0.7649225652052409,COMPLETE
27,0.0066762271106023,2024-12-21 15:25:33.972568,2024-12-21 15:25:57.253089,0 days 00:00:23.280521,0.017567605666276184,256,0.2,928,50,0.00041843762123214203,19,0.0008042752197679219,3,5,adam,"{'neurons_per_layer_encoder': [928, 464, 232, 116, 58], 'neurons_per_layer_decoder': [58, 116, 232]}",928,"[58, 116, 232]","[928, 464, 232, 116, 58]",0.9982554282698154,0.9166096813693707,COMPLETE
28,0.004721041647116518,2024-12-21 15:25:38.913680,2024-12-21 15:26:26.669670,0 days 00:00:47.755990,0.03857231300298886,256,0.2,912,50,0.0004382721901872391,19,0.0005752627173108959,4,5,adam,"{'neurons_per_layer_encoder': [912, 456, 228, 114, 57], 'neurons_per_layer_decoder': [57, 114, 228, 456]}",912,"[57, 114, 228, 456]","[912, 456, 228, 114, 57]",0.998457812264967,0.9410311901168982,COMPLETE
29,0.008205489947681409,2024-12-21 15:25:54.811830,2024-12-21 15:26:24.844008,0 days 00:00:30.032178,0.016943026152418595,256,0.2,928,50,0.00022365123303656498,19,0.0005467021205574316,4,5,adam,"{'neurons_per_layer_encoder': [928, 464, 232, 116, 58], 'neurons_per_layer_decoder': [58, 116, 232, 464]}",928,"[58, 116, 232, 464]","[928, 464, 232, 116, 58]",0.9978808160143751,0.8975082168533587,COMPLETE
30,0.011276888319314577,2024-12-21 15:25:57.299925,2024-12-21 15:26:23.435586,0 days 00:00:26.135661,0.018809036096923516,256,0.2,752,50,0.000987045094649701,15,0.0005918249854444755,4,5,adam,"{'neurons_per_layer_encoder': [752, 376, 188, 94, 47], 'neurons_per_layer_decoder': [47, 94, 188, 376]}",752,"[47, 94, 188, 376]","[752, 376, 188, 94, 47]",0.9972763048940301,0.8591444996506676,COMPLETE
31,0.01714154771999969,2024-12-21 15:26:23.445886,2024-12-21 15:26:41.407183,0 days 00:00:17.961297,0.010658632831339556,512,0.2,1024,50,0.000386520883235045,42,0.0006974671969531349,3,4,adam,"{'neurons_per_layer_encoder': [1024, 512, 256, 128], 'neurons_per_layer_decoder': [128, 256, 512]}",1024,"[128, 256, 512]","[1024, 512, 256, 128]",0.998578179152812,0.7858911773802804,COMPLETE
32,0.013683357405545146,2024-12-21 15:26:24.861551,2024-12-21 15:26:41.605167,0 days 00:00:16.743616,0.012029500881355078,512,0.2,1024,50,0.00038301398255858996,42,0.0006996687133964083,3,4,adam,"{'neurons_per_layer_encoder': [1024, 512, 256, 128], 'neurons_per_layer_decoder': [128, 256, 512]}",1024,"[128, 256, 512]","[1024, 512, 256, 128]",0.9987174357211318,0.8290861717131954,COMPLETE
33,0.013284184329343805,2024-12-21 15:26:26.683724,2024-12-21 15:26:45.700793,0 days 00:00:19.017069,0.07864605933953484,512,0.2,1008,50,0.0003266385045221305,42,0.0007101390362003721,4,4,adam,"{'neurons_per_layer_encoder': [1008, 504, 252, 126], 'neurons_per_layer_decoder': [126, 252, 504, 1008]}",1008,"[126, 252, 504, 1008]","[1008, 504, 252, 126]",0.9986133674538723,0.8340720970662044,COMPLETE
34,0.016489354086719123,2024-12-21 15:26:31.806764,2024-12-21 15:26:50.104385,0 days 00:00:18.297621,0.0848655632910579,512,0.2,752,50,0.00035954011060470204,31,0.0006829919860733782,4,4,adam,"{'neurons_per_layer_encoder': [752, 376, 188, 94], 'neurons_per_layer_decoder': [94, 188, 376, 752]}",752,"[94, 188, 376, 752]","[752, 376, 188, 94]",0.9986531024304489,0.7940374902583675,COMPLETE
35,0.038896411984884076,2024-12-21 15:26:41.447439,2024-12-21 15:26:57.986756,0 days 00:00:16.539317,0.08432646366799264,512,0.3,784,50,0.0005424223940024032,32,0.00010625351283030567,4,4,adam,"{'neurons_per_layer_encoder': [784, 392, 196, 98], 'neurons_per_layer_decoder': [98, 196, 392, 784]}",784,"[98, 196, 392, 784]","[784, 392, 196, 98]",0.9983383191245565,0.5141590998519687,COMPLETE
36,0.015001255071625757,2024-12-21 15:26:41.616626,2024-12-21 15:27:03.483186,0 days 00:00:21.866560,0.034458407052156866,384,0.3,1328,50,0.0005681232352796762,55,0.0005111257956193527,4,4,adam,"{'neurons_per_layer_encoder': [1328, 664, 332, 166], 'neurons_per_layer_decoder': [166, 332, 664, 1328]}",1328,"[166, 332, 664, 1328]","[1328, 664, 332, 166]",0.9984265849237421,0.8126247924826272,COMPLETE
37,0.009757504854035459,2024-12-21 15:26:45.719956,2024-12-21 15:27:04.571246,0 days 00:00:18.851290,0.039725766252597196,256,0.2,720,50,0.0005258974337404022,15,0.0008481272132645137,4,5,adam,"{'neurons_per_layer_encoder': [720, 360, 180, 90, 45], 'neurons_per_layer_decoder': [45, 90, 180, 360]}",720,"[45, 90, 180, 360]","[720, 360, 180, 90, 45]",0.9976827194333916,0.878122564535627,COMPLETE
38,0.010011472472077074,2024-12-21 15:26:50.121712,2024-12-21 15:27:10.113601,0 days 00:00:19.991889,0.03711691435686686,256,0.2,1312,50,0.0005636952093614742,27,0.0008872422701183767,2,5,adam,"{'neurons_per_layer_encoder': [1312, 656, 328, 164, 82], 'neurons_per_layer_decoder': [82, 164]}",1312,"[82, 164]","[1312, 656, 328, 164, 82]",0.9978166067336547,0.874950347617374,COMPLETE
39,0.009705973213670286,2024-12-21 15:26:57.996802,2024-12-21 15:27:17.007351,0 days 00:00:19.010549,0.03434674441896658,256,0.2,1344,50,0.0005120091971121984,28,0.0008042535086528873,2,5,adam,"{'neurons_per_layer_encoder': [1344, 672, 336, 168, 84], 'neurons_per_layer_decoder': [84, 168]}",1344,"[84, 168]","[1344, 672, 336, 168, 84]",0.9977690743277248,0.878766227466564,COMPLETE
40,0.008496510052116426,2024-12-21 15:27:00.844340,2024-12-21 15:27:18.599888,0 days 00:00:17.755548,0.03528643695229731,256,0.2,1360,50,0.0001520105232731922,28,0.0008316414608140592,2,5,adam,"{'neurons_per_layer_encoder': [1360, 680, 340, 170, 85], 'neurons_per_layer_decoder': [85, 170]}",1360,"[85, 170]","[1360, 680, 340, 170, 85]",0.9979571987230348,0.8938731908372102,COMPLETE
41,0.005149994124511783,2024-12-21 15:27:03.499796,2024-12-21 15:27:26.962241,0 days 00:00:23.462445,0.04630276595223441,256,0.2,848,50,0.00017004685041783175,17,0.0008347484726728614,2,5,adam,"{'neurons_per_layer_encoder': [848, 424, 212, 106, 53], 'neurons_per_layer_decoder': [53, 106]}",848,"[53, 106]","[848, 424, 212, 106, 53]",0.998306828728939,0.935673301121393,COMPLETE
42,0.008571818153591823,2024-12-21 15:27:04.590178,2024-12-21 15:27:25.426766,0 days 00:00:20.836588,0.04911474260093925,256,0.2,1376,50,0.00015978550827699958,28,0.00047440849199771416,2,5,adam,"{'neurons_per_layer_encoder': [1376, 688, 344, 172, 86], 'neurons_per_layer_decoder': [86, 172]}",1376,"[86, 172]","[1376, 688, 344, 172, 86]",0.998095416103474,0.8929325447996409,COMPLETE
