number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
125,0.01237789134435496,2024-12-21 15:31:20.655783,2024-12-21 15:31:25.441369,0 days 00:00:04.785586,0.03122634174378816,256,0.2,992,50,0.00045108602711726954,20,0.0005859416301127846,3,5,adam,"{'neurons_per_layer_encoder': [992, 496, 248, 124, 62], 'neurons_per_layer_decoder': [62, 124, 248]}",992,"[62, 124, 248]","[992, 496, 248, 124, 62]",0.9979169013242579,0.8453922722997438,COMPLETE
126,0.01248062018099842,2024-12-21 15:31:22.601932,2024-12-21 15:31:27.655022,0 days 00:00:05.053090,0.025578671155222096,256,0.2,992,50,0.00021221577405712547,20,0.0005064031884635153,3,5,adam,"{'neurons_per_layer_encoder': [992, 496, 248, 124, 62], 'neurons_per_layer_decoder': [62, 124, 248]}",992,"[62, 124, 248]","[992, 496, 248, 124, 62]",0.9974688139131789,0.8441091238570182,COMPLETE
127,0.004491384708215723,2024-12-21 15:31:25.449104,2024-12-21 15:31:38.124121,0 days 00:00:12.675017,0.026465282423630086,256,0.2,1488,50,0.00021054386399034785,31,0.0004989416939008868,3,5,adam,"{'neurons_per_layer_encoder': [1488, 744, 372, 186, 93], 'neurons_per_layer_decoder': [93, 186, 372]}",1488,"[93, 186, 372]","[1488, 744, 372, 186, 93]",0.9985103655666054,0.9438997512058789,COMPLETE
128,0.008269998840867775,2024-12-21 15:31:27.662764,2024-12-21 15:31:31.961141,0 days 00:00:04.298377,0.02798777101939597,256,0.2,704,50,0.00039502306398624007,14,0.0008231342187435835,3,5,adam,"{'neurons_per_layer_encoder': [704, 352, 176, 88, 44], 'neurons_per_layer_decoder': [44, 88, 176]}",704,"[44, 88, 176]","[704, 352, 176, 88, 44]",0.9978580717633005,0.8967024597890465,COMPLETE
129,0.013507062778860686,2024-12-21 15:31:31.967977,2024-12-21 15:31:36.775214,0 days 00:00:04.807237,0.03528144286979874,896,0.2,1472,50,0.0005492956346495708,30,0.0008945277603495931,3,5,adam,"{'neurons_per_layer_encoder': [1472, 736, 368, 184, 92], 'neurons_per_layer_decoder': [92, 184, 368]}",1472,"[92, 184, 368]","[1472, 736, 368, 184, 92]",0.9992474754456135,0.8312882036166246,COMPLETE
130,0.003786446107532622,2024-12-21 15:31:36.781917,2024-12-21 15:31:46.471335,0 days 00:00:09.689418,0.047505851406154626,256,0.2,752,50,0.00033592478686779654,15,0.0006961671077312921,3,5,adam,"{'neurons_per_layer_encoder': [752, 376, 188, 94, 47], 'neurons_per_layer_decoder': [47, 94, 188]}",752,"[47, 94, 188]","[752, 376, 188, 94, 47]",0.9986827460866747,0.9527048822405375,COMPLETE
131,0.012184898438982732,2024-12-21 15:31:38.131333,2024-12-21 15:31:42.318927,0 days 00:00:04.187594,0.0513562329165846,256,0.2,816,50,0.00018031023842067715,17,0.0004522916265737096,3,5,adam,"{'neurons_per_layer_encoder': [816, 408, 204, 102, 51], 'neurons_per_layer_decoder': [51, 102, 204]}",816,"[51, 102, 204]","[816, 408, 204, 102, 51]",0.997869621966285,0.8478028763139307,COMPLETE
132,0.0075901791997272,2024-12-21 15:31:42.326123,2024-12-21 15:31:48.801916,0 days 00:00:06.475793,0.1873066707534268,256,0.2,1536,50,0.00016734042303579523,32,0.0008405638091725378,3,5,adam,"{'neurons_per_layer_encoder': [1536, 768, 384, 192, 96], 'neurons_per_layer_decoder': [96, 192, 384]}",1536,"[96, 192, 384]","[1536, 768, 384, 192, 96]",0.9980918246265793,0.9051938390586409,COMPLETE
133,0.007145236111492979,2024-12-21 15:31:46.479465,2024-12-21 15:31:50.898038,0 days 00:00:04.418573,0.08911572692383553,256,0.2,752,50,0.0003292393785951975,15,0.0006944826399033311,3,5,adam,"{'neurons_per_layer_encoder': [752, 376, 188, 94, 47], 'neurons_per_layer_decoder': [47, 94, 188]}",752,"[47, 94, 188]","[752, 376, 188, 94, 47]",0.9983621679962705,0.9107514609438259,COMPLETE
134,0.01291719939444063,2024-12-21 15:31:48.809445,2024-12-21 15:31:53.182834,0 days 00:00:04.373389,0.047289255727692665,256,0.2,768,50,0.00043564172906243625,16,0.0004917810376956776,3,5,adam,"{'neurons_per_layer_encoder': [768, 384, 192, 96, 48], 'neurons_per_layer_decoder': [48, 96, 192]}",768,"[48, 96, 192]","[768, 384, 192, 96, 48]",0.997636671378803,0.838655972082322,COMPLETE
135,0.015750581085728656,2024-12-21 15:31:53.188717,2024-12-21 15:31:57.153628,0 days 00:00:03.964911,0.06060656632263752,256,0.2,848,50,0.00028169913567903143,17,0.00040825439617562305,3,5,adam,"{'neurons_per_layer_encoder': [848, 424, 212, 106, 53], 'neurons_per_layer_decoder': [53, 106, 212]}",848,"[53, 106, 212]","[848, 424, 212, 106, 53]",0.997470071589877,0.8032652344509619,COMPLETE
136,0.025158968287741605,2024-12-21 15:31:57.159359,2024-12-21 15:32:00.637906,0 days 00:00:03.478547,0.055975615989904554,256,0.2,704,50,0.0002003453715812957,14,0.00014108735110514572,3,5,adam,"{'neurons_per_layer_encoder': [704, 352, 176, 88, 44], 'neurons_per_layer_decoder': [44, 88, 176]}",704,"[44, 88, 176]","[704, 352, 176, 88, 44]",0.9971189410622514,0.6857485002868039,COMPLETE
137,0.0811612723280154,2024-12-21 15:32:00.643453,2024-12-21 15:32:14.614389,0 days 00:00:13.970936,0.03783437450467939,256,0.2,1712,50,0.0003774242611964928,35,0.0005286520893026199,3,5,adadelta,"{'neurons_per_layer_encoder': [1712, 856, 428, 214, 107], 'neurons_per_layer_decoder': [107, 214, 428]}",1712,"[107, 214, 428]","[1712, 856, 428, 214, 107]",0.9962087694150483,-0.01375586057465572,COMPLETE
138,0.011754012351780335,2024-12-21 15:32:14.620154,2024-12-21 15:32:19.395512,0 days 00:00:04.775358,0.021794321187592072,256,0.2,1184,50,0.00046683893586854105,24,0.0005947658306904599,3,5,adam,"{'neurons_per_layer_encoder': [1184, 592, 296, 148, 74], 'neurons_per_layer_decoder': [74, 148, 296]}",1184,"[74, 148, 296]","[1184, 592, 296, 148, 74]",0.997975718051896,0.8531849173245264,COMPLETE
139,0.08156833029658868,2024-12-21 15:32:19.401041,2024-12-21 15:32:22.460397,0 days 00:00:03.059356,0.042947466240652446,256,0.2,640,50,2.166332085495857e-05,13,0.0007265275700124755,3,5,sgd,"{'neurons_per_layer_encoder': [640, 320, 160, 80, 40], 'neurons_per_layer_decoder': [40, 80, 160]}",640,"[40, 80, 160]","[640, 320, 160, 80, 40]",0.9961652421037142,-0.01884027324338522,COMPLETE
