number,value,datetime_start,datetime_complete,duration,params_batch_size,params_conjunction_units,params_drop_out_rate,params_epochs,params_latent_dim,params_learning_rate,params_num_conjunctions,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
46,0.08513641344642844,2024-10-11 10:41:41.795599,2024-10-11 10:42:13.700306,0 days 00:00:31.904707,32,80,0.2,50,64,0.0005786728691305592,20,sgd,0.3078649969845714,-0.03204997660109066,COMPLETE
47,0.017124213247040738,2024-10-11 10:42:13.705557,2024-10-11 10:42:27.498075,0 days 00:00:13.792518,48,48,0.1,10,64,0.0006859413046999778,20,adam,0.5699085528825933,0.7924149824323862,COMPLETE
48,0.004468266079313688,2024-10-11 10:42:27.503397,2024-10-11 10:42:51.130569,0 days 00:00:23.627172,32,48,0.1,50,64,0.0005499726281885771,10,adam,0.5305498433586018,0.9458342944467013,COMPLETE
49,0.006439848707707602,2024-10-11 10:42:51.135782,2024-10-11 10:43:12.396099,0 days 00:00:21.260317,64,80,0.1,30,96,0.000912310310250708,15,adam,0.33278124636243245,0.9219341590859204,COMPLETE
50,0.04241037422310376,2024-10-11 10:43:12.401475,2024-10-11 10:43:57.563466,0 days 00:00:45.161991,32,48,0.3,50,64,0.00010696991473871141,20,adam,0.47901506679503897,0.4858883061577465,COMPLETE
51,0.004165762161222367,2024-10-11 10:43:57.569168,2024-10-11 10:44:41.434423,0 days 00:00:43.865255,32,48,0.1,50,64,0.000628090363161344,20,adam,0.5272911574258407,0.9495013406487867,COMPLETE
52,0.0047679412316033,2024-10-11 10:44:41.439919,2024-10-11 10:45:25.152770,0 days 00:00:43.712851,32,48,0.1,50,64,0.0006257542011032974,20,adam,0.43632217285413594,0.9422015394199343,COMPLETE
53,0.004981201385608054,2024-10-11 10:45:25.158081,2024-10-11 10:46:09.737415,0 days 00:00:44.579334,32,48,0.1,50,64,0.0007510717389275915,20,adam,0.4224218667817117,0.9396163337712486,COMPLETE
54,0.004670726716722772,2024-10-11 10:46:09.742894,2024-10-11 10:46:57.591180,0 days 00:00:47.848286,32,48,0.1,50,96,0.0006419978253809965,20,adam,0.4504052164833198,0.9433800038835668,COMPLETE
55,0.004279833611928653,2024-10-11 10:46:57.596409,2024-10-11 10:47:42.917436,0 days 00:00:45.321027,32,48,0.1,50,64,0.0007646696668909755,20,adam,0.47651276590782693,0.9481185311872822,COMPLETE
56,0.02732096947750676,2024-10-11 10:47:42.923528,2024-10-11 10:48:03.762267,0 days 00:00:20.838739,32,48,0.1,50,96,0.0009141983868978634,15,sgd,0.5829591504566343,0.6688067447459187,COMPLETE
57,0.007027852119848765,2024-10-11 10:48:03.767668,2024-10-11 10:48:47.953063,0 days 00:00:44.185395,32,48,0.1,50,64,0.000154214386197798,20,adam,0.6207596089659236,0.9148061995774603,COMPLETE
58,0.008559106270116709,2024-10-11 10:48:47.958357,2024-10-11 10:49:31.925864,0 days 00:00:43.967507,16,16,0.2,30,96,0.0005671254383232445,20,adam,0.554417787201774,0.8962438624295751,COMPLETE
59,0.003635317061263458,2024-10-11 10:49:31.931260,2024-10-11 10:49:59.066170,0 days 00:00:27.134910,32,80,0.1,50,64,0.00045590299389552686,10,adam,0.557616959670647,0.9559315604670695,COMPLETE
60,0.09052351348222726,2024-10-11 10:49:59.071519,2024-10-11 10:50:31.680948,0 days 00:00:32.609429,32,112,0.1,50,96,0.00045619814589394585,10,adadelta,0.29611141345222963,-0.09735407200314028,COMPLETE
61,0.004011186868067209,2024-10-11 10:50:31.686423,2024-10-11 10:50:59.589506,0 days 00:00:27.903083,32,80,0.1,50,64,0.0006087743626559633,10,adam,0.49442080567395574,0.9513751502353776,COMPLETE
62,0.004968869444985702,2024-10-11 10:50:59.595315,2024-10-11 10:51:26.479236,0 days 00:00:26.883921,32,80,0.1,50,64,0.0005348748226276632,10,adam,0.40230301763534765,0.9397658253755521,COMPLETE
63,0.004412082861687796,2024-10-11 10:51:26.484831,2024-10-11 10:51:44.642070,0 days 00:00:18.157239,32,80,0.1,50,64,0.0007282231084706711,5,adam,0.46227219343292725,0.9465153648147016,COMPLETE
64,0.004045947701037122,2024-10-11 10:51:44.647350,2024-10-11 10:52:10.697027,0 days 00:00:26.049677,32,80,0.1,50,64,0.0006770320588897693,10,adam,0.502128896257597,0.9509537686502135,COMPLETE
65,0.004919609967037717,2024-10-11 10:52:10.702368,2024-10-11 10:52:36.692484,0 days 00:00:25.990116,32,80,0.1,50,64,0.0006678055012984441,10,adam,0.38775536698687263,0.940362964026402,COMPLETE
66,0.006532949628691035,2024-10-11 10:52:36.698029,2024-10-11 10:53:18.102267,0 days 00:00:41.404238,16,80,0.1,50,64,0.00012673624519988783,10,adam,0.5903056134661835,0.9208055608817811,COMPLETE
67,0.00364530100049337,2024-10-11 10:53:18.107638,2024-10-11 10:53:47.102458,0 days 00:00:28.994820,32,112,0.1,50,64,0.0006048329057017909,10,adam,0.5260104721196696,0.9558105320629884,COMPLETE
68,0.003523827393629725,2024-10-11 10:53:47.108019,2024-10-11 10:54:13.035510,0 days 00:00:25.927491,32,80,0.1,50,64,0.0005934887260602555,10,adam,0.5623543420855799,0.9572830727544066,COMPLETE
69,0.014718368271874779,2024-10-11 10:54:13.040891,2024-10-11 10:54:21.333289,0 days 00:00:08.292398,48,112,0.1,10,64,0.0005746996953846331,10,adam,0.5262866124938349,0.8215793804826783,COMPLETE
70,0.003566005770741789,2024-10-15 22:44:45.234282,2024-10-15 22:45:00.505816,0 days 00:00:15.271534,32,112,0.1,50,64,0.0004702419894284743,5,adam,0.5591406685582111,0.9567717734014104,COMPLETE
71,0.0036361724422894082,2024-10-15 22:45:00.512727,2024-10-15 22:45:16.748061,0 days 00:00:16.235334,32,112,0.1,50,64,0.0004267673550764748,5,adam,0.5665685235690862,0.9559211912733007,COMPLETE
72,0.0033760589496591585,2024-10-15 22:45:16.753681,2024-10-15 22:45:31.976839,0 days 00:00:15.223158,32,112,0.1,50,64,0.00046216797620457896,5,adam,0.5871359999404854,0.9590743676066166,COMPLETE
73,0.004026184997570964,2024-10-15 22:45:31.982403,2024-10-15 22:45:47.335806,0 days 00:00:15.353403,32,112,0.1,50,64,0.0003896846498164735,5,adam,0.5614844906599635,0.9511933382635455,COMPLETE
74,0.004121185263042327,2024-10-15 22:45:47.341372,2024-10-15 22:46:03.026253,0 days 00:00:15.684881,32,112,0.1,50,64,0.00033095820972696514,5,adam,0.5662029185103338,0.9500417156171614,COMPLETE
75,0.004137567756707326,2024-10-15 22:46:03.031495,2024-10-15 22:46:18.975134,0 days 00:00:15.943639,32,112,0.1,50,64,0.00046249529697857774,5,adam,0.48325685533585233,0.9498431219541307,COMPLETE
76,0.03254887862181196,2024-10-15 22:46:18.981695,2024-10-15 22:46:30.232419,0 days 00:00:11.250724,32,112,0.1,50,64,0.0004293048873891689,5,sgd,0.49110684586763687,0.605432410643298,COMPLETE
77,0.003844276392046094,2024-10-15 22:46:30.237808,2024-10-15 22:46:45.504915,0 days 00:00:15.267107,32,112,0.1,50,64,0.0004790172396416152,5,adam,0.5191578780729189,0.9533984907297532,COMPLETE
78,0.004383851309007794,2024-10-15 22:46:45.510325,2024-10-15 22:46:58.250588,0 days 00:00:12.740263,48,112,0.1,50,64,0.0003694788077029933,5,adam,0.514938109545366,0.9468575964416086,COMPLETE
79,0.06797273295714942,2024-10-15 22:46:58.255952,2024-10-15 22:47:24.587687,0 days 00:00:26.331735,16,112,0.1,50,64,0.00047693732236364975,5,adadelta,0.3403465946065959,0.176013475102748,COMPLETE
80,0.004992242353256416,2024-10-15 22:47:24.593027,2024-10-15 22:47:41.313345,0 days 00:00:16.720318,32,112,0.3,50,64,0.00040089262375348633,5,adam,0.5849259965960458,0.9394824917412421,COMPLETE
81,0.003933791978265404,2024-10-15 22:47:41.318819,2024-10-15 22:47:57.435636,0 days 00:00:16.116817,32,112,0.1,50,64,0.0004441780275080313,5,adam,0.5196525733760294,0.952313355064258,COMPLETE
