number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
22,-3.1081733626758874,-0.11820839377641912,2025-01-09 21:25:15.856103,2025-01-09 21:25:19.989094,0 days 00:00:04.132991,0.012217631682165782,48,0.4,212,100,5.683304096590807e-05,1416,1.3373171358149745e-05,2,3,adam,"{'neurons_per_layer_encoder': [212, 424, 848], 'neurons_per_layer_decoder': [848, 424]}",212,"[848, 424]","[212, 424, 848]",[-3.1081733626758874],[-0.11820839377641912],0.750177062113974,COMPLETE
23,0.39681870028053046,0.15699448777799319,2025-01-09 21:25:17.025935,2025-01-09 21:25:26.463562,0 days 00:00:09.437627,0.0347195633744201,48,0.30000000000000004,216,100,0.0009769815055349293,1464,1.076327939043529e-05,2,3,adam,"{'neurons_per_layer_encoder': [216, 432, 864], 'neurons_per_layer_decoder': [864, 432]}",216,"[864, 432]","[216, 432, 864]",[0.39681870028053046],[0.15699448777799319],0.9909953250971445,COMPLETE
24,0.0612843554101723,0.13347638669463568,2025-01-09 21:25:17.157245,2025-01-09 21:25:26.916343,0 days 00:00:09.759098,0.036166430721243426,48,0.30000000000000004,212,100,0.0009661038399713435,1352,1.1934840703658566e-05,2,3,adam,"{'neurons_per_layer_encoder': [212, 424, 848], 'neurons_per_layer_decoder': [848, 424]}",212,"[848, 424]","[212, 424, 848]",[0.0612843554101723],[0.13347638669463568],0.9894440750602767,COMPLETE
25,0.141487351572113,0.07431867831544947,2025-01-09 21:25:17.880232,2025-01-09 21:25:27.885635,0 days 00:00:10.005403,0.01007675683214652,48,0.4,212,100,0.000723298037907473,1336,1.0692672433162466e-05,2,3,adam,"{'neurons_per_layer_encoder': [212, 424, 848], 'neurons_per_layer_decoder': [848, 424]}",212,"[848, 424]","[212, 424, 848]",[0.141487351572113],[0.07431867831544947],0.9856868065667054,COMPLETE
26,0.4952709692493199,0.17386523351453675,2025-01-09 21:25:18.586626,2025-01-09 21:25:27.816277,0 days 00:00:09.229651,0.015293047691347981,56,0.30000000000000004,160,100,0.0009697736601261574,1192,2.0390594698024657e-05,2,3,adam,"{'neurons_per_layer_encoder': [160, 320, 640], 'neurons_per_layer_decoder': [640, 320]}",160,"[640, 320]","[160, 320, 640]",[0.4952709692493199],[0.17386523351453675],0.9885317864133041,COMPLETE
27,-0.21589012958544362,0.319994675265032,2025-01-09 21:25:19.996037,2025-01-09 21:25:25.773324,0 days 00:00:05.777287,0.015049458474858128,56,0.30000000000000004,156,100,0.0009769221133816225,180,2.575568137039039e-05,2,1,adam,"{'neurons_per_layer_encoder': [156], 'neurons_per_layer_decoder': [156, 78]}",156,"[156, 78]",[156],[-0.21589012958544362],[0.319994675265032],0.9299123266698602,COMPLETE
28,0.0775440610394924,0.1000466025907698,2025-01-09 21:25:25.779495,2025-01-09 21:25:30.933890,0 days 00:00:05.154395,0.0363552987468795,88,0.30000000000000004,96,100,0.00020880267104595777,536,7.28234714366696e-05,2,3,adam,"{'neurons_per_layer_encoder': [96, 192, 384], 'neurons_per_layer_decoder': [384, 192]}",96,"[384, 192]","[96, 192, 384]",[0.0775440610394924],[0.1000466025907698],0.9051445355039494,COMPLETE
29,0.13739597843381024,0.04719853202444502,2025-01-09 21:25:26.472027,2025-01-09 21:25:31.329372,0 days 00:00:04.857345,0.01620601146858165,88,0.30000000000000004,100,100,0.00027253813048737493,536,5.9755759468559466e-05,2,3,adam,"{'neurons_per_layer_encoder': [100, 200, 400], 'neurons_per_layer_decoder': [400, 200]}",100,"[400, 200]","[100, 200, 400]",[0.13739597843381024],[0.04719853202444502],0.9240507083399214,COMPLETE
30,-1.1545914772651136,-0.32487954567659183,2025-01-09 21:25:26.922405,2025-01-09 21:25:30.022423,0 days 00:00:03.100018,0.01712586492016366,88,0.30000000000000004,108,100,0.0003021762893134296,132,5.010777144844018e-05,1,1,adadelta,"{'neurons_per_layer_encoder': [108], 'neurons_per_layer_decoder': [108]}",108,[108],[108],[-1.1545914772651136],[-0.32487954567659183],0.6002119133240846,COMPLETE
31,0.39898659680966164,0.14192583293925354,2025-01-09 21:25:27.822040,2025-01-09 21:25:31.144282,0 days 00:00:03.322242,0.02055924687988204,88,0.4,228,100,0.00020848729330583016,428,7.866044037655714e-05,1,1,adam,"{'neurons_per_layer_encoder': [228], 'neurons_per_layer_decoder': [228]}",228,[228],[228],[0.39898659680966164],[0.14192583293925354],0.7763180544793341,COMPLETE
