Year,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al,EDS Measured Atomic % Co,EDS Measured Atomic % Cr,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni,EDS Measured Atomic % V,"Hardness, HV","SD, HV",Yield Strength (MPa),"SD, YS",UTS_True (Mpa),"SD, UTS",UTS/YS,"SD, UTS/YS",Elong_T (%),"SD, Elong%",Hardness (GPa) SRJT,"SD, Hardness",Modulus (GPa) SRJT,"SD, Modulus",Avg Hdyn (GPa) HSR,"SD, Avg Hdyn",Avg Hqs (GPa) HSR,"SD, Avg Hqs",Avg HDYN/HQS,"Std, Hdyn/Hqs",Depth of Penetration (mm) FE_Sim,Cracked,Cold Work (%Reduction),Holding time (h),Grain Size(um)
1,5,5.0,10,0,35.0,0,45.0,0,389.3162380688181,108.0772995020787,8.15,5.2,5.1,10.2,0.0,35.2,0.0,44.2,0.0,154.5,8.3,250.0,18.1,549.0,33.3,2.2,0.21,27.5,1.0,1.87,0.03,170.22,2.76,,,,,,,,0.0,,,
1,5,10.0,0,0,30.0,0,50.0,5,421.8442395095231,88.48079617050881,8.0,5.3,10.2,0.0,0.0,30.3,0.0,49.0,5.1,159.7,4.1,282.0,7.6,691.0,56.8,2.45,0.21,41.8,3.1,2.25,0.13,172.48,8.06,,,,,,,,0.0,,,
1,5,5.0,10,0,20.0,0,55.0,5,437.0314242985552,61.22736171987175,8.2,4.6,5.1,10.1,0.0,20.3,0.0,55.0,4.9,190.0,5.8,367.0,50.5,759.0,22.2,2.07,0.29,33.8,2.3,2.57,0.13,190.35,7.63,,,,,,,,0.0,,,
1,15,5.0,0,0,15.0,0,65.0,0,722.4830728639016,212.0757800693046,8.25,14.2,5.3,0.0,0.0,15.6,0.0,64.9,0.0,229.4,8.1,299.0,20.9,333.0,8.2,1.11,0.08,1.4,0.4,2.97,0.07,191.26,2.6,,,,,,,,0.0,,,
1,0,15.0,25,0,5.0,0,50.0,5,192.6929683513158,29.11077864887366,7.45,0.0,15.1,25.2,0.0,5.1,0.0,49.6,5.1,245.6,13.9,503.0,24.9,854.0,52.2,1.7,0.13,22.5,1.0,2.82,0.17,213.37,5.78,,,,,,,,0.0,,,
1,0,10.0,5,0,35.0,0,35.0,15,257.1647127604182,-0.2931107025568472,7.55,0.0,10.0,5.0,0.0,35.1,0.0,34.8,15.0,227.7,6.1,391.0,6.0,832.0,10.7,2.13,0.04,29.7,2.5,2.52,0.19,199.87,10.55,,,,,,,,0.0,,,
1,0,40.0,20,0,5.0,0,30.0,5,195.1570119977128,-61.11244867826741,5.65,0.0,40.1,20.2,0.0,5.1,0.0,29.5,5.1,252.4,12.9,461.0,39.4,863.0,22.7,1.87,0.17,26.2,3.7,3.05,0.19,237.02,7.14,,,,,,,,0.0,,,
1,0,45.0,15,0,10.0,0,15.0,15,309.021602361473,-36.63312516801663,4.85,0.0,44.8,15.1,0.0,10.1,0.0,14.8,15.1,295.1,48.1,569.0,17.4,1044.0,3.3,1.83,0.06,29.1,0.5,3.17,0.14,229.63,6.71,,,,,,,,0.0,,,
1,0,75.0,0,0,15.0,0,0.0,10,241.5553432333521,-136.2416343233708,3.2,0.0,74.4,0.0,0.0,15.4,0.0,0.0,10.2,192.5,4.2,382.0,42.9,646.0,33.7,1.69,0.21,27.2,2.8,2.25,0.09,194.7,8.25,,,,,,,,0.0,,,
1,0,25.0,20,0,10.0,0,35.0,10,253.5297865531169,7.550924685098769,6.5,0.0,24.9,20.3,0.0,10.1,0.0,34.4,10.2,224.5,18.0,460.0,16.8,932.0,15.9,2.03,0.08,32.6,1.9,2.73,0.1,213.93,5.68,,,,,,,,0.0,,,
1,0,45.0,5,0,15.0,0,25.0,10,241.6991008937437,-98.98373461423577,5.4,0.0,45.0,5.1,0.0,15.2,0.0,24.7,9.9,216.0,8.1,357.0,1.4,671.0,36.7,1.88,0.1,26.6,2.4,2.58,0.13,196.42,5.74,,,,,,,,0.0,,,
1,0,30.0,10,0,15.0,0,30.0,15,293.4822157693557,-26.32714843028499,6.15,0.0,29.8,10.1,0.0,15.2,0.0,29.6,15.2,218.6,11.5,444.0,2.4,966.0,7.5,2.18,0.02,33.8,0.7,2.83,0.16,225.0,6.72,,,,,,,,0.0,,,
