number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_num_dec_steps (n_steps),params_num_feature_att (n_a),params_num_feature_dim (n_d),params_optimizer,params_sparsity reg (lambda_sparse),params_strength_feature_penalty (gamma),params_virtual_batch_size,user_attrs_relative_deterioration,state
32,0.0072205595968818734,2024-10-17 11:06:05.767977,2024-10-17 11:11:18.822765,0 days 00:05:13.054788,40,50,0.008727878585182374,4,24,72,RMSprop,0.0004151255193689219,1.37194775858184,64,0.4167970287410238,COMPLETE
33,0.00832578918551772,2024-10-17 11:07:06.480479,2024-10-17 11:12:18.554252,0 days 00:05:12.073773,40,50,0.006636767587896191,4,24,76,RMSprop,0.0004066925395492333,1.354951348992458,64,0.37646227296252677,COMPLETE
34,0.007234346143269433,2024-10-17 11:07:28.794920,2024-10-17 11:12:34.189653,0 days 00:05:05.394733,40,50,0.006644255722011348,4,24,12,RMSprop,0.00026723365806114667,1.3739693912761866,64,0.49130606362527346,COMPLETE
35,0.005374930988010151,2024-10-17 11:08:19.171828,2024-10-17 11:14:25.812087,0 days 00:06:06.640259,40,50,0.006732064397257269,5,32,16,RMSprop,0.000370287418157184,0.9850629327120013,64,0.4505130392056286,COMPLETE
36,0.008108009765800747,2024-10-17 11:11:18.830021,2024-10-17 11:16:27.208686,0 days 00:05:08.378665,40,50,0.006811352518142161,4,24,72,RMSprop,0.0002868883441860612,1.3910713849784129,64,0.4253946453546334,COMPLETE
37,0.007113331428566396,2024-10-17 11:12:18.561533,2024-10-17 11:17:26.994446,0 days 00:05:08.432913,40,50,0.008392900059340729,4,24,68,RMSprop,0.0002805417064391866,1.3668577455475202,72,0.4072740853248872,COMPLETE
38,0.008354281290335625,2024-10-17 11:12:34.197257,2024-10-17 11:16:05.716815,0 days 00:03:31.519558,72,50,0.008484754832010633,5,20,68,RMSprop,0.0003108915672264425,1.4817402507600144,80,0.3950375186558528,COMPLETE
39,0.0084551749452407,2024-10-17 11:13:02.956310,2024-10-17 11:16:34.560922,0 days 00:03:31.604612,72,50,0.008009103286379137,5,20,68,RMSprop,0.0008441340025961323,1.4898459080462139,80,0.3543178714981127,COMPLETE
40,0.00422283473584821,2024-10-17 11:14:25.819745,2024-10-17 11:17:51.083333,0 days 00:03:25.263588,72,50,0.0053885852542286325,5,36,20,RMSprop,0.00032151321058371734,0.9517710500111244,80,0.5133092636539488,COMPLETE
41,0.0041264338573902635,2024-10-17 11:16:05.724144,2024-10-17 11:20:03.841825,0 days 00:03:58.117681,56,50,0.005101161250329166,5,36,20,RMSprop,0.00020159564409947357,0.9448847910549718,72,0.5054841705781752,COMPLETE
42,0.0038468004880511356,2024-10-17 11:16:27.216354,2024-10-17 11:20:22.965573,0 days 00:03:55.749219,56,50,0.00542746481690598,5,36,20,RMSprop,0.0008571342081690442,0.9330520802932294,72,0.5861206807567397,COMPLETE
43,0.0046352308395818855,2024-10-17 11:16:34.567902,2024-10-17 11:22:33.709256,0 days 00:05:59.141354,56,50,0.0054796547440367676,5,36,20,RMSprop,0.00019841322593642027,0.9435255364338876,40,0.604898433376845,COMPLETE
44,0.005350363443771226,2024-10-17 11:17:27.003112,2024-10-17 11:23:06.404129,0 days 00:05:39.401017,56,50,0.005355392177014268,5,36,20,RMSprop,0.0001945172436654648,0.8025801774518719,40,0.48654274526316094,COMPLETE
45,0.004522234559870696,2024-10-17 11:20:03.849175,2024-10-17 11:23:05.645473,0 days 00:03:01.796298,56,50,0.005412525984205632,5,36,20,RMSprop,0.0001918801938000884,0.9348737663805027,88,0.4593357731608867,COMPLETE
46,0.004177642228479974,2024-10-17 11:22:33.717840,2024-10-17 11:24:19.736904,0 days 00:01:46.019064,80,50,0.005495556685035621,5,36,20,RMSprop,0.0001748790634980249,0.8011325081462546,88,0.42716205353498665,COMPLETE
47,0.0038526784864531738,2024-10-17 11:23:06.410840,2024-10-17 11:24:43.517577,0 days 00:01:37.106737,80,50,0.005380569470212455,5,40,20,RMSprop,0.0001236631211526811,0.9159242574274106,88,0.4604533679849043,COMPLETE
48,0.05937479954198151,2024-10-17 11:24:19.743287,2024-10-17 11:25:38.937098,0 days 00:01:19.193811,80,50,0.006007553180147709,5,40,20,SGD,0.00010328252167235322,0.8986620239628067,88,0.2988574277032498,COMPLETE
49,0.015880497487195454,2024-10-17 11:25:38.943849,2024-10-17 11:26:49.579940,0 days 00:01:10.636091,88,50,0.003399637120874512,5,40,32,RMSprop,0.0001360929789826646,0.8821925916127045,88,-0.6835859836080945,COMPLETE
50,0.03665964383367445,2024-10-17 11:31:53.784440,2024-10-17 11:35:14.907133,0 days 00:03:21.122693,80,50,0.007546042009965103,5,40,16,SGD,0.00013412650881886013,0.8030924649448372,112,0.17487040487294989,COMPLETE
51,0.043084326970550646,2024-10-17 11:31:53.784941,2024-10-17 11:37:56.118522,0 days 00:06:02.333581,80,50,0.005990783263354149,5,40,16,SGD,0.00013472720134694667,0.8086697037572353,72,0.2065160608506033,COMPLETE
52,0.5151760255578313,2024-10-17 11:31:53.784959,2024-10-17 11:33:22.704553,0 days 00:01:28.919594,80,50,0.000920845126516424,5,40,16,SGD,0.00013871754199852867,0.8316140986525433,112,0.4944551437213778,COMPLETE
53,0.5338721297711915,2024-10-17 11:31:53.785310,2024-10-17 11:33:22.889943,0 days 00:01:29.104633,80,50,0.0007518759580007342,5,40,16,SGD,0.00014229311441137533,0.8000686055805274,112,0.5123248677014961,COMPLETE
54,0.470005060745672,2024-10-17 11:31:53.784844,2024-10-17 11:34:25.310208,0 days 00:02:31.525364,80,50,0.0006209837806734743,5,40,16,SGD,0.00012696371408900894,0.8138721538627682,72,0.6481677793908206,COMPLETE
55,0.44855105625475583,2024-10-17 11:31:53.784772,2024-10-17 11:34:26.690553,0 days 00:02:32.905781,80,50,0.0006153041699506154,5,40,16,SGD,0.0001350767545277016,0.8424914872499689,72,0.6747781002122198,COMPLETE
56,0.004733700506955314,2024-10-17 11:33:22.712878,2024-10-17 11:37:22.332427,0 days 00:03:59.619549,72,50,0.005101522456856539,5,44,16,RMSprop,0.00016357061498158127,0.9348367614826922,80,0.3741298677074468,COMPLETE
57,0.0055654859305036015,2024-10-17 11:33:22.898930,2024-10-17 11:37:23.200048,0 days 00:04:00.301118,72,50,0.005234116259711924,5,44,24,RMSprop,0.0002241648516859195,0.9463794946603337,80,0.3280482066548394,COMPLETE
58,0.005286224734547939,2024-10-17 11:34:25.319319,2024-10-17 11:38:28.509774,0 days 00:04:03.190455,72,50,0.006005365458216356,5,36,24,RMSprop,0.0001720552732976255,0.9621032223395539,80,0.38217362919395587,COMPLETE
59,0.005724734384526149,2024-10-17 11:34:26.699830,2024-10-17 11:37:47.460575,0 days 00:03:20.760745,72,50,0.005124326134155274,4,44,24,RMSprop,0.00022451522733961493,0.9646724920143244,80,0.356042609783187,COMPLETE
60,0.005164305909630877,2024-10-17 11:35:14.916076,2024-10-17 11:38:38.120373,0 days 00:03:23.204297,72,50,0.0050870044515664665,4,44,32,RMSprop,0.00021261272716579212,0.9300069972049606,80,0.42706540924406095,COMPLETE
61,0.015210792884131328,2024-10-17 11:37:22.340420,2024-10-17 11:40:34.032507,0 days 00:03:11.692087,104,50,0.005797643386335507,4,36,24,RMSprop,0.0002338151895812592,0.9659462727349182,88,-0.10235313450538264,COMPLETE
62,0.03710216565708205,2024-10-17 11:37:23.208217,2024-10-17 11:38:13.668790,0 days 00:00:50.460573,104,10,0.006340242041067083,4,36,36,RMSprop,0.00022598067788782763,0.9106190750784093,88,-0.38422919239972264,COMPLETE
