Year,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al,EDS Measured Atomic % Co,EDS Measured Atomic % Cr,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni,EDS Measured Atomic % V,"Hardness, HV",Yield Strength (MPa),UTS_True (Mpa),UTS/YS,Elong_T (%),Hardness (GPa) SRJT,Modulus (GPa) SRJT,Avg Hdyn (GPa) HSR,Avg Hqs (GPa) HSR,Avg HDYN/HQS,Depth of Penetration (mm) FE_Sim,Cracked,Grain Size(um)
2,0,0,8,4,16,12,52,8,195.7659695,296.4,864.0,0.0,0.0,8.3,4.1,16.1,12.3,51.2,8.0,148.0,316.01,1101.09,3.48,43.5,2.2450694512750307,234.5039614898605,2.520597211,2.203732744,1.143785342,2.82193,0.0,32.26
2,4,20,4,4,16,0,52,0,345.9032675,36.5,768.0,4.0,20.4,4.1,4.2,16.3,0.0,51.0,0.0,106.8,176.82,800.19,4.53,42.0,2.059797661038492,182.797349140181,2.135903911,1.876787639,1.138063714,3.45792,0.0,101.01
2,0,16,8,4,16,20,36,0,108.1028714,75.5,752.0,0.0,16.1,8.2,4.0,16.0,20.3,35.3,0.0,132.1,259.42,953.86,3.68,41.4,2.0490973179957535,229.8724468780276,2.344665897,1.999719404,1.172497447,3.02019,0.0,34.3
2,0,20,8,4,0,20,44,4,169.3251243,136.9,732.0,0.0,19.9,8.2,4.2,0.0,20.5,43.2,4.0,154.0,340.82,1095.8,3.22,41.0,2.246566906608835,263.5115427465988,2.517517871,2.225225344,1.131354125,2.74091,0.0,39.16
2,4,12,0,12,20,8,44,0,322.7523249,118.0,824.0,4.1,12.3,0.0,11.8,20.4,8.1,43.2,0.0,124.5,209.57,846.06,4.04,42.4,2.656711453348447,141.59049300777065,2.498294295,2.29152259,1.090233326,2.79563,0.0,43.31
2,4,0,4,4,16,12,56,4,391.189585,91.81050471,872.0,4.216666667,0.0,4.18,4.080666667,16.32,12.06266667,55.00133333,4.140666667,156.5,310.23,1057.48,3.41,42.0,2.1446350693152203,189.54369007000298,2.507592159,2.204685483,1.13739224,2.85035,0.0,26.0
2,0,4,8,4,16,20,44,4,258.4414693,52.55614304,828.0,0.0,4.071333333,8.226666667,4.066666667,16.108,20.192,43.26666667,4.07,132.3,266.99,1019.38,3.82,46.7,2.062839271089399,199.979566464067,2.162341855,1.844308919,1.172440166,2.9332,0.0,41.0
2,4,8,0,12,20,8,48,0,535.3830181,307.0749622,856.0,3.977333333,8.11,0.0,11.90133333,20.35933333,8.217333333,47.43666667,0.0,124.8,232.58,911.2,3.92,42.1,1.8937298954806414,189.5024412737669,2.362670313,2.013460179,1.173437815,3.10271,0.0,43.0
2,0,24,4,0,8,4,36,24,844.0996596,276.7416733,644.0,0.0,20.5,4.2,0.0,8.1,4.0,38.9,24.4,203.7,431.54,1447.09,3.35,48.8,2.74,207.26,3.07,2.8,1.09,2.44181,0.0,41.795
2,4,32,8,4,4,20,24,4,409.1121051,137.1925269,600.0,4.2,30.4,8.2,4.1,4.1,20.1,24.7,4.1,157.9,311.4,1127.03,3.62,48.8,2.22,195.91,2.7,2.32,1.16,2.79076,0.0,40.59
