Nb,Cr,V,W,Zr,PROP LT (K),PROP ST (K),PROP 500C CTE (1/K),PROP 1000C CTE (1/K),PROP 1500C CTE (1/K),EQ 1273K THCD (W/mK),EQ 1273K Density (g/cc),EQ 1273K MAX BCC,EQ 1273K SUM BCC,EQ 1523K THCD (W/mK),EQ 1523K Density (g/cc),EQ 1523K MAX BCC,EQ 1523K SUM BCC,EQ 1773K MAX BCC,EQ 1773K SUM BCC,EQ 2023K MAX BCC,EQ 2023K SUM BCC,EQ 2273K MAX BCC,EQ 2273K SUM BCC,EQ 2523K MAX BCC,EQ 2523K SUM BCC,EQ 2773K MAX BCC,EQ 2773K SUM BCC,EQ 3023K MAX BCC,EQ 3023K SUM BCC,EQ 2/3*ST THCD (W/mK),EQ 2/3*ST Density (g/cc),Pugh_Ratio_PRIOR,YS 1000C PRIOR,YS 1500C PRIOR,SCHEIL ST,SCHEIL LT,Kou Criteria,SCHEIL BCC_B2,SCHEIL BCC_B2#2,SCHEIL MAX BCC,1500 Min Creep CB [1/s]
0.15,0.35,0.4,0.05,0.05,2117.296218,1848.452298,9.34e-06,9.91e-06,1.11e-05,18.56170204,8.29150781,0.553033378,0.553033378,18.03266764,8.083323554,0.622478719,0.622478719,0.751999542,0.751999542,0.557022701,0.557022701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.47414208,8.319665578,2.333333333,906.2494531,567.6265141,2058.034503,1546.205753,614.3025485,0.928633678,0.0,0.928633678,3.3e-13
0.15,0.4,0.05,0.05,0.35,1842.022142,1603.783374,9.03e-06,9.27e-06,2.2e-05,0.942262544,9.070736779,0.150736773,0.295621884,0.755327933,8.928064715,0.188205286,0.315654505,0.015112605,0.015112605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.465737894,9.139251153,2.111654442,1624.595271,1128.969476,1841.7319,1543.3294,69.97438414,0.340900528,0.0,0.340900528,5.06e-15
0.15,0.4,0.05,0.1,0.3,2013.476685,1602.643524,9.12e-06,9.3e-06,1.7e-05,1.143027073,10.13887266,0.196037244,0.245250403,0.746233363,10.03336864,0.208103072,0.256803088,0.118599553,0.118599553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.939105757,10.19798826,2.076305221,1923.336919,1376.172449,2011.14105,1542.941675,130.5385312,0.313414543,0.0,0.313414543,4.97e-15
0.15,0.4,0.05,0.15,0.25,2176.775952,1729.677525,9.02e-06,9.18e-06,1.11e-05,5.892945856,11.01972705,0.245925557,0.245925557,2.659687575,10.94627159,0.244327648,0.244327648,0.221011287,0.221011287,0.097388482,0.097388482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.005237261,11.05554877,2.041963579,2171.871467,1586.956365,2174.849898,1542.299898,283.8656949,0.320737739,0.0,0.320737739,4.88e-15
0.15,0.4,0.05,0.3,0.1,2566.644008,1864.988435,7.7e-06,8.05e-06,9.17e-06,33.21222654,12.15192491,0.443460242,0.561921464,29.87853634,12.05780317,0.451510107,0.582131724,0.490154834,0.668694672,0.436764259,0.436764259,0.286411942,0.286411942,0.054524244,0.054524244,0.0,0.0,0.0,0.0,33.44802983,12.16160534,1.944570995,2391.981575,1793.721202,2565.320504,1650.929879,361.3207672,0.625296323,0.0,0.625296323,1.29e-15
0.15,0.4,0.05,0.35,0.05,2682.626648,1888.083706,7.19e-06,7.72e-06,9.12e-06,43.89368398,12.3819094,0.498963877,0.769455409,39.40001223,12.2542231,0.510044236,0.786454511,0.523547887,0.86898415,0.635882361,0.635882361,0.447678038,0.447678038,0.216677698,0.216677698,0.0,0.0,0.0,0.0,44.07299323,12.3871272,1.913857678,2188.39805,1632.923506,2681.413096,1736.285596,172.1562507,0.790943141,0.0,0.790943141,5.46e-16
0.15,0.4,0.1,0.05,0.3,1820.009356,1597.78611,9.24e-06,9.41e-06,1.95e-05,0.794579288,9.331676076,0.171366347,0.232421958,0.736291066,9.125981735,0.131227778,0.245232642,0.037045205,0.037045205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.144080957,9.435459778,2.129720854,1664.812649,1155.932283,1819.341296,1536.396921,172.1711911,0.32430762,0.0,0.32430762,5.77e-15
0.15,0.2,0.0,0.35,0.3,2636.58971,1682.050877,8.63e-06,8.79e-06,1.14e-05,5.402593151,13.54722984,0.26113531,0.346495825,3.77592862,13.32937838,0.278019717,0.370435555,0.305376546,0.305376546,0.375540796,0.375540796,0.319647385,0.319647385,0.133812808,0.133812808,0.0,0.0,0.0,0.0,7.013553833,13.67450904,2.191919192,2310.238611,1764.195582,2636.679709,1599.532209,16.86802855,0.604577983,0.033903398,0.604577983,9.92e-17
0.15,0.2,0.0,0.4,0.25,2730.784647,1690.519975,8.77e-06,8.85e-06,9.43e-06,4.610147565,14.91152426,0.277742958,0.285800492,3.186549962,14.64384596,0.300001647,0.312124721,0.336278054,0.336278054,0.420209059,0.420209059,0.406162358,0.406162358,0.244772416,0.244772416,0.0,0.0,0.0,0.0,6.010937271,15.06675099,2.154228856,2473.909153,1909.194097,2730.874646,1598.229021,31.39225987,0.67043291,0.0,0.67043291,9.02e-17
0.15,0.25,0.0,0.05,0.55,1869.430155,1617.157402,8.34e-06,8.79e-06,2.17e-05,2.279996367,8.055575341,0.521900011,0.590613897,1.701981776,7.959526761,0.59129265,0.615047643,0.036107798,0.036107798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.377453877,8.101703164,2.347631814,889.5730359,575.8089131,1869.520152,1598.850777,4.620608682,0.504569494,0.128630095,0.504569494,5.82e-16
