trial_id,neurons_encoder,latent_dim,neurons_decoder
159,"[204, 408, 816, 1632, 3264]",5448,"[3264, 1632, 816, 408]"
160,"[200, 400, 800, 1600, 3200]",5176,[3200]
161,"[204, 408]",688,"[408, 204, 102, 51]"
162,"[40, 80]",120,"[80, 40]"
163,"[148, 296]",496,"[296, 148, 74]"
164,"[148, 296]",496,"[296, 148, 74]"
165,"[200, 400, 800, 1600]",1624,[1600]
166,"[100, 200, 400, 800]",824,"[800, 400, 200, 100, 50]"
167,"[68, 136, 272, 544]",1032,"[544, 272, 136, 68, 34]"
168,"[208, 416, 832, 1664]",2888,"[1664, 832, 416, 208, 104]"
169,"[212, 424]",544,"[424, 212, 106, 53, 26]"
170,"[100, 200]",352,"[200, 100, 50, 25, 12]"
171,"[124, 248]",528,[248]
172,"[164, 328]",464,[328]
173,"[128, 256]",520,[256]
174,"[164, 328, 656]",680,[656]
175,"[212, 424, 848]",872,"[848, 424]"
176,"[212, 424, 848]",872,"[848, 424]"
177,"[208, 416]",520,[416]
178,[116],220,[116]
179,[184],416,[184]
180,[120],256,"[120, 60, 30, 15]"
181,[52],73,"[52, 26, 13, 8]"
182,"[188, 376, 752]",776,[752]
183,"[12, 24]",42,"[24, 12, 8, 8]"
184,"[12, 24]",42,"[24, 12, 8, 8]"
185,"[196, 392]",448,"[392, 196, 98]"
186,"[196, 392]",448,[392]
187,"[20, 40]",60,"[40, 20, 10]"
188,"[132, 264, 528]",968,[528]
189,"[144, 288, 576]",616,[576]
190,"[204, 408, 816]",840,[816]
191,"[200, 400, 800]",824,[800]
192,"[200, 400, 800]",824,[800]
193,"[108, 216, 432]",536,[432]
194,"[208, 416, 832]",856,[832]
195,"[112, 224, 448]",536,"[448, 224, 112]"
196,"[112, 224, 448]",536,"[448, 224]"
197,"[124, 248, 496]",536,"[496, 248, 124]"
198,"[124, 248, 496]",536,"[496, 248]"
199,"[104, 208, 416]",536,[416]
200,"[104, 208, 416]",536,"[416, 208, 104]"
201,"[112, 224, 448]",536,"[448, 224, 112]"
202,"[104, 208, 416]",552,"[416, 208, 104]"
203,"[104, 208, 416]",536,"[416, 208, 104]"
204,"[104, 208, 416]",552,"[416, 208, 104]"
205,"[104, 208, 416]",552,"[416, 208, 104]"
