Ni,Ti,Hf,Zr,Cu,Pd,Co,Nb,Homogenization_temp,Homogenization_time,Aging_temp, Aging_time,Applied Stress - (MPa) ,AM,BM,Tm,a,X,Smix,Hmix,OMEGA,Delta,VEC,CV,Ionization energy,Thermal conductivity,Electrical conductivity,Heat of fusion,Heat of vaporization,Boiling point,Density,Vicker Hardness,Ms
20,50,0,0,5,25,0,0,950,2,500,1,600,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,221.26225
20,50,0,0,5,25,0,0,950,2,500,1,500,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,211.2109394
20,50,0,0,5,25,0,0,950,2,500,1,400,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,192.6933137
20,50,0,0,5,25,0,0,950,2,400,1,600,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,201.8738983
20,50,0,0,5,25,0,0,950,2,900,1,200,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,199.3082587
20,50,0,0,5,25,0,0,950,2,400,1,100,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,126.2999556
20,50,0,0,5,25,0,0,950,2,900,1,100,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,187.632303
20,50,0,0,5,25,0,0,950,2,500,1,300,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,175.5704842
20,50,0,0,5,25,0,0,950,2,400,1,300,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,152.2068428
20,50,0,0,5,25,0,0,950,2,400,1,400,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,165.6698373
20,50,0,0,5,25,0,0,950,2,400,1,500,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,184.273162
20,50,0,0,5,25,0,0,950,2,500,1,100,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,148.436985
20,50,0,0,5,25,0,0,950,2,500,1,200,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,157.7551335
20,50,0,0,5,25,0,0,950,2,400,1,200,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,137.7058744
20,50,0,0,5,25,0,0,950,2,600,1,0,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,179.3658637
20,50,0,0,5,25,0,0,950,2,700,1,0,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,179.9983075
20,50,0,0,5,25,0,0,950,2,900,1,0,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,175.8634586
22,50,0,0,3,25,0,0,950,2,600,1,0,65.35734,137.54,2121.3931,1.3909,1.7972,9.406892083,-48.7544,0.409311077,0.064201826,7.03,0.238062987,7.410823,66.885,8.6,17.702,399.66,3374.97,7.4818,751.68,170.5464657
22,50,0,0,3,25,0,0,950,2,900,1,0,65.35734,137.54,2121.3931,1.3909,1.7972,9.406892083,-48.7544,0.409311077,0.064201826,7.03,0.238062987,7.410823,66.885,8.6,17.702,399.66,3374.97,7.4818,751.68,169.2478394
22,50,0,0,3,25,0,0,950,2,500,1,0,65.35734,137.54,2121.3931,1.3909,1.7972,9.406892083,-48.7544,0.409311077,0.064201826,7.03,0.238062987,7.410823,66.885,8.6,17.702,399.66,3374.97,7.4818,751.68,160.8926174
45.3,29.7,20,0,0,5,0,0,900,72,20,0,0,81.823428,133.253,2224.861,1.39134,1.69261,9.901583885,-41.11754,0.535772515,0.100668113,7.018,0.195389498,7.2706401,63.9595,8.2445,19.2805,442.459,3637.578,8.6312,952.154,110
45.3,29.7,20,0,0,5,0,0,900,72,20,0,-200,81.823428,133.253,2224.861,1.39134,1.69261,9.901583885,-41.11754,0.535772515,0.100668113,7.018,0.195389498,7.2706401,63.9595,8.2445,19.2805,442.459,3637.578,8.6312,952.154,112
45.3,29.7,20,0,0,5,0,0,900,72,20,0,-300,81.823428,133.253,2224.861,1.39134,1.69261,9.901583885,-41.11754,0.535772515,0.100668113,7.018,0.195389498,7.2706401,63.9595,8.2445,19.2805,442.459,3637.578,8.6312,952.154,106
45.3,29.7,20,0,0,5,0,0,900,72,20,0,-400,81.823428,133.253,2224.861,1.39134,1.69261,9.901583885,-41.11754,0.535772515,0.100668113,7.018,0.195389498,7.2706401,63.9595,8.2445,19.2805,442.459,3637.578,8.6312,952.154,113
45.3,29.7,20,0,0,5,0,0,900,72,20,0,-500,81.823428,133.253,2224.861,1.39134,1.69261,9.901583885,-41.11754,0.535772515,0.100668113,7.018,0.195389498,7.2706401,63.9595,8.2445,19.2805,442.459,3637.578,8.6312,952.154,116
45.3,29.7,20,0,0,5,0,0,900,72,20,0,-600,81.823428,133.253,2224.861,1.39134,1.69261,9.901583885,-41.11754,0.535772515,0.100668113,7.018,0.195389498,7.2706401,63.9595,8.2445,19.2805,442.459,3637.578,8.6312,952.154,127
45.3,29.7,20,0,0,5,0,0,900,72,20,0,-700,81.823428,133.253,2224.861,1.39134,1.69261,9.901583885,-41.11754,0.535772515,0.100668113,7.018,0.195389498,7.2706401,63.9595,8.2445,19.2805,442.459,3637.578,8.6312,952.154,142
45.3,29.7,20,0,0,5,0,0,900,72,20,0,-1000,81.823428,133.253,2224.861,1.39134,1.69261,9.901583885,-41.11754,0.535772515,0.100668113,7.018,0.195389498,7.2706401,63.9595,8.2445,19.2805,442.459,3637.578,8.6312,952.154,160
45.3,34.7,15,0,0,5,0,0,900,72,20,0,0,75.292278,134.203,2196.611,1.38484,1.70461,9.647100042,-40.33334,0.525394774,0.096091471,7.018,0.210006583,7.2707901,63.9645,8.2045,18.9405,432.209,3571.778,8.1907,912.654,50
45.3,34.7,15,0,0,5,0,0,900,72,20,0,-50,75.292278,134.203,2196.611,1.38484,1.70461,9.647100042,-40.33334,0.525394774,0.096091471,7.018,0.210006583,7.2707901,63.9645,8.2045,18.9405,432.209,3571.778,8.1907,912.654,46
45.3,34.7,15,0,0,5,0,0,900,72,20,0,-100,75.292278,134.203,2196.611,1.38484,1.70461,9.647100042,-40.33334,0.525394774,0.096091471,7.018,0.210006583,7.2707901,63.9645,8.2045,18.9405,432.209,3571.778,8.1907,912.654,38
