number,values_0,values_1,values_2,values_3,values_4,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_r2_feature_3,user_attrs_r2_feature_4,user_attrs_r2_feature_5,user_attrs_relative_deterioration,state
31,0.4008737782564753,0.16695826807930747,-0.192042957445123,0.3448521854165272,0.0491618934588699,2025-01-09 15:38:58.152503,2025-01-09 15:39:02.772405,0 days 00:00:04.619902,0.08350682232814456,88,0.4,140,100,8.494698578304346e-05,244,0.0004308658016659448,1,1,adam,"{'neurons_per_layer_encoder': [140], 'neurons_per_layer_decoder': [140]}",140,[140],[140],[0.4008737782564753],[0.16695826807930747],[-0.192042957445123],[0.3448521854165272],[0.0491618934588699],0.22518906623898352,COMPLETE
32,0.44231191520474533,0.10807379885121693,-0.20813743623943948,-0.4935936667167504,0.24842671882823952,2025-01-09 15:39:00.093771,2025-01-09 15:39:03.843771,0 days 00:00:03.750000,0.0860283093077045,88,0.4,140,100,0.00010564023148397389,260,0.00040090204722859714,1,1,adam,"{'neurons_per_layer_encoder': [140], 'neurons_per_layer_decoder': [140]}",140,[140],[140],[0.44231191520474533],[0.10807379885121693],[-0.20813743623943948],[-0.4935936667167504],[0.24842671882823952],0.30589274115275067,COMPLETE
33,-2.0750535553190996,0.09048321001255488,-0.13045933934443266,-8.794320680937604,0.12330637032906788,2025-01-09 15:39:00.284268,2025-01-09 15:39:04.197074,0 days 00:00:03.912806,0.0884615007050147,128,0.4,68,100,8.219267918731578e-05,74,0.0005851963926666562,2,1,adam,"{'neurons_per_layer_encoder': [68], 'neurons_per_layer_decoder': [68, 34]}",68,"[68, 34]",[68],[-2.0750535553190996],[0.09048321001255488],[-0.13045933934443266],[-8.794320680937604],[0.12330637032906788],0.26115503799631423,COMPLETE
34,0.45956725527281583,-0.031273689951535566,-0.10008523502403421,-0.6349389869641937,-0.06755896183830146,2025-01-09 15:39:00.783542,2025-01-09 15:39:04.300272,0 days 00:00:03.516730,0.09107546953702107,128,0.1,76,100,9.037660149695217e-05,83,0.0007188151911122215,2,1,adam,"{'neurons_per_layer_encoder': [76], 'neurons_per_layer_decoder': [76, 38]}",76,"[76, 38]",[76],[0.45956725527281583],[-0.031273689951535566],[-0.10008523502403421],[-0.6349389869641937],[-0.06755896183830146],0.09100785031360738,COMPLETE
35,0.3926520033352354,0.07462457768403508,-0.03910570616837439,-0.10177579057796038,0.15669687345579175,2025-01-09 15:39:00.970698,2025-01-09 15:39:04.523621,0 days 00:00:03.552923,0.020750323472801646,48,0.4,80,100,0.0009611757386947292,88,0.0007706563973911053,2,1,adam,"{'neurons_per_layer_encoder': [80], 'neurons_per_layer_decoder': [80, 40]}",80,"[80, 40]",[80],[0.3926520033352354],[0.07462457768403508],[-0.03910570616837439],[-0.10177579057796038],[0.15669687345579175],0.6576739109434067,COMPLETE
36,0.44496745752008315,-0.10444973950589453,-0.29827611376492746,0.12195539892562968,0.17862484772169496,2025-01-09 15:39:01.499159,2025-01-09 15:39:04.914245,0 days 00:00:03.415086,0.14591310256267515,128,0.1,252,100,4.103599497272684e-06,356,0.0005773238029962636,1,1,adam,"{'neurons_per_layer_encoder': [252], 'neurons_per_layer_decoder': [252]}",252,[252],[252],[0.44496745752008315],[-0.10444973950589453],[-0.29827611376492746],[0.12195539892562968],[0.17862484772169496],-0.7734710406583271,COMPLETE
37,0.1894007412572739,0.05481708621161596,-0.17768831716424827,-0.2068565031833367,0.144083469870653,2025-01-09 15:39:02.780371,2025-01-09 15:39:06.082093,0 days 00:00:03.301722,0.017027187020000608,128,0.1,256,100,2.097239226376373e-05,360,0.000808820419154041,1,1,adam,"{'neurons_per_layer_encoder': [256], 'neurons_per_layer_decoder': [256]}",256,[256],[256],[0.1894007412572739],[0.05481708621161596],[-0.17768831716424827],[-0.2068565031833367],[0.144083469870653],-0.40698970919349764,COMPLETE
38,-4.2243393997493985,-0.03915272929844105,-0.02097296448637942,-26.76946054866061,-0.15694351552690855,2025-01-09 15:39:03.851127,2025-01-09 15:39:05.446174,0 days 00:00:01.595047,0.011180890633560769,128,0.1,256,100,2.1118783349084177e-05,360,0.0007853707356878006,1,1,adadelta,"{'neurons_per_layer_encoder': [256], 'neurons_per_layer_decoder': [256]}",256,[256],[256],[-4.2243393997493985],[-0.03915272929844105],[-0.02097296448637942],[-26.76946054866061],[-0.15694351552690855],0.39389250178287133,COMPLETE
39,-4.8207926169811754,-0.14265849754730908,-0.3677544776457171,-2.5964355797833756,-0.2482548914416387,2025-01-09 15:39:04.204385,2025-01-09 15:39:07.342539,0 days 00:00:03.138154,0.010214675446258757,48,0.1,32,100,3.788717336423224e-06,35,0.0010332929411009115,4,1,adadelta,"{'neurons_per_layer_encoder': [32], 'neurons_per_layer_decoder': [32, 16, 8, 8]}",32,"[32, 16, 8, 8]",[32],[-4.8207926169811754],[-0.14265849754730908],[-0.3677544776457171],[-2.5964355797833756],[-0.2482548914416387],0.1830578331961605,COMPLETE
40,-4.254926426127553,-0.2977073845320497,-0.12913184832788693,-23.44629137983348,-0.08589877625067888,2025-01-09 15:39:04.308495,2025-01-09 15:39:06.761876,0 days 00:00:02.453381,0.020468281073652218,48,0.1,40,100,2.1353888626785055e-05,44,0.0011425428445528002,4,1,adadelta,"{'neurons_per_layer_encoder': [40], 'neurons_per_layer_decoder': [40, 20, 10, 8]}",40,"[40, 20, 10, 8]",[40],[-4.254926426127553],[-0.2977073845320497],[-0.12913184832788693],[-23.44629137983348],[-0.08589877625067888],0.25292415121308787,COMPLETE
