number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
40,-0.019845420493535437,2025-05-06 20:22:08.143027,2025-05-06 20:22:13.491185,0 days 00:00:05.348158,0.07431310759750746,40,0.2,252,60,1.9427132016101292e-06,556,0.0059209577999779625,5,2,sgd,"{'neurons_per_layer_encoder': [252, 504], 'neurons_per_layer_decoder': [504, 252, 126, 63, 31]}",252,,"[504, 252, 126, 63, 31]","[252, 504]",[-0.019845420493535437],0.1924910964772666,COMPLETE
41,-0.34108423309070846,2025-05-06 20:22:09.885323,2025-05-06 20:22:13.299229,0 days 00:00:03.413906,0.07540661945186176,40,0.2,20,60,1.6852332491325113e-06,46,0.000422579868691367,5,2,sgd,"{'neurons_per_layer_encoder': [20, 40], 'neurons_per_layer_decoder': [40, 20, 10, 8, 8]}",20,,"[40, 20, 10, 8, 8]","[20, 40]",[-0.34108423309070846],0.46230955076613306,COMPLETE
42,-0.0530475812931992,2025-05-06 20:22:10.605220,2025-05-06 20:22:13.843927,0 days 00:00:03.238707,0.04563662483779608,48,0.30000000000000004,24,60,2.0153130097111812e-06,55,0.005897969457308558,5,2,sgd,"{'neurons_per_layer_encoder': [24, 48], 'neurons_per_layer_decoder': [48, 24, 12, 8, 8]}",24,,"[48, 24, 12, 8, 8]","[24, 48]",[-0.0530475812931992],0.45115682085822106,COMPLETE
43,-0.08412739082723975,2025-05-06 20:22:11.352197,2025-05-06 20:22:14.680024,0 days 00:00:03.327827,0.045656389959813616,48,0.2,28,60,1.6158363176601643e-05,92,0.005798729196089454,5,2,sgd,"{'neurons_per_layer_encoder': [28, 56], 'neurons_per_layer_decoder': [56, 28, 14, 8, 8]}",28,,"[56, 28, 14, 8, 8]","[28, 56]",[-0.08412739082723975],0.4350781319443287,COMPLETE
44,-0.3247010694827126,2025-05-06 20:22:13.307918,2025-05-06 20:22:17.688386,0 days 00:00:04.380468,0.04789376771050494,48,0.2,32,100,8.628953118038466e-05,110,0.005789666875852544,3,2,sgd,"{'neurons_per_layer_encoder': [32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",32,,"[64, 32, 16]","[32, 64]",[-0.3247010694827126],0.4862271296712535,COMPLETE
45,-1.32901361073736,2025-05-06 20:22:13.499565,2025-05-06 20:22:15.400621,0 days 00:00:01.901056,0.0463596754578246,32,0.2,156,100,0.00011592143674291286,368,0.0022324825118214906,3,2,sgd,"{'neurons_per_layer_encoder': [156, 312], 'neurons_per_layer_decoder': [312, 156, 78]}",156,,"[312, 156, 78]","[156, 312]",[-1.32901361073736],0.6265767963450907,COMPLETE
46,-1.0693775596852562,2025-05-06 20:22:13.852287,2025-05-06 20:22:15.600837,0 days 00:00:01.748550,0.0347453611305574,32,0.2,156,100,0.00013741387436675336,379,0.001287534120064773,3,2,sgd,"{'neurons_per_layer_encoder': [156, 312], 'neurons_per_layer_decoder': [312, 156, 78]}",156,,"[312, 156, 78]","[156, 312]",[-1.0693775596852562],0.6788194241172489,COMPLETE
47,-0.03264679823035843,2025-05-06 20:22:14.692832,2025-05-06 20:22:19.909571,0 days 00:00:05.216739,0.03596514685289975,32,0.2,64,100,0.0005314207580644648,208,0.0019860779591792093,4,2,sgd,"{'neurons_per_layer_encoder': [64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",64,,"[128, 64, 32, 16]","[64, 128]",[-0.03264679823035843],0.8706389511878125,COMPLETE
48,-0.987775789193698,2025-05-06 20:22:15.409033,2025-05-06 20:22:17.168604,0 days 00:00:01.759571,0.034747242942700936,32,0.2,60,120,0.000669468089801061,196,0.002176880899319048,4,2,sgd,"{'neurons_per_layer_encoder': [60, 120], 'neurons_per_layer_decoder': [120, 60, 30, 15]}",60,,"[120, 60, 30, 15]","[60, 120]",[-0.987775789193698],0.8247047324372242,COMPLETE
49,-0.311506650698969,2025-05-06 20:22:15.609870,2025-05-06 20:22:19.821395,0 days 00:00:04.211525,0.02976584662592329,16,0.2,96,120,0.0004341357488774298,299,0.0021457783358613185,4,2,sgd,"{'neurons_per_layer_encoder': [96, 192], 'neurons_per_layer_decoder': [192, 96, 48, 24]}",96,,"[192, 96, 48, 24]","[96, 192]",[-0.311506650698969],0.8695235446808062,COMPLETE
