number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out_rate,params_epochs,params_kernel_size,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
61,0.014516344857905056,2024-10-09 22:07:54.706059,2024-10-09 22:12:50.757242,0 days 00:04:56.051183,48,0.1,50,4,96,0.0006974038939058063,adam,0.32032165333994533,0.8240283708878416,COMPLETE
62,0.017291046378369746,2024-10-09 22:12:50.762656,2024-10-09 22:16:33.198123,0 days 00:03:42.435467,32,0.1,50,4,64,0.000608262814077408,adam,0.3485076908940053,0.7903925795343274,COMPLETE
63,0.006377560951837073,2024-10-09 22:16:33.203503,2024-10-09 22:21:21.255741,0 days 00:04:48.052238,48,0.1,50,4,96,0.0003356218735684701,adam,0.5359432791662472,0.9226892305575318,COMPLETE
64,0.005851947172250172,2024-10-09 22:21:21.260995,2024-10-09 22:26:10.578528,0 days 00:04:49.317533,48,0.1,50,4,96,0.000322348181981209,adam,0.5938218300755239,0.9290608836136617,COMPLETE
65,0.008315520605131754,2024-10-09 22:26:10.583903,2024-10-09 22:31:00.029265,0 days 00:04:49.445362,48,0.1,50,4,96,0.00025541459486742727,adam,0.5904594747267816,0.8991966833163308,COMPLETE
66,0.01173687719327989,2024-10-09 22:31:00.035260,2024-10-09 22:35:43.883648,0 days 00:04:43.848388,48,0.1,50,4,96,0.0003257986971340295,adam,0.4556938920338133,0.8577219389172831,COMPLETE
67,0.011578862657385853,2024-10-09 22:35:43.889142,2024-10-09 22:40:21.206107,0 days 00:04:37.316965,48,0.1,50,4,96,0.0003420501202225947,adam,0.5075495216988283,0.8596374400697329,COMPLETE
68,0.08845365776575285,2024-10-09 22:40:21.211665,2024-10-09 22:41:22.875700,0 days 00:01:01.664035,48,0.2,30,4,96,0.00038889548594801994,sgd,0.743228857440417,-0.07226263982648162,COMPLETE
69,0.005245801260034475,2024-10-09 22:41:22.880887,2024-10-09 22:46:18.508778,0 days 00:04:55.627891,32,0.1,50,4,96,0.0002904401367277286,adam,0.5705497978418512,0.936408772128048,COMPLETE
70,0.44871687741028327,2024-10-10 11:01:13.305647,2024-10-10 11:02:51.064470,0 days 00:01:37.758823,32,0.1,50,4,96,0.00023884100069860589,adadelta,0.7725320684709881,-4.43948498750419,COMPLETE
71,0.004381398411389396,2024-10-10 11:02:51.073377,2024-10-10 11:10:22.429920,0 days 00:07:31.356543,32,0.1,50,4,96,0.00028354514631230354,adam,0.659728642954651,0.9468873312263758,COMPLETE
72,0.005530839303286871,2024-10-10 11:10:22.437466,2024-10-10 11:16:41.133639,0 days 00:06:18.696173,32,0.1,50,4,96,0.00028856006735879567,adam,0.5961748473125451,0.932953452671184,COMPLETE
73,0.008280785891942328,2024-10-10 11:16:41.140023,2024-10-10 11:23:02.595745,0 days 00:06:21.455722,32,0.1,50,4,96,0.00028087472523353454,adam,0.5671802677265225,0.8996177482694246,COMPLETE
74,0.00707045621465219,2024-10-10 11:23:02.602119,2024-10-10 11:29:14.857405,0 days 00:06:12.255286,32,0.1,50,4,96,0.00021155062894832516,adam,0.5683451467097766,0.9142897395427344,COMPLETE
75,0.008851965566931462,2024-10-10 11:29:14.864603,2024-10-10 11:35:14.586437,0 days 00:05:59.721834,32,0.1,50,4,96,0.00028870338217573823,adam,0.5085460820337472,0.8926937313142297,COMPLETE
76,0.007413163970742822,2024-10-10 11:35:14.592348,2024-10-10 11:41:01.528873,0 days 00:05:46.936525,32,0.1,50,4,96,0.0003065257637517874,adam,0.5800228605804191,0.910135329962433,COMPLETE
77,0.0050153961717479744,2024-10-10 11:41:01.534962,2024-10-10 11:46:30.784878,0 days 00:05:29.249916,32,0.1,50,4,96,0.0002560354873404338,adam,0.6000647120939715,0.9392018139811028,COMPLETE
78,0.00524801986561183,2024-10-10 11:46:30.791089,2024-10-10 11:51:52.171658,0 days 00:05:21.380569,32,0.1,50,4,96,0.0002507169857787991,adam,0.6317336932316873,0.9363818775039793,COMPLETE
79,0.00899092874869213,2024-10-10 11:51:52.178268,2024-10-10 11:57:23.870835,0 days 00:05:31.692567,32,0.1,50,4,96,0.00023968546776796193,adam,0.5092416480767257,0.8910091765781443,COMPLETE
80,0.00509818852475328,2024-10-10 11:57:23.877054,2024-10-10 12:02:57.737237,0 days 00:05:33.860183,32,0.1,50,4,96,0.000263040978698539,adam,0.624106959286507,0.9381981794312912,COMPLETE
81,0.007506484027684934,2024-10-10 12:02:57.743544,2024-10-10 12:08:22.913360,0 days 00:05:25.169816,32,0.1,50,4,96,0.0002637671446038509,adam,0.5652528628107872,0.9090040753243207,COMPLETE
82,0.00590058801046369,2024-10-10 12:08:22.919212,2024-10-10 12:13:56.046799,0 days 00:05:33.127587,32,0.1,50,4,96,0.00020697742507223317,adam,0.6235592347545569,0.9284712443053097,COMPLETE
83,0.007912744389193762,2024-10-10 12:13:56.053603,2024-10-10 12:20:08.755959,0 days 00:06:12.702356,32,0.1,50,4,96,0.0002267747967587674,adam,0.5746544721122006,0.9040792613743771,COMPLETE
84,0.006058572486362048,2024-10-10 12:20:08.763022,2024-10-10 12:26:16.420343,0 days 00:06:07.657321,32,0.1,50,4,96,0.00018448363502479115,adam,0.6236556349672433,0.9265561075494393,COMPLETE
85,0.010918671074185616,2024-10-10 12:26:16.426184,2024-10-10 12:31:58.081014,0 days 00:05:41.654830,32,0.1,50,4,96,0.00025483685711402123,adam,0.4020318050320572,0.8676404869495826,COMPLETE
86,0.05631841390253839,2024-10-10 12:31:58.086907,2024-10-10 12:36:56.206028,0 days 00:04:58.119121,32,0.1,50,4,96,0.0002896812107829867,sgd,0.47036963705286816,0.3172907408543926,COMPLETE
87,0.010467442509290433,2024-10-10 12:36:56.211673,2024-10-10 12:42:26.830820,0 days 00:05:30.619147,32,0.1,50,4,96,0.0003616001107554854,adam,0.334911406431278,0.8731104193908271,COMPLETE
