number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
52,-1.1552355323573233,2025-01-10 08:04:15.465370,2025-01-10 08:04:20.052968,0 days 00:00:04.587598,0.10952264876515831,56,0.30000000000000004,48,100,1.4567094635647777e-06,136,0.0006389018989177268,5,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24, 12, 8]}",48,"[96, 48, 24, 12, 8]","[48, 96]",[-1.1552355323573233],0.6553063784565218,COMPLETE
53,0.12198176394787574,2025-01-10 08:04:15.588160,2025-01-10 08:04:19.532880,0 days 00:00:03.944720,0.11129893437806725,64,0.30000000000000004,116,100,7.907660478416619e-06,352,0.00046484755601686396,2,2,adam,"{'neurons_per_layer_encoder': [116, 232], 'neurons_per_layer_decoder': [232, 116]}",116,"[232, 116]","[116, 232]",[0.12198176394787574],0.7865442101678485,COMPLETE
54,0.310804317878134,2025-01-10 08:04:15.620439,2025-01-10 08:04:19.380087,0 days 00:00:03.759648,0.05716188955406368,32,0.30000000000000004,44,100,1.436504659719785e-06,128,0.00048544487789991636,2,2,adam,"{'neurons_per_layer_encoder': [44, 88], 'neurons_per_layer_decoder': [88, 44]}",44,"[88, 44]","[44, 88]",[0.310804317878134],0.856514427359358,COMPLETE
55,-3.524693642547808,2025-01-10 08:04:18.259012,2025-01-10 08:04:23.165821,0 days 00:00:04.906809,0.0586547092577803,56,0.2,40,100,1.4095385685326066e-06,280,0.00026385121315953864,5,3,adam,"{'neurons_per_layer_encoder': [40, 80, 160], 'neurons_per_layer_decoder': [160, 80, 40, 20, 10]}",40,"[160, 80, 40, 20, 10]","[40, 80, 160]",[-3.524693642547808],0.6172915608348222,COMPLETE
56,0.3568264963343546,2025-01-10 08:04:19.224075,2025-01-10 08:04:24.012578,0 days 00:00:04.788503,0.05448700814064321,56,0.2,116,100,8.144285411277884e-06,616,0.005940883152334161,2,3,adam,"{'neurons_per_layer_encoder': [116, 232, 464], 'neurons_per_layer_decoder': [464, 232]}",116,"[464, 232]","[116, 232, 464]",[0.3568264963343546],0.8088308571992686,COMPLETE
57,-7.824403749251346,2025-01-10 08:04:19.388075,2025-01-10 08:04:22.763569,0 days 00:00:03.375494,0.0596377147147502,40,0.30000000000000004,8,100,1.2755083435305378e-06,17,0.00028837600741915017,2,2,adam,"{'neurons_per_layer_encoder': [8, 16], 'neurons_per_layer_decoder': [16, 8]}",8,"[16, 8]","[8, 16]",[-7.824403749251346],0.22842596421840944,COMPLETE
58,0.013163993412835695,2025-01-10 08:04:19.539997,2025-01-10 08:04:22.998939,0 days 00:00:03.458942,0.058639895097144686,32,0.30000000000000004,36,100,1.2093889822935324e-06,111,0.00025737653274883823,2,2,adam,"{'neurons_per_layer_encoder': [36, 72], 'neurons_per_layer_decoder': [72, 36]}",36,"[72, 36]","[36, 72]",[0.013163993412835695],0.82725492328911,COMPLETE
59,-5.356863487090278,2025-01-10 08:04:20.061527,2025-01-10 08:04:23.562514,0 days 00:00:03.500987,0.05766133165374413,32,0.30000000000000004,4,100,1.7556765001356136e-05,8,0.00034357710971138523,2,2,adam,"{'neurons_per_layer_encoder': [4, 8], 'neurons_per_layer_decoder': [8, 8]}",4,"[8, 8]","[4, 8]",[-5.356863487090278],0.3558100881737228,COMPLETE
60,-0.5089463711072557,2025-01-10 08:04:22.771376,2025-01-10 08:04:27.228890,0 days 00:00:04.457514,0.058286639214512506,32,0.30000000000000004,24,100,1.3244235045131713e-05,136,0.0002511552810769835,2,3,adam,"{'neurons_per_layer_encoder': [24, 48, 96], 'neurons_per_layer_decoder': [96, 48]}",24,"[96, 48]","[24, 48, 96]",[-0.5089463711072557],0.7438640155104587,COMPLETE
61,0.2326841248670587,2025-01-10 08:04:23.008261,2025-01-10 08:04:26.739373,0 days 00:00:03.731112,0.140416510263136,72,0.30000000000000004,20,100,1.1581787190657995e-05,120,0.0061843729930844,2,3,adam,"{'neurons_per_layer_encoder': [20, 40, 80], 'neurons_per_layer_decoder': [80, 40]}",20,"[80, 40]","[20, 40, 80]",[0.2326841248670587],0.7420606474936335,COMPLETE
