number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,state
37,0.006246165746127376,2024-10-03 14:07:01.280100,2024-10-03 14:12:25.909259,0 days 00:05:24.629159,0.03305342653631179,64,0.1,50,1.78024213279498e-06,192,0.00013474602162459503,adam,0.7136290935324094,COMPLETE
38,0.004791081440413883,2024-10-03 14:08:12.877189,2024-10-03 14:15:00.727979,0 days 00:06:47.850790,0.03380516802253049,64,0.1,50,1.6919019943448302e-06,192,0.0001391205164561228,adam,0.7594824113264026,COMPLETE
39,0.0053568523475820825,2024-10-03 14:08:13.174234,2024-10-03 14:14:48.312839,0 days 00:06:35.138605,0.03786849468599338,64,0.1,50,1.9676913702838328e-06,192,0.0001284262065951378,adam,0.7648705828141611,COMPLETE
40,0.006444682473549063,2024-10-03 14:08:13.878585,2024-10-03 14:12:07.876303,0 days 00:03:53.997718,0.040921660281729916,64,0.1,50,2.0827887210704162e-06,192,0.00013159902588330194,adam,0.7553506275589682,COMPLETE
41,0.00600666436919547,2024-10-03 14:08:15.374441,2024-10-03 14:14:56.063963,0 days 00:06:40.689522,0.04238154256296733,64,0.1,50,1.9394224158759245e-06,192,0.00013738706809335888,adam,0.7282950423950557,COMPLETE
42,0.0075914743897126605,2024-10-03 14:12:07.896240,2024-10-03 14:17:54.048107,0 days 00:05:46.151867,0.035157073063409525,64,0.1,50,1.8910528798856522e-06,192,0.0008012682037730261,adam,0.648486329045052,COMPLETE
43,0.004951299057197477,2024-10-03 14:12:25.926218,2024-10-03 14:19:15.594472,0 days 00:06:49.668254,0.010978214642641952,64,0.1,50,5.2809965087198395e-06,192,0.0002204927326380363,adam,0.8492657161952507,COMPLETE
44,0.005326620552831125,2024-10-03 14:13:01.215036,2024-10-03 14:19:34.462622,0 days 00:06:33.247586,0.011390772632144879,64,0.1,50,1.0312033233514404e-06,192,0.0008923126938299398,adam,0.6664944582766531,COMPLETE
45,0.01888608824181531,2024-10-03 14:14:48.326919,2024-10-03 14:15:59.659274,0 days 00:01:11.332355,0.04641170682439337,96,0.1,10,5.497219288361092e-06,192,0.000761602539020837,adam,0.5657134882540351,COMPLETE
46,0.004729153526488217,2024-10-03 14:14:56.080359,2024-10-03 14:21:39.164486,0 days 00:06:43.084127,0.02791067717300032,64,0.1,50,5.291874424991455e-06,192,0.00022830694575604903,adam,0.8509940615383952,COMPLETE
47,0.007263159193778568,2024-10-03 14:15:00.748419,2024-10-03 14:21:44.846672,0 days 00:06:44.098253,0.027191118486356858,64,0.1,50,5.024132804709645e-06,192,0.0007161853489724078,adam,0.6628356184298604,COMPLETE
48,0.005899275963871815,2024-10-03 14:15:59.679743,2024-10-03 14:21:01.582799,0 days 00:05:01.903056,0.010244821983444154,64,0.1,50,1.075500528753929e-06,192,0.0002232680420539352,adam,0.6641294989632686,COMPLETE
49,0.012484876932284365,2024-10-03 14:17:54.090332,2024-10-03 14:24:26.662295,0 days 00:06:32.571963,0.026562696626132046,64,0.1,50,4.790741998815988e-06,192,0.0002038423816517274,adam,0.603793496310519,COMPLETE
50,0.004552953038289729,2024-10-03 14:19:15.618533,2024-10-03 14:25:36.830637,0 days 00:06:21.212104,0.010091680543555335,64,0.1,50,4.9018408701249505e-06,192,0.00022436206892307618,adam,0.8550772279794536,COMPLETE
51,0.007607324470066428,2024-10-03 14:19:34.485971,2024-10-03 14:26:10.544618,0 days 00:06:36.058647,0.010205302092660701,64,0.1,50,4.629231447877848e-05,192,0.00023110373590307893,adam,0.8624054906220052,COMPLETE
52,0.005272870337490968,2024-10-03 14:21:01.594184,2024-10-03 14:27:47.948552,0 days 00:06:46.354368,0.07273070507154829,64,0.1,50,5.14156813630348e-06,192,0.00022314322839983347,adam,0.835635656335658,COMPLETE
53,0.09415473906525794,2024-10-03 14:21:39.225308,2024-10-03 14:22:56.664277,0 days 00:01:17.438969,0.027344730097161127,128,0.1,50,4.6867427456857535e-06,192,0.00041576809253499167,adadelta,0.3401265480905087,COMPLETE
54,0.08309273644632871,2024-10-03 14:21:44.860727,2024-10-03 14:22:59.999362,0 days 00:01:15.138635,0.06940886502318451,128,0.1,50,7.004704125887567e-05,192,0.0005209822710421964,adadelta,0.826299956391213,COMPLETE
55,0.014191340559726526,2024-10-03 14:22:56.681263,2024-10-03 14:28:30.107278,0 days 00:05:33.426015,0.02172827576309898,80,0.30000000000000004,50,4.6882883771053324e-05,192,0.00010044904852259855,adam,0.9281939480879444,COMPLETE
56,0.004572480043777623,2024-10-03 14:23:00.009900,2024-10-03 14:28:53.973518,0 days 00:05:53.963618,0.02111368192465429,64,0.1,50,9.771064438233714e-06,192,0.00022618955568961342,adam,0.8918444725514291,COMPLETE
57,0.009517957282963212,2024-10-03 14:24:26.722880,2024-10-03 14:30:04.235032,0 days 00:05:37.512152,0.020237973571401262,64,0.30000000000000004,50,3.3923382007577135e-05,192,0.00010038990308029971,adam,0.936939954392613,COMPLETE
58,0.008027430378355942,2024-10-03 14:25:36.855161,2024-10-03 14:29:58.807958,0 days 00:04:21.952797,0.023048979305083747,96,0.30000000000000004,50,3.362520822025059e-05,192,0.0001510012867744533,adam,0.9419823517399146,COMPLETE
59,0.004364408863296611,2024-10-03 14:26:10.568739,2024-10-03 14:30:21.545170,0 days 00:04:10.976431,0.022400009841866002,96,0.1,50,8.377027411217008e-06,192,0.0001526386002729823,adam,0.9104721354309839,COMPLETE
60,0.02704090590380451,2024-10-03 15:07:31.925551,2024-10-03 15:11:58.633308,0 days 00:04:26.707757,0.013023237805628054,112,0.1,50,1.0400059997346886e-05,64,0.0021633515623192454,adam,-0.16930339797932373,COMPLETE
61,0.180707023779728,2024-10-03 15:07:31.925976,2024-10-03 15:08:42.825701,0 days 00:01:10.899725,0.01330005572721097,112,0.4,50,9.548622536822937e-06,64,0.0001515854320623363,adam,-0.5970513170495167,COMPLETE
62,0.019680423879480373,2024-10-03 15:07:31.925922,2024-10-03 15:11:43.860656,0 days 00:04:11.934734,0.01425289480754909,112,0.1,50,1.9391259097369693e-05,64,0.0026651869798946216,adam,0.2561534992533122,COMPLETE
