number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
23,-0.1413065739958319,2025-01-10 14:21:31.161633,2025-01-10 14:21:33.864724,0 days 00:00:02.703091,0.11159929036760875,128,0.2,220,100,1.6161807933515947e-05,624,1.1470685605502674e-05,3,2,adam,"{'neurons_per_layer_encoder': [220, 440], 'neurons_per_layer_decoder': [440, 220, 110]}",220,"[440, 220, 110]","[220, 440]",[-0.1413065739958319],0.6752766052393051,COMPLETE
24,-5.741135959020288,2025-01-10 14:21:32.212666,2025-01-10 14:21:34.693062,0 days 00:00:02.480396,0.10180402670650929,128,0.4,208,100,1.2615284275083957e-05,584,0.007284536901594474,3,2,adam,"{'neurons_per_layer_encoder': [208, 416], 'neurons_per_layer_decoder': [416, 208, 104]}",208,"[416, 208, 104]","[208, 416]",[-5.741135959020288],-2.361942155320696,COMPLETE
25,-0.22950569348751237,2025-01-10 14:21:32.753937,2025-01-10 14:21:36.863693,0 days 00:00:04.109756,0.10666150459004559,72,0.4,208,100,1.4678536142991915e-05,1960,1.3349052458938891e-05,3,4,adam,"{'neurons_per_layer_encoder': [208, 416, 832, 1664], 'neurons_per_layer_decoder': [1664, 832, 416]}",208,"[1664, 832, 416]","[208, 416, 832, 1664]",[-0.22950569348751237],0.831367061394875,COMPLETE
26,-0.02072679611785566,2025-01-10 14:21:33.401505,2025-01-10 14:21:37.811112,0 days 00:00:04.409607,0.023080043703225347,72,0.4,48,100,2.0062703178300474e-05,600,1.3618117939511389e-05,1,4,adam,"{'neurons_per_layer_encoder': [48, 96, 192, 384], 'neurons_per_layer_decoder': [384]}",48,[384],"[48, 96, 192, 384]",[-0.02072679611785566],0.699663613458504,COMPLETE
27,0.047378625163148835,2025-01-10 14:21:33.872281,2025-01-10 14:21:38.348735,0 days 00:00:04.476454,0.023825836147160436,72,0.4,48,100,0.0002732416580551077,520,6.837306193605446e-05,1,4,adam,"{'neurons_per_layer_encoder': [48, 96, 192, 384], 'neurons_per_layer_decoder': [384]}",48,[384],"[48, 96, 192, 384]",[0.047378625163148835],0.9334439799142282,COMPLETE
28,-0.10977573935676577,2025-01-10 14:21:34.110896,2025-01-10 14:21:36.738698,0 days 00:00:02.627802,0.02945203675623196,104,0.4,168,100,0.0002526534907629433,1624,6.539907024669805e-05,1,4,sgd,"{'neurons_per_layer_encoder': [168, 336, 672, 1344], 'neurons_per_layer_decoder': [1344]}",168,[1344],"[168, 336, 672, 1344]",[-0.10977573935676577],0.9721929471382383,COMPLETE
29,-0.03669333506262573,2025-01-10 14:21:34.702275,2025-01-10 14:21:38.639849,0 days 00:00:03.937574,0.03186103393176623,104,0.30000000000000004,160,100,0.00033230046983812983,1560,7.574792894867724e-05,1,4,sgd,"{'neurons_per_layer_encoder': [160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280]}",160,[1280],"[160, 320, 640, 1280]",[-0.03669333506262573],0.9787816457303404,COMPLETE
30,0.12464479326243039,2025-01-10 14:21:36.745642,2025-01-10 14:21:40.648723,0 days 00:00:03.903081,0.05068247843983793,72,0.30000000000000004,44,100,6.541177403768506e-05,472,2.3798382749534254e-05,1,4,adam,"{'neurons_per_layer_encoder': [44, 88, 176, 352], 'neurons_per_layer_decoder': [352]}",44,[352],"[44, 88, 176, 352]",[0.12464479326243039],0.8357305777361725,COMPLETE
31,-0.17804360437924327,2025-01-10 14:21:36.872270,2025-01-10 14:21:38.080860,0 days 00:00:01.208590,0.1904509486594449,72,0.30000000000000004,20,100,0.0007304353319383335,120,2.3355573754175578e-05,1,3,sgd,"{'neurons_per_layer_encoder': [20, 40, 80], 'neurons_per_layer_decoder': [80]}",20,[80],"[20, 40, 80]",[-0.17804360437924327],0.8804262398598021,COMPLETE
32,-0.2930533266733719,2025-01-10 14:21:37.819813,2025-01-10 14:21:39.381467,0 days 00:00:01.561654,0.051738452699000716,96,0.30000000000000004,168,100,5.60145945503756e-05,1256,6.48955321190242e-05,1,3,sgd,"{'neurons_per_layer_encoder': [168, 336, 672], 'neurons_per_layer_decoder': [672]}",168,[672],"[168, 336, 672]",[-0.2930533266733719],0.8409569780309382,COMPLETE
